"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","日本"
"台湾討蕃状況ノ件","臺灣總督;內務大臣","1913","官方檔案文書","亞洲歷史資料中心（JACAR）;國立公文書館","JP-ST-11","https://www.jacar.archives.go.jp/das/meta/A04010268800","ja","文字","大正2年（1913）臺灣總督向內務大臣陳報之討蕃狀況電報，詳載太魯閣等原住民討伐之進展與蕃人歸順情形，為日治時期理蕃政策之第一手官方記錄","討蕃;理蕃;原住民;臺灣總督;太魯閣","大正（1913）","臺灣","–","台湾総督府関係公文;霧社地方ニ於ケル蕃人騒擾ニ関スル件","臺灣總督府","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","日治理蕃官方電報","日本"
"台湾霧社事件に関する件（密大日記）","陸軍省","1930","官方檔案文書","亞洲歷史資料中心（JACAR）;防衛省防衛研究所戰史研究中心","JP-ST-12","https://www.jacar.archives.go.jp/das/meta/C01003945600","ja","文字","昭和5年（1930）霧社事件時陸軍省密大日記所收臺灣霧社事件相關文書，含臺灣軍司令部之鎮壓報告與善後處理，為霧社事件之日本軍方官方紀錄，與臺灣側檔案互相對照","霧社事件;原住民;陸軍省;密大日記;臺灣軍","昭和前期（1930）","臺灣（霧社）","–","霧社地方ニ於ケル蕃人騒擾ニ関スル件;台湾討蕃状況ノ件","陸軍省","防衛省防衛研究所戰史研究中心（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","霧社事件軍方檔案","日本"
"霧社地方ニ於ケル蕃人騒擾ニ関スル件","拓務省;臺灣總督府警務局","1930–1931","官方檔案文書","亞洲歷史資料中心（JACAR）;國立公文書館","JP-ST-13","https://www.jacar.archives.go.jp/das/meta/A04018332700","ja","文字","昭和5–6年（1930–1931）霧社事件前後拓務省與臺灣總督府警務局之公文往來，含事變初期蕃情通報・安撫措施與後續處置，為霧社事件之日本中央行政側官方檔案","霧社事件;拓務省;警務局;蕃情;安撫","昭和前期（1930–1931）","臺灣（霧社）","–","台湾霧社事件に関する件;台湾討蕃状況ノ件","拓務省","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","霧社事件行政側檔案","日本"
"公文備考・大正12年変災災害（関東大震災）","海軍省","1923","官方檔案文書","亞洲歷史資料中心（JACAR）;防衛省防衛研究所戰史研究中心","JP-ST-14","https://www.jacar.archives.go.jp/das/meta/C08050965900","ja","文字","海軍省公文備考・大正12年卷所收關東大震災（1923）相關文書，含海軍救護・鎮壓與震災地視察報告，為震災時海軍行動之第一手官方紀錄","関東大震災;海軍省;公文備考;災害救護","大正（1923）","東京・神奈川・關東","–","海軍公文備考類;天気図","海軍省","防衛省防衛研究所戰史研究中心（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","震災海軍行動檔案","日本"
"満州事変・支那事変・大東亜戦争関係史料","陸軍省;海軍省;日本政府","1931–1945","官方檔案文書","亞洲歷史資料中心（JACAR）;防衛省防衛研究所戰史研究中心","JP-ST-15","https://www.jacar.archives.go.jp/","ja","文字","防衛研究所所藏滿洲事變（1931）至大東亞戰爭（1945）之作戰記錄與軍事行政檔案，含支那事變・南洋作戰等，為近代日本對外戰爭史與亞洲侵略史之核心軍事史料","満州事変;支那事変;大東亜戦争;作戰記錄","昭和前期（1931–1945）","東亞・東南亞・太平洋","–","陸軍省大日記類;海軍公文備考類;戦後外交記録","日本政府","防衛省防衛研究所戰史研究中心（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","對外戰爭軍事檔案","日本"
"写真週報","日本政府（情報局）","1938–1945","照片與影像","國立公文書館;亞洲歷史資料中心（JACAR）","JP-ST-16","https://www.digital.archives.go.jp/","ja","圖檔","昭和13–20年（1938–1945）內閣情報部（情報局）發行之國策宣傳寫真雜誌，刊載戰爭動員・社會生活・殖民地（含臺灣・滿洲）報導，為戰時日本社會與殖民宣傳之圖像史料","写真週報;宣傳;戰爭動員;殖民地;情報局","昭和前期（1938–1945）","日本全國・殖民地","–","満州事変・支那事変・大東亜戦争関係史料","日本政府","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","戰時圖像宣傳誌","日本"
"御署名原本・日本国憲法","日本國（裕仁天皇・吉田茂内閣）","1946-11-03","官方檔案文書","亞洲歷史資料中心（JACAR）;國立公文書館","JP-ST-17","https://www.jacar.archives.go.jp/das/meta/A04017858900","ja","文字","昭和21年（1946）11月3日公布之日本國憲法御署名原本，確立國民主權・和平主義與基本人權，戰後日本民主化之根本法，為戰後東亞秩序重構之關鍵官方檔案","日本国憲法;御署名原本;和平主義;國民主權","戰後日本（1946）","日本全國","–","大日本帝国憲法;帝国憲法改正関係一件","日本政府","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","戰後日本根本法","日本"
"帝国憲法改正関係一件・日本国憲法関係一件","外務省","1945–1947","官方檔案文書","亞洲歷史資料中心（JACAR）;外務省外交史料館","JP-ST-18","https://www.jacar.archives.go.jp/","ja","文字","外務省外交史料館所藏憲法改正草案・GHQ交涉記錄・臨時法制調查會文書，為日本國憲法成立過程之外交與法制側第一手檔案，可與御署名原本互相參證","憲法改正;GHQ;憲法草案;佔領期外交","戰後日本（1945–1947）","東京","–","御署名原本・日本国憲法;対日平和条約実施関係","外務省","外務省外交史料館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","憲法制定過程檔案","日本"
"対日平和条約実施関係・サンフランシスコ平和条約","外務省","1945–1952","官方檔案文書","亞洲歷史資料中心（JACAR）;外務省外交史料館","JP-ST-19","https://www.jacar.archives.go.jp/das/meta/BA0102040201","ja","文字","外務省外交史料館所藏戰後外交記録中對日平和條約（サンフランシスコ平和条約，1952生效）之實施關係文書，含第七條戰前條約復活・沖繩・琉球施政權等條款之執行記錄","サンフランシスコ平和条約;對日講和;戰後外交;施政權","戰後日本（1945–1952）","東京・舊金山","–","戦後外交記録;沖縄返還関係資料","外務省","外務省外交史料館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","對日講和實施檔案","日本"
"沖縄返還関係資料（戦後外交記録）","外務省","1969–1972","官方檔案文書","亞洲歷史資料中心（JACAR）;外務省外交史料館","JP-ST-20","https://www.jacar.archives.go.jp/","ja","文字","外務省外交史料館所藏戰後外交記録中沖繩返還（1972年5月15日）相關文書，含佐藤・尼克森會談・返還協定・施政權移轉等，與琉球側美治史料互補，為沖繩回歸日本之核心官方檔案","沖縄返還;佐藤尼克森;返還協定;施政權;日美關係","戰後日本（1969–1972）","沖繩・東京・華盛頓","–","戦後外交記録;対日平和条約実施関係","外務省","外務省外交史料館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","沖繩返還關鍵檔案","日本"
"戦後外交記録","外務省","1945–1972","官方檔案文書","亞洲歷史資料中心（JACAR）;外務省外交史料館","JP-ST-21","https://www.jacar.archives.go.jp/","ja","文字","外務省外交史料館依外交記録公開制度公開之戰後外交文書，昭和47年（1972）以前，含佔領期・講和・安保・賠償・日中・日韓關係等，為戰後日本外交史之系統性官方檔案","戦後外交記録;佔領期;安保;賠償;外交公開","戰後日本（1945–1972）","東京・世界","–","対日平和条約実施関係;沖縄返還関係資料","外務省","外務省外交史料館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","戰後外交檔案體系","日本"
"官報","日本政府（內閣）","1883–1952","報刊與雜誌","國立國會圖書館","JP-ST-22","https://dl.ndl.go.jp/","ja","文字","明治16年（1883）至昭和27年（1952）之日本官報全文數位版，收錄法令・條約・人事・告示等，為日本近代法令公布之唯一正式刊物，含臺灣割讓・殖民地統治相關法令","官報;法令;條約公布;近代制度","明治–戰後日本（1883–1952）","日本全國","–","御署名原本;帝国議会会議録","日本政府","國立國會圖書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","近代法令公報全文","日本"
"帝国議会会議録","帝国議會（貴族院・衆議院）","1890–1947","官方檔案文書","國立國會圖書館（帝國議會會會議録検索系統）","JP-ST-23","https://teikokugikai-i.ndl.go.jp/","ja","文字","明治23年（1890）至昭和22年（1947）帝國議會貴族院・衆議院之會議速記録全文檢索系統，含臺灣統治・預算審議・殖民政策等議事記錄，為日本近代議會政治與殖民統治之核心言論史料","帝国議会;速記録;議會政治;殖民政策","明治–昭和前期（1890–1947）","東京","–","官報;大日本帝国憲法","帝国議會","國立國會圖書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","帝國議會全文檢索","日本"
"明治・大正・昭和戦前期新聞","新聞社（東京日日新聞・時事新報・大阪朝日等）","1868–1945","報刊與雜誌","國立國會圖書館","JP-ST-24","https://dl.ndl.go.jp/","ja","圖檔","國立國會圖書館數位典藏之明治・大正・昭和戰前期報紙，含東京日日新聞・時事新報等，記錄日本近代社會・政治・對外戰爭與殖民地（臺灣）新聞報導","新聞;近代報紙;時事報導;殖民地","明治–昭和前期（1868–1945）","日本全國・殖民地","–","官報;写真週報","新聞社","國立國會圖書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","近代報紙數位典藏","日本"
"歴史的音源（SP盤）","各唱片公司","1900–1950","照片與影像","國立國會圖書館（歴史的音源）","JP-ST-25","https://dl.ndl.go.jp/","ja","影音","國立國會圖書館歷史的音源網站收錄1900–1950年前後SP唱片數位化音源，含邦樂・流行歌・落語・浪曲・講談等，為日本近代聲音文化與臺灣日治時期流行文化同源之影音史料","SP盤;歴史的音源;流行歌;音聲記錄","明治–昭和前期（1900–1950）","日本全國・臺灣・殖民地","–","明治・大正・昭和戦前期新聞","各唱片公司","國立國會圖書館（數位化）","2026-08-01","ARR","數位公開，線上試聽","已收錄 metadata","近代聲音史料","日本"
"日本占領関係資料・プランゲ文庫","GHQ/SCAP;アメリカ合衆国","1945–1952","官方檔案文書","國立國會圖書館","JP-ST-26","https://dl.ndl.go.jp/","ja","文字","國立國會圖書館所藏佔領時期（1945–1952）GHQ/SCAP相關資料與プランゲ文庫（佔領期檢閱文書），含佔領行政・憲法改革・媒體檢閱等記錄，為戰後日本民主化與美日關係之核心檔案","GHQ;SCAP;佔領;プランゲ文庫;檢閱","戰後日本（1945–1952）","日本全國","–","御署名原本・日本国憲法;戦後外交記録","GHQ/SCAP","國立國會圖書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","佔領期官方檔案","日本"
"憲政資料（政治家・官僚・軍人文書）","政治家・官僚・軍人等","明治–昭和（1868–1945）","人物傳記與家族史料","國立國會圖書館（憲政資料室）","JP-ST-27","https://dl.ndl.go.jp/","ja","文字","國立國會圖書館憲政資料室所藏近現代政治家・官僚・軍人之書簡・書類・日記，如伊藤博文・原敬等，為日本近代政治人物與政策決定過程之第一手個人史料","憲政資料;政治家;日記;書簡","明治–昭和前期（1868–1945）","日本全國","–","帝国議会会議録;官報","政治家・官僚","國立國會圖書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","近代政治人物史料","日本"
"古事記","太安萬侶","712","傳世文獻","國立國會圖書館","JP-ST-28","https://dl.ndl.go.jp/","ja","文字","和銅5年（712）太安萬侶奉元明天皇之詔撰錄之日本最古史書，記天地開闢至推古天皇之皇統與神話傳說，為日本神話・古代史・上代語之根本文獻","古事記;日本神話;皇統;太安萬侶","日本史前・古代（712）","日本全國","–","日本書紀;万葉集","–","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","日本最古史書","日本"
"日本書紀","舍人親王等","720","傳世文獻","國立國會圖書館","JP-ST-29","https://dl.ndl.go.jp/","ja","文字","養老4年（720）舍人親王等奉勅撰錄之日本第一部正史，用漢文編年體記神代至持統天皇，與古事記並為日本古代史雙璧，為理解日本古代國家成立之基礎文獻","日本書紀;正史;編年體;舍人親王","日本史前・古代（720）","日本全國","–","古事記;続日本紀","舍人親王","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","日本第一部正史","日本"
"万葉集","大伴家持等（撰者諸說）","8世紀","傳世文獻","國立國會圖書館","JP-ST-30","https://dl.ndl.go.jp/","ja","文字","8世紀成立之日本最古和歌集，凡20卷約4500首，收錄天皇至庶民之歌，反映古代日本社會・生活與情感，為上代日本語與文學研究之根本經典","万葉集;和歌;上代語;大伴家持","日本史前・古代（8世紀）","日本全國","–","古事記;源氏物語","–","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","最古和歌集","日本"
"源氏物語","紫式部","11世紀","傳世文獻","國立國會圖書館","JP-ST-31","https://dl.ndl.go.jp/","ja","文字","11世紀初平安時代宮廷女官紫式部所著長篇物語，凡54帖，描寫光源氏之戀愛與權力世界，為日本文學最高傑作，其寫本・版本流傳亦反映日本書籍文化","源氏物語;紫式部;物語文學;平安文學","日本史前・古代（11世紀）","京都","–","万葉集;吾妻鏡","–","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","平安物語文學高峰","日本"
"御成敗式目","北条泰時","1232","官方檔案文書","國立國會圖書館","JP-ST-32","https://dl.ndl.go.jp/","ja","文字","貞永元年（1232）鎌倉幕府執權北條泰時制定之武家法度凡51條，為日本第一部武家成文法，奠定中世武士社會之法律秩序，為理解武家政權與中世法制之根本史料","御成敗式目;武家法;鎌倉幕府;北条泰時","中世（1232）","日本全國","–","吾妻鏡;太平記","北条泰時","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","第一部武家法典","日本"
"吾妻鏡","鎌倉幕府","1180–1266","官方檔案文書","國立國會圖書館","JP-ST-33","https://dl.ndl.go.jp/","ja","文字","鎌倉幕府官方編年史，記治承4年（1180）至文永3年（1266）之幕府政務・源平合戰・承久之變等，為鎌倉時代政治・社會之第一級編年史料","吾妻鏡;鎌倉幕府;編年史;源平合戰","中世（1180–1266）","鎌倉・日本全國","–","御成敗式目;平家物語","鎌倉幕府","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","鎌倉幕府編年史","日本"
"平家物語","不詳（琵琶法師語り本）","13世紀","傳世文獻","國立國會圖書館","JP-ST-34","https://dl.ndl.go.jp/","ja","文字","13世紀成立之軍記物語，以平家一門之榮枯盛衰為主題，記源平合戰與壇之浦之役，為日本中世最大之軍記文學，其諸版本流傳反映中世說唱文化","平家物語;軍記物語;源平合戰;琵琶法師","中世（13世紀）","京都・西日本","–","吾妻鏡;太平記","–","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","中世軍記物語","日本"
"太平記","小島法師等（諸說）","14世紀","傳世文獻","國立國會圖書館","JP-ST-35","https://dl.ndl.go.jp/","ja","文字","南北朝時代（1336–1392）成書之軍記物語，記後醍醐天皇建武新政至南北朝動亂，為理解日本中世政治變動與武士社會之重要文學・史料","太平記;南北朝;軍記物語;建武新政","中世（1336–1392）","京都・日本全國","–","平家物語;御成敗式目","–","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","南北朝軍記","日本"
"徳川幕府法・御触書・老中文書","德川幕府（老中）","1603–1867","官方檔案文書","國立國會圖書館;國立公文書館","JP-ST-36","https://dl.ndl.go.jp/","ja","文字","江戶時代德川幕府之法令・御觸書與老中關係文書，含武家諸法度・鎖國令・參勤交代等制度文件，為理解幕藩體制與江戶社會秩序之核心官方史料","徳川幕府;御触書;武家諸法度;幕藩體制;鎖國","江戶（1603–1867）","日本全國","–","江戶古地図・国絵図;浮世絵・錦絵","德川幕府","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","幕府法令史料","日本"
"江戶古地図・国絵図","德川幕府・各藩","1603–1867","方志與輿圖","國立國會圖書館;國立公文書館","JP-ST-37","https://dl.ndl.go.jp/","ja","地圖","江戶時代幕府與諸藩製作之國繪圖・城下町圖・名所圖會等古地圖，記錄領國疆域・聚落・交通與城市空間，為江戶歷史地理與都市史之核心輿圖史料","国絵図;古地圖;城下町;名所圖會;歷史地理","江戶（1603–1867）","日本全國","–","徳川幕府法・御触書・老中文書","德川幕府","國立國會圖書館（數位化）","2026-08-01","PD","古典輿圖，數位全文公開","已收錄 metadata","江戶輿圖史料","日本"
"浮世絵・錦絵","菱川師宣;喜多川歌麿;葛飾北齋;歌川廣重等","17世紀–19世紀","照片與影像","國立國會圖書館","JP-ST-38","https://dl.ndl.go.jp/","ja","圖檔","江戶時代浮世繪木版畫數位典藏，含美人畫・役者繪・風景畫・名所繪等，反映江戶庶民文化・都市生活與海外對日本之圖像想像，為日本近世視覺文化之代表性史料","浮世絵;錦絵;北齋;廣重;庶民文化","江戶（17–19世紀）","江戶（東京）・日本全國","–","江戶古地図・国絵図;徳川幕府法・御触書・老中文書","浮世繪師","國立國會圖書館（數位化）","2026-08-01","PD","古典圖像，數位全文公開","已收錄 metadata","近世版畫藝術","日本"
"解体新書","杉田玄白・前野良澤","1774","教育與醫療史","國立國會圖書館","JP-ST-39","https://dl.ndl.go.jp/","ja","文字","安永3年（1774）杉田玄白等翻譯荷蘭解剖學著作《Ontleedkundige Tafelen》而成之《解體新書》，為日本西洋醫學翻譯之嚆矢，開啟蘭學與近代醫學之新頁，亦為臺灣近代醫學教育之先聲","解体新書;蘭學;西洋醫學;杉田玄白","江戶（1774）","江戶（東京）","–","徳川幕府法・御触書・老中文書","杉田玄白","國立國會圖書館（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","蘭學醫學之始","日本"
"縄文・弥生・古墳時代遺跡発掘報告","日本各地教育委員會・大學","19世紀–迄今","考古與物質文化","日本文化廳;國立歷史民俗博物館","JP-ST-40","https://bunka.nii.ac.jp/","ja","文字;圖檔","日本列島先史時代（縄文・彌生・古墳）遺跡之發掘調查報告與出土資料，含三内丸山遺跡・吉野ヶ里遺跡等，為研究日本先史社會・稻作傳播・國家起源之考古史料","縄文;弥生;古墳;考古遺跡;發掘報告","日本史前・古代（約前14000–538）","日本列島","–","日本書紀;漢委奴國王印","日本各地教育委員會","日本文化廳（數位化）","2026-08-01","ARR","文化財公開，線上瀏覽","已收錄 metadata","先史考古報告","日本"
