"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","琉球"
"貝特海姆日記與書簡（Bettelheim Diary）","柏爾納德・貝特海姆（Bernard Bettelheim）","第二尚氏王朝（1846–1854）","人物傳記與家族史料","沖繩縣教育委員會（琉球王國交流史デジタルアーカイブ）","RY-ST-11","https://ryuoki-archive.jp/","en","文字","英國傳教士貝特海姆1846–1854年滯琉期間之日記與書簡，記錄琉球末期社會、風俗與歐美勢力接觸，為西洋人最早詳述琉球之第一手紀錄","貝特海姆;傳教士;歐美接觸;琉球末期","第二尚氏王朝（1846–1854）","琉球王國","–","歷代寶案;中山傳信錄","貝特海姆","沖繩縣教育委員會（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","西洋人首見琉球之紀錄","琉球"
"明清檔案中之琉球關係史料","中國第一歷史檔案館（明清檔案）","第一尚氏王朝–第二尚氏王朝（1372–1879）","官方檔案文書","沖繩縣教育委員會（琉球王國交流史デジタルアーカイブ）","RY-ST-12","https://ryuoki-archive.jp/","zh","文字","明清中國朝廷檔案中與琉球相關之奏摺、敕諭與冊封紀錄，含明清檔案・琉球關係史料、明實錄琉球史料等，為中琉關係之官方中國側紀錄","明清檔案;中琉關係;奏摺;冊封","第一尚氏王朝–第二尚氏王朝（1372–1879）","琉球王國・中國朝廷","–","歷代寶案;中山傳信錄","中國第一歷史檔案館","沖繩縣教育委員會（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","中琉關係之官方中國側檔案","琉球"
"琉球王國地圖與古繪圖（首里城圖等）","琉球王府;薩摩藩繪師","第二尚氏王朝（17–19世紀）","方志與輿圖","沖繩縣立圖書館;那霸市歷史博物館;沖繩縣立博物館・美術館","RY-ST-13","https://www.library.pref.okinawa.jp/","ja","地圖","琉球王國時代之古地圖與繪圖，含首里城圖、王國全圖、間切（鄉村）圖與西洋繪製之琉球圖，記錄王國疆域、聚落與城郭空間，為研究琉球歷史地理之輿圖史料","古地圖;首里城;間切;歷史地理;琉球","第二尚氏王朝（17–19世紀）","琉球王國","–","中山傳信錄;琉球國志略","琉球王府","沖繩縣立圖書館（收藏）","2026-08-01","ARR","館藏輿圖，需申請調閱","已收錄 metadata","王國時代輿圖","琉球"
"尚家關係資料（琉球國王尚家文書）","琉球國王尚家（首里王府）","第二尚氏王朝（15–19世紀）","人物傳記與家族史料","那霸市歷史博物館","RY-ST-14","https://www.rekishi-archive.city.naha.okinawa.jp/","ja","文字","琉球國王尚家歷代傳世之文書與文物，含冊封詔敕、系譜、御冠船關係資料與美術工藝品，2015年國寶指定，為王權與琉球文化之核心家族史料","尚家;國寶;王權;系譜;冊封","第二尚氏王朝（15–19世紀）","琉球王國","–","球陽;中山世鑑","琉球國王尚家","那霸市歷史博物館（收藏）","2026-08-01","ARR","國寶指定文物，需申請調閱","已收錄 metadata","王權核心家族史料","琉球"
"首里城跡出土資料與發掘調查報告","首里城跡發掘調查會;沖繩縣教育委員會","古琉球時期–第二尚氏王朝（14–19世紀）","考古與物質文化","沖繩縣立博物館・美術館;沖繩縣教育委員會","RY-ST-15","https://okimu.jp/","ja","文字","首里城跡考古發掘調查之出土遺物與調查報告，含陶瓷器、建材、武器與生活器具，佐證王國都城之興衰變遷，2019年火災後之再發掘調查亦持續進行","首里城;考古發掘;出土遺物;都城","古琉球時期–第二尚氏王朝（14–19世紀）","首里・琉球王國","–","尚家關係資料;琉球王國之土地制度史料","首里城跡發掘調查會","沖繩縣立博物館・美術館（收藏）","2026-08-01","ARR","館藏出土資料，需申請調閱","已收錄 metadata","王都考古發掘成果","琉球"
"沖繩貝塚時代與先島諸島考古遺址","沖繩縣教育委員會（文化財課）","古琉球時期（約前10000–1050）","考古與物質文化","沖繩縣立博物館・美術館;沖繩縣教育委員會","RY-ST-16","https://okimu.jp/","ja","文字","沖繩貝塚時代（繩文期）與先島諸島之考古遺址調查資料，含港川人、具志川貝塚等出土人骨與遺物，為研究琉球列島先史時代人類活動與文化源流之考古史料","貝塚時代;考古遺址;港川人;先島諸島","古琉球時期（約前10000–1050）","琉球列島全境","–","首里城跡出土資料","沖繩縣教育委員會","沖繩縣立博物館・美術館（收藏）","2026-08-01","ARR","館藏考古資料，需申請調閱","已收錄 metadata","琉球先史時代考古","琉球"
"琉球処分関係公文（明治政府・首里王府）","明治政府;首里王府","沖繩縣・日本統治（1879）","官方檔案文書","沖繩縣公文書館;國立公文書館","RY-ST-17","https://www.digital.archives.go.jp/","ja","文字","1879年琉球處分之官方公文，含明治政府之廢藩置縣命令、首里王府最後之抗拒文書與處分使松田道之相關紀錄，為琉球王國終結與沖繩縣成立之關鍵官方檔案","琉球処分;明治政府;廢藩置縣;沖繩縣","沖繩縣・日本統治（1879）","琉球王國・東京","–","尚家關係資料;球陽","明治政府","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","王國終結關鍵檔案","琉球"
"沖繩縣統計書（明治・大正・昭和）","沖繩縣廳","沖繩縣・日本統治（1880–1940）","統計與調查資料","沖繩縣公文書館;沖繩縣立圖書館","RY-ST-18","https://www.archives.pref.okinawa.jp/","ja","文字","沖繩縣自明治至昭和前期之年度統計書，記錄人口、產業、貿易、財政與教育等縣政統計，為重建日治沖繩社會經濟全貌之官方統計史料","沖繩縣統計;人口;產業;縣政","沖繩縣・日本統治（1880–1940）","沖繩縣","–","沖繩縣史;舊慣調查","沖繩縣廳","沖繩縣公文書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","日治沖繩統計全書","琉球"
"沖繩縣舊慣制度調查資料","沖繩縣廳（舊慣調查）","沖繩縣・日本統治（1894–1908）","統計與調查資料","沖繩縣公文書館;國立國會圖書館","RY-ST-19","https://www.archives.pref.okinawa.jp/","ja","文字","明治後期日本政府對沖繩舊慣制度之調查，含土地、身分、稅制、風俗等專項調查書，為理解王國時代制度與近代化過渡之系統性調查史料","舊慣調查;土地制度;身分制度;近代化","沖繩縣・日本統治（1894–1908）","沖繩縣","–","沖繩縣統計書;琉球王國之土地制度史料","沖繩縣廳","沖繩縣公文書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","舊慣制度系統調查","琉球"
"沖繩戰相關公文・戰歿者名簿","沖繩縣廳;大日本帝國陸軍","沖繩縣・日本統治（1945）","官方檔案文書","沖繩縣平和祈念資料館;沖繩縣公文書館","RY-ST-20","https://www.peace-museum.okinawa.jp/","ja","文字","1945年沖繩戰之官方檔案與戰歿者名簿，記錄日美兩軍之戰役經過、住民犧牲與軍民混戰之實態，含沖繩縣與陸軍之戰時公文及戰歿者統計，為沖繩戰最核心之官方紀錄","沖繩戰;戰歿者名簿;陸軍;住民犧牲","沖繩縣・日本統治（1945）","沖繩縣全境","–","沖繩戰寫真帖;ひめゆり和平祈念資料館藏","沖繩縣廳","沖繩縣平和祈念資料館（收藏）","2026-08-01","ARR","館藏檔案，需申請調閱","已收錄 metadata","沖繩戰核心官方紀錄","琉球"
"沖繩戰寫真帖・戰中戰後映像","沖繩縣公文書館;美軍攝影班","沖繩縣・日本統治（1945）","照片與影像","沖繩縣公文書館","RY-ST-21","https://www.archives.pref.okinawa.jp/","ja","圖檔;影音","沖繩戰及戰後初期之照片與映像，含美軍攝影之戰役紀錄片與陸續公開之戰中戰後影像資料，為沖繩戰視覺歷史之原始素材","沖繩戰;寫真帖;映像;美軍紀錄","沖繩縣・日本統治（1945）","沖繩縣全境","–","沖繩戰相關公文;USCAR廣報局寫真","沖繩縣公文書館","沖繩縣公文書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","沖繩戰視覺史料","琉球"
"琉球政府公報（美治時期）","琉球政府（Ryukyu Government）","琉球政府・美治時期（1952–1972）","官方檔案文書","沖繩縣公文書館;國立國會圖書館","RY-ST-22","https://www.archives.pref.okinawa.jp/","ja","文字","美治時期琉球政府（1952年成立）之官方公報與行政命令，收錄美軍統治下之立法、行政與民政措施，為研究戰後琉球政治制度之核心官方檔案","琉球政府;公報;美治時期;USCAR","琉球政府・美治時期（1952–1972）","沖繩縣（琉球列島）","–","USCAR公文;琉球政府統計","琉球政府","沖繩縣公文書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","美治時期官方公報","琉球"
"USCAR公文（美國民政府琉球列島司令部）","美國民政府琉球列島司令部（USCAR）","琉球政府・美治時期（1945–1972）","官方檔案文書","美國國家檔案館（NARA）;沖繩縣公文書館","RY-ST-23","https://www.archives.gov/","en","文字","美國民政府琉球列島司令部（United States Civil Administration of the Ryukyu Islands）之官方公文與指令，含土地、基地、民政與對琉球政府之監督文件，為美治時期統治之核心官方檔案","USCAR;美治時期;基地;民政","琉球政府・美治時期（1945–1972）","琉球列島全境","–","琉球政府公報;琉球列島空中寫真","美國民政府琉球列島司令部","美國國家檔案館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","美治統治核心檔案","琉球"
"琉球列島空中寫真（1945）","美國空軍（USAAF）","琉球政府・美治時期（1945）","方志與輿圖","沖繩縣公文書館","RY-ST-24","https://www.archives.pref.okinawa.jp/","en","地圖","1945年12月美軍航拍之琉球列島空中寫真，記錄戰後初期沖繩之土地現況與聚落分布，為重建戰前戰後地貌之珍貴輿圖資料","空中寫真;美軍航拍;戰後地貌;琉球列島","琉球政府・美治時期（1945）","琉球列島全境","–","USCAR公文;沖繩戰寫真帖","美國空軍","沖繩縣公文書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","戰後初航拍輿圖","琉球"
"琉球政府統計（美治時期）","琉球政府（統計部）","琉球政府・美治時期（1945–1972）","統計與調查資料","沖繩縣公文書館","RY-ST-25","https://www.archives.pref.okinawa.jp/","en","文字","美治時期琉球政府編製之統計資料，含人口普查、經濟統計與社會指標，記錄戰後琉球社會經濟重建之數據，為研究美治時期民生狀態之官方統計史料","琉球政府統計;人口;經濟;美治時期","琉球政府・美治時期（1945–1972）","沖繩縣（琉球列島）","–","琉球政府公報;沖繩縣統計書","琉球政府","沖繩縣公文書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","美治時期統計史料","琉球"
"沖繩返還關係資料（1972）","日本政府;琉球政府;美國政府","沖繩返還後（1969–1972）","官方檔案文書","沖繩縣公文書館;國立公文書館","RY-ST-26","https://www.digital.archives.go.jp/","ja","文字","沖繩返還（1972年5月15日）之官方資料，含佐藤・尼克森會談紀錄、返還協定、施政權移轉文件與復歸準備相關檔案，為琉球列島回歸日本之關鍵官方史料","沖繩返還;施政權;佐藤尼克森;復歸","沖繩返還後（1969–1972）","沖繩縣・東京・華盛頓","–","琉球政府公報;USCAR公文","日本政府","國立公文書館（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","返還關鍵官方檔案","琉球"
"沖繩縣史（新沖繩縣史）","沖繩縣史編集委員會","古琉球時期–沖繩返還後（全時期）","官方檔案文書","沖繩縣公文書館;沖繩縣教育委員會","RY-ST-27","https://www.archives.pref.okinawa.jp/","ja","文字","沖繩縣官修縣史，含通史編・各論編・圖說編，史料至明治期之編纂並收錄沖繩戰・美治時期專卷，為琉球沖繩史研究之綜合官方史書","沖繩縣史;縣史編纂;琉球史;沖繩戰","古琉球時期–沖繩返還後（全時期）","沖繩縣全境","–","沖繩縣統計書;歷代寶案","沖繩縣史編集委員會","沖繩縣公文書館（出版）","2026-08-01","ARR","官修出版品，線上目錄與館內閱覽","已收錄 metadata","官修綜合縣史","琉球"
"沖繩（琉球）報紙・新聞（近代以降）","琉球新報;沖繩タイムス等","沖繩縣・日本統治–沖繩返還後（1887–迄今）","報刊與雜誌","沖繩縣教育委員會（近代沖繩史料デジタルアーカイブ）;沖繩縣立圖書館","RY-ST-28","https://ryuoki-archive.jp/","ja","文字;圖檔","近代沖繩報紙之數位典藏，含琉球新報（1887年創刊）等之歷代紙面影像，記錄沖繩縣政、社會與戰後美治時期之輿論，為研究近代沖繩社會變遷之報刊史料","報紙;新聞;琉球新報;近代沖繩","沖繩縣・日本統治–沖繩返還後（1887–迄今）","沖繩縣","–","沖繩縣統計書;沖繩縣史","琉球新報","沖繩縣教育委員會（數位化）","2026-08-01","ARR","數位公開，線上瀏覽","已收錄 metadata","近代沖繩報刊典藏","琉球"
"ひめゆり平和祈念資料館藏（沖繩戰犧牲學生記錄）","ひめゆり平和祈念資料館","沖繩縣・日本統治–琉球政府・美治時期（1945–1972）","口述歷史","ひめゆり平和祈念資料館","RY-ST-29","https://www.himeyuri.or.jp/","ja","文字;影音","沖繩戰中「姬百合部隊」學生看護隊之遺稿、證言與慰靈記錄，含犧牲者名單與生還者口述，為沖繩戰女性・學生犧牲之代表性記憶史料","ひめゆり;姬百合;學生看護隊;沖繩戰","沖繩縣・日本統治–琉球政府・美治時期（1945–1972）","沖繩縣（南風原・南部戰線）","–","沖繩戰相關公文;沖繩戰寫真帖","ひめゆり平和祈念資料館","ひめゆり平和祈念資料館（收藏）","2026-08-01","ARR","館藏資料，需申請調閱","已收錄 metadata","學生犧牲記憶史料","琉球"
"沖繩戰口述歷史・證言資料","沖繩縣平和祈念資料館;沖繩縣公文書館","琉球政府・美治時期（1945–1972）","口述歷史","沖繩縣平和祈念資料館;沖繩縣公文書館","RY-ST-30","https://www.peace-museum.okinawa.jp/","ja","文字;影音","沖繩戰生還者與關係者之口述證言紀錄，含證言集・影像證言與座談紀錄，由平和祈念資料館與公文書館長期收集，為沖繩戰記憶傳承之核心口述史料","口述歷史;證言;沖繩戰;記憶傳承","琉球政府・美治時期（1945–1972）","沖繩縣全境","–","ひめゆり平和祈念資料館藏;沖繩戰相關公文","沖繩縣平和祈念資料館","沖繩縣平和祈念資料館（收藏）","2026-08-01","ARR","館藏資料，需申請調閱","已收錄 metadata","沖繩戰口述史料","琉球"
