"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","東南亞"
"阮朝木版","阮朝（Mộc bản triều Nguyễn）","1802–1945","考古與物質文化","越南國家檔案局","VN-ST-11","https://mocban.vn/","zh;vi","圖檔;文字","阮朝以木質雕版印刷官方文書・史籍・詩集之木版（Mộc bản），存世約3萬4千餘版，現藏國家檔案中心第四號，2009年登錄UNESCO世界記憶遺產，為東亞雕版印刷傳統在越南之最高成就，記錄阮朝學術・教育・宗教・文學之印刷實況","阮朝木版;雕版印刷;mocban;UNESCO;印刷史","阮朝（1802–1945）","順化・大叻（國家檔案中心）","–","八萬大藏經;永嚴寺木版","阮朝","越南國家檔案局（數位化）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","阮朝雕版印刷","越南"
"大南一統志","越南阮朝（國史館）","1865–1882","方志與輿圖","越南國家檔案局","VN-ST-12","https://archives.org.vn/","zh","文字","阮朝嗣德年間（1865–1882）纂修之全國地理總志，仿《大清一統志》體例，分為京都・各省記山川・郡縣・關隘・物產・古蹟，為越南最完備之傳統方志，凡數十卷，為研究阮朝疆域與越南歷史地理之根本文獻","大南一統志;一統志;方志;地理志;阮朝","阮朝（1802–1945）","越南全國（含南圻・高棉）","–","大清一統志;東國輿地勝覽","阮朝國史館","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","越南全國地理總志","越南"
"阮朝公文・戶籍田賦檔案","越南阮朝（六部）","1802–1945","官方檔案文書","越南國家檔案局","VN-ST-13","https://archives.org.vn/","zh;vi","文字","阮朝中央六部及地方官府之公文檔案，含戶籍冊・田賦簿・訴訟文書・外交文書，越南國家檔案局分批數位公開，為研究阮朝行政制度・社會經濟・中越朝貢關係之第一手官方檔案，與清代檔案互為東亞朝貢體系之運作實錄","阮朝公文;戶籍;田賦;朝貢;六部","阮朝（1802–1945）","順化・各省","–","清代檔案;大南實錄","阮朝六部","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","阮朝行政檔案","越南"
"阮朝輿圖（皇朝一統輿地全圖等）","越南阮朝","1820–1840","方志與輿圖","越南國家檔案局","VN-ST-14","https://archives.org.vn/","zh","地圖","阮朝明命・嗣德年間繪製之全國輿圖，含《皇朝一統輿地全圖》《阮朝各省輿圖》，以傳統山水繪法標示府縣・山川・海防，檔案局收藏並數位公開，為越南現存最完整之傳統製圖遺產，反映19世紀越南對疆域與海疆之認知","阮朝輿圖;皇朝一統輿地全圖;地圖史;海疆","阮朝（1802–1945）","越南全國","–","大南一統志;皇輿全覽圖","阮朝","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","阮朝全國輿圖","越南"
"法屬印度支那總督府檔案","法屬印度支那（Gouvernement général）","1887–1945","官方檔案文書","越南國家檔案局","VN-ST-15","https://archives.org.vn/","fr;vi","文字","1887年成立之法屬印度支那聯邦總督府檔案，含總督訓令・殖民地財政・鐵路港埠・橡膠種植・人口戶籍等公文，越南國家檔案局典藏，為研究法屬時期（1858–1945）越南・柬・寮之殖民統治與東南亞近代化的第一手官方檔案，與英國緬甸・荷屬印尼殖民檔案並列","法屬印度支那;殖民統治;總督府;殖民地檔案;近代化","法屬印度支那（1858–1945）","越南・柬埔寨・寮國","–","殖民地檔案;臺灣總督府檔案","法屬印度支那總督府","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","法屬殖民檔案","越南"
"南風雜誌（Nam Phong）","范瓊（Phạm Quỳnh）","1917–1934","報刊與雜誌","越南國家檔案局","VN-ST-16","https://archives.org.vn/","vi;fr","文字","1917–1934年范瓊主編之《南風雜誌》（Nam Phong），為法屬時期越南最重要的漢喃・國語字綜合刊物，刊載文史・國學・時論・翻譯，成為越南近代民族意識與國語字運動之重要舞台，與《東京公報》並為越南近代報刊史之先驅","南風雜誌;范瓊;國語字;近代報刊;民族意識","法屬印度支那（1858–1945）","河內","–","近代報刊;越南國語字","范瓊","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","法屬時期綜合刊物","越南"
"法屬時期殖民調查統計","法屬印度支那總督府","1887–1945","統計與調查資料","越南國家檔案局","VN-ST-17","https://archives.org.vn/","fr","文字","法屬印度支那時期之人口普查・經濟統計・殖民調查報告，含米穀輸出・煤礦・橡膠・鐵路營運等統計資料，越南國家檔案局與法國海外檔案中心典藏，為研究殖民經濟與東南亞近代產業史之量化史料，與荷屬東印度統計・英屬馬來亞年鑑互為比較","殖民統計;人口普查;經濟統計;米穀輸出;殖民經濟","法屬印度支那（1858–1945）","越南全國","–","年鑑統計;殖民地經濟","法屬印度支那總督府","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","殖民調查統計資料","越南"
"越南獨立宣言與八月革命檔案","越南民主共和國（胡志明）","1945","官方檔案文書","越南國家檔案局","VN-ST-18","https://archives.org.vn/","vi;fr","文字;圖檔","1945年8月革命與9月2日胡志明在巴亭廣場宣讀《獨立宣言》之相關檔案，含宣言文稿・新政權布告・同盟國交涉文書，越南國家檔案局典藏，為越南現代國家誕生之根本文書，與印尼獨立宣言同年並列東南亞非殖民化浪潮之開端","越南獨立宣言;八月革命;胡志明;1945;非殖民化","越南現代（1945–迄今）","河內・西貢","–","印尼獨立宣言;非殖民化","越南民主共和國","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","越南建國文書","越南"
"越南憲法與共和國官方檔案","越南民主共和國・越南社會主義共和國","1946–2013","官方檔案文書","越南國家檔案局","VN-ST-19","https://archives.org.vn/","vi","文字","越南自1946年首部憲法至2013年現行憲法之歷次制憲與修憲檔案，含憲法草案・國會紀錄・頒布文書，越南國家檔案局與國會圖書館典藏，為研究越南現代政治制度與社會主義國家建構之根本文獻，與中華人民共和國憲法・大韓民國憲法並列東亞現代憲政","越南憲法;制憲;國會;憲政;社會主義","越南現代（1945–迄今）","河內","–","越南獨立宣言;憲法檔案","越南政府","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","越南歷次憲法檔案","越南"
"越南戰爭與統一檔案","越南民主共和國・越南共和國","1945–1976","官方檔案文書","越南國家檔案局","VN-ST-20","https://archives.org.vn/","vi;en;fr","文字;圖檔","1945–1976年越南抗法・抗美戰爭與國家統一相關官方檔案，含日內瓦協定・巴黎協定・兩越當局公文・統一後行政文書，越南國家檔案局逐步數位公開，為冷戰時期東南亞最大戰爭之越南側官方記錄，與美國NARA越戰檔案・南越檔案互為對照","越南戰爭;日內瓦協定;巴黎協定;冷戰;統一","越南現代（1945–迄今）","越南全國・巴黎","–","越戰檔案;巴黎協定","越南政府","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","越南戰爭官方檔案","越南"
"菲古文（Philippine Paleographs）","菲國各族（Hanunoo等）","約1300–1600","考古與物質文化","菲國家圖書館","PH-ST-01","https://web.nlp.gov.ph/","en","圖檔","菲律賓古文書寫系統Hanunoo・Buhid・Tagbanwa・Pala'wan之碑刻與文書，源自以婆羅米系文字為基礎之古文字，存於民答那峨與巴拉望各族，1999年登錄UNESCO世界記憶遺產，為東南亞書寫文化與南島語族古文字之珍貴見證","菲古文;Hanunoo;Tagbanwa;古文字;UNESCO","前殖民時期（～1565）","民答那峨・巴拉望","–","貝葉經;南島語族","–","菲國家圖書館（數位典藏）","2026-08-01","ARR","國家圖書館典藏，線上瀏覽","已收錄 metadata","菲國古文字遺產","菲律賓"
"欣拉沃德史詩（Hinilawod）錄音","蘇祿・帕納依邦（口傳詩人）","口傳至今","口述歷史","菲國家圖書館","PH-ST-02","https://web.nlp.gov.ph/","en","影音","帕納依島（Panay）原住民口傳史詩《欣拉沃德》（Hinilawod），全詩約3萬行，為東南亞最長之口傳史詩之一，學者記錄其誦唱並存檔於菲國家圖書館，2023年登錄UNESCO世界記憶遺產，反映菲國前殖民時期神話・社會與儀式文化","欣拉沃德;口傳史詩;口述歷史;帕納依;UNESCO","前殖民時期（～1565）","帕納依島","–","口傳史詩;口述歷史","–","菲國家圖書館（數位典藏）","2026-08-01","ARR","國家圖書館典藏，線上瀏覽","已收錄 metadata","東南亞最長口傳史詩","菲律賓"
"菲國家檔案館西屬時期檔案","西屬菲律賓（1552–1900）","1552–1900","官方檔案文書","菲國家檔案館","PH-ST-03","https://nationalarchives.gov.ph/","es;en","文字","菲國家檔案館典藏之西屬時期（1565–1898）官方檔案，含王室諭令・總督文書・教區紀錄・地契・審判文書約1300萬頁，為研究西班牙殖民統治與菲國早期社會之第一手檔案，2010年起逐步數位公開，與西印度群島總檔案館（AGI）互為姊妹典藏","西屬時期;王室諭令;殖民檔案;教區紀錄;菲國家檔案館","西屬時期（1565–1898）","馬尼拉・各省","–","西印度群島總檔案館;殖民檔案","西屬菲律賓","菲國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","西屬殖民檔案","菲律賓"
"建鎮紀錄（Erección de Pueblos）","西屬菲律賓","1565–1898","官方檔案文書","菲國家檔案館","PH-ST-04","https://nationalarchives.gov.ph/","es","文字","西屬時期「建鎮」（Erección de Pueblos）檔案，記錄殖民政府將分散聚落改編為以教堂廣場為中心之市鎮制度，含建鎮敕令・居民名冊・土地分配，為研究菲國市鎮制度源流與人口聚落史之核心檔案，菲國家檔案館數位公開","建鎮;市鎮制度;聚落;殖民行政;菲國家檔案館","西屬時期（1565–1898）","呂宋・米沙鄢","–","西屬時期檔案;人口普查","西屬菲律賓","菲國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","菲國市鎮制度檔案","菲律賓"
"多克特里納・克里斯蒂亞納（1593）","菲國首版印刷（Doctrina Christiana）","1593","傳世文獻","菲國家圖書館","PH-ST-05","https://web.nlp.gov.ph/","es;tag","文字;圖檔","1593年在馬尼拉以他加祿語（Tagalog）與西班牙語雙語刊印之《基督教義》（Doctrina Christiana），為東南亞最早的印刷書籍之一，採西班牙語拼音他加祿文，現存菲國家圖書館，為菲國印刷史與基督教化之里程碑，與東亞早期耶穌會漢文出版並列","Doctrina Christiana;印刷史;他加祿語;基督教化;1593","西屬時期（1565–1898）","馬尼拉","–","耶穌會出版;他加祿語","–","菲國家圖書館（數位典藏）","2026-08-01","ARR","國家圖書館典藏，線上瀏覽","已收錄 metadata","東南亞最早印書","菲律賓"
"黎剎《Noli》《Fili》手稿","黎剎（José Rizal）","1887–1891","人物傳記與家族史料","菲國家圖書館","PH-ST-06","https://web.nlp.gov.ph/","es","文字;圖檔","民族英雄黎剎（José Rizal）之長篇小說《社會毒瘤》（Noli Me Tangere，1887）與《貪腐統治》（El Filibusterismo，1891）手稿，批判西班牙殖民統治，成為菲國民族意識與獨立運動之精神象徵，菲國家圖書館典藏並數位公開","黎剎;Noli Me Tangere;民族主義;手稿;獨立運動","西屬時期（1565–1898）","馬德里・柏林・馬尼拉","–","民族英雄;菲美戰爭","黎剎","菲國家圖書館（數位典藏）","2026-08-01","ARR","國家圖書館典藏，線上瀏覽","已收錄 metadata","黎剎小說手稿","菲律賓"
"西屬菲律賓地圖與輿圖","西屬製圖家（Murillo Velarde等）","17–19世紀","方志與輿圖","菲國家圖書館","PH-ST-07","https://web.nlp.gov.ph/","es","地圖","17–19世紀西班牙製圖家繪製之菲律賓群島地圖，以穆里略・貝拉德（Murillo Velarde）1734年《菲律賓水道圖》最著稱，2023年登錄UNESCO世界記憶遺產，為東南亞製圖史與海域認識之重要輿圖，菲國家圖書館與西班牙檔案館分藏","西屬輿圖;Murillo Velarde;地圖史;海域;UNESCO","西屬時期（1565–1898）","菲律賓群島・南海","–","皇輿全覽圖;製圖史","–","菲國家圖書館（數位典藏）","2026-08-01","ARR","國家圖書館典藏，線上瀏覽","已收錄 metadata","西屬菲律賓輿圖","菲律賓"
"美屬時期行政檔案（Insular Government）","美屬菲律賓（Insular Government）","1898–1946","官方檔案文書","菲國家檔案館","PH-ST-08","https://nationalarchives.gov.ph/","en","文字","1898年美西戰爭後美國統治菲律賓時期之行政檔案，含民政總督文書・島嶼政府部門公文・土地與學校制度文件，菲國家檔案館典藏，為研究美屬時期（1898–1946）菲國現代化與美國殖民政策之第一手官方檔案","美屬時期;民政總督;殖民地行政;土地制度;菲國家檔案館","美屬時期（1898–1946）","馬尼拉・全菲","–","美西戰爭;菲美戰爭","美屬菲律賓","菲國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","美屬殖民檔案","菲律賓"
"奎松總統檔案（Quezon Papers）","曼努埃爾・奎松（Quezon）","1935–1944","官方檔案文書","菲國家圖書館","PH-ST-09","https://web.nlp.gov.ph/","en","文字","菲國聯邦首任總統奎松（1935–1944）之公文與私人檔案，2011年登錄UNESCO世界記憶遺產，記錄聯邦政府草創・獨立過渡・第二次世界大戰流亡政府（澳洲・美國）之決策，菲國家圖書館典藏，為菲國現代政治史與太平洋戰爭期間流亡政府之關鍵檔案","奎松;總統檔案;聯邦政府;二戰流亡;UNESCO","美屬時期（1898–1946）","馬尼拉・美國","–","麥克阿瑟;二戰檔案","奎松","菲國家圖書館（數位典藏）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","奎松總統檔案","菲律賓"
"美屬時期人口普查統計","美屬菲律賓政府","1903–1939","統計與調查資料","菲國家檔案館","PH-ST-10","https://nationalarchives.gov.ph/","en","文字","美屬時期菲國四次全國人口普查（1903・1918・1939）及農業・教育統計，為菲國現代統計制度之始，記錄人口結構・種族語言・產業分布之變遷，為研究美屬時期社會經濟之量化基礎史料，菲國家檔案館與美方檔案互補","人口普查;統計;美屬時期;人口結構;農業統計","美屬時期（1898–1946）","菲律賓群島","–","殖民統計;人口普查","美屬菲律賓","菲國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","美屬時期統計","菲律賓"
"人民力量革命廣播錄音（1986）","菲廣播電台（Radyo Veritas等）","1986","照片與影像","菲國家圖書館","PH-ST-11","https://web.nlp.gov.ph/","en;fil","影音","1986年2月人民力量革命（EDSA）期間電台之廣播錄音與現場紀錄，記錄民眾聚集乙沙大道對抗馬可仕政權之時刻，2003年登錄UNESCO世界記憶遺產，為東亞民主化浪潮之關鍵影像聲音檔案，與韓國5・18・臺灣解嚴同年互為東亞民主轉型見證","人民力量革命;EDSA;1986;民主化;UNESCO","菲律賓共和（1946–迄今）","馬尼拉（乙沙大道）","–","5.18;民主化運動","菲國廣播電台","菲國家圖書館（數位典藏）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","人民力量革命檔案","菲律賓"
"若澤・馬塞達音樂檔案（Jose Maceda）","馬塞達（José Maceda）","20世紀","人物傳記與家族史料","菲國家圖書館","PH-ST-12","https://web.nlp.gov.ph/","en","影音","民族音樂學家馬塞達（1917–2004）記錄之菲國各族音樂錄音與民族誌，1995年登錄UNESCO世界記憶遺產（亞太），為菲國傳統音樂與南島語族音樂研究之重要聲音檔案，菲國家圖書館與菲大音樂學院典藏","馬塞達;民族音樂;聲音檔案;音樂學;UNESCO","菲律賓共和（1946–迄今）","全菲各族","–","口傳史詩;民族音樂","馬塞達","菲國家圖書館（數位典藏）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","菲國音樂聲音檔案","菲律賓"
"菲國總統官方檔案（馬拉坎南宮）","馬拉坎南宮（Malacañang）","1946–迄今","官方檔案文書","菲國家檔案館","PH-ST-13","https://nationalarchives.gov.ph/","en;fil","文字;圖檔","1946年獨立後菲國歷任總統之官方檔案，含演說稿・行政命令・會見紀錄・國情咨文，菲國家檔案館與馬拉坎南宮檔案館典藏並數位公開，為研究菲國民主政治與行政制度之核心官方檔案，與韓國大統領記録館・臺灣總統府檔案互為比較","總統檔案;馬拉坎南宮;行政命令;國情咨文;菲國家檔案館","菲律賓共和（1946–迄今）","馬尼拉","–","大統領記録館;總統府檔案","菲國政府","菲國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","菲國總統檔案","菲律賓"
"科隆痲瘋病院檔案（Culion）","科隆痲瘋病院（Culion）","1906–1980s","教育與醫療史","菲國家檔案館","PH-ST-14","https://nationalarchives.gov.ph/","en","文字;圖檔","1906年美國殖民政府於巴拉望科隆（Culion）設置隔離痲瘋病院之醫療與社會檔案，含病患名冊・治療紀錄・院民自治資料，2016年登錄UNESCO世界記憶遺產（亞太），為東南亞醫療史與病人生命史之獨特檔案","科隆;痲瘋病;醫療史;隔離;UNESCO","菲律賓共和（1946–迄今）","巴拉望（科隆島）","–","醫療史;殖民醫學","科隆痲瘋病院","菲國家檔案館（數位化）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","菲國醫療史檔案","菲律賓"
"菲律賓共和國憲法與建國檔案","菲國制憲會議","1935–1946","官方檔案文書","菲國家檔案館","PH-ST-15","https://nationalarchives.gov.ph/","en","文字","1935年聯邦憲法・1946年獨立後憲法與相關建國檔案，含制憲會議紀錄・獨立宣言・《舊金山條約》相關文書，菲國家檔案館典藏，為菲國現代國家之根本文書，與越南獨立宣言・印尼獨立宣言並列東南亞建國文獻","菲國憲法;制憲會議;1946獨立;建國文書;菲國家檔案館","菲律賓共和（1946–迄今）","馬尼拉","–","舊金山條約;非殖民化","菲國制憲會議","菲國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","菲國建國憲法檔案","菲律賓"
"荷屬東印度公司（VOC）檔案","荷蘭東印度公司（VOC）","1602–1799","官方檔案文書","印尼國家檔案館（ANRI）","SEA-ST-01","https://sejarah-nusantara.anri.go.id/","nl;id","文字;地圖","荷屬東印度公司（1602–1799）之總督會議決議・往來函件・帳冊・輿圖，由印尼國家檔案館（ANRI）與荷蘭國家檔案館共同數位化公開（Sejarah Nusantara），2004年登錄UNESCO世界記憶遺產，為研究東南亞殖民貿易・香料貿易・爪哇社會之最重要跨國檔案","VOC;荷屬東印度公司;香料貿易;殖民檔案;UNESCO","印尼（滿者伯夷～獨立）","巴達維亞（雅加達）・荷蘭","–","殖民地檔案;香料之路","荷蘭東印度公司","印尼國家檔案館（數位化）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","VOC跨國檔案","印尼"
"印尼獨立宣言與建國檔案","印尼共和國（蘇卡諾）","1945","官方檔案文書","印尼國家檔案館（ANRI）","SEA-ST-02","https://sejarah-nusantara.anri.go.id/","id;nl","文字;圖檔","1945年8月17日蘇卡諾宣讀之印尼獨立宣言相關檔案，含宣言打字稿・建國五原則（Pancasila）草案・制憲文書，印尼國家檔案館（ANRI）典藏並數位公開，為東南亞最大國家誕生之根本文書，與越南・菲國獨立文書並列東南亞非殖民化浪潮","印尼獨立宣言;蘇卡諾;Pancasila;1945;非殖民化","印尼（滿者伯夷～獨立）","雅加達","–","越南獨立宣言;非殖民化","印尼共和國","印尼國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","印尼建國文書","印尼"
"泰國國家檔案館曼谷王朝文書","泰國國家檔案館","1782–迄今","官方檔案文書","泰國國家檔案館","SEA-ST-03","https://nat.go.th/","th","文字;圖檔","泰國國家檔案館典藏之卻克里王朝（1782–迄今）官方檔案，含國王敕令・內閣文書・條約原件・王室秘書處檔案，逐步數位公開，為研究泰國（暹羅）現代化・對西方交涉・東南亞王朝史之第一手官方檔案，與緬甸貢榜王朝文書並為大陸東南亞王朝檔案","曼谷王朝;卻克里王朝;國王敕令;官方檔案;暹羅","泰國（素可泰～曼谷王朝）","曼谷","–","緬甸貢榜王朝文書;條約檔案","泰國國家檔案館","泰國國家檔案館（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","泰國王朝官方檔案","泰國"
