題名,creator,日期,類型,資料類型,來源,識別碼,來源網址,語言,描述,主題,年代範圍,地理範圍,翻譯者,關聯,出版者,貢獻者,取得日期,授權狀態,授權備註,收錄狀態,備註,檢索指引,region
美國人口普查歷史資料,U.S. Census Bureau,1790–迄今,統計與調查資料,文字,U.S. Census Bureau / National Archives,US-ST-11,https://www.census.gov/history,英語,美國十年一次人口普查的歷史資料與統計數據，從 1790 年第一次普查至今，提供人口、經濟、社會統計。,人口普查；人口統計；美國社會史,1790–迄今,美國,–,–,U.S. Census Bureau,–,2026-08-20,公共領域,美國聯邦政府統計資料，公共領域,已收錄,美國最長壽統計調查；230+ 年歷史,頁面已為歷史專區；點選 "Through the Decades" 依年代瀏覽，或找 "Genealogy" 查個人紀錄,US
美國歷史人口普查 1790–2020,IPUMS / U.S. Census Bureau,1790–2020,統計與調查資料,文字,IPUMS (University of Minnesota) / U.S. Census Bureau,US-ST-12,https://www.ipums.org,英語,由明尼蘇達大學 IPUMS 計畫整合的美國歷史人口普查微資料，涵蓋 1790–2020 年，提供標準化格式供學術研究使用。,人口普查；微資料；社會經濟史；學術研究,1790–2020,美國,–,–,IPUMS (University of Minnesota) / U.S. Census Bureau,–,2026-08-20,學術授權,學術研究使用，需註明出處,已收錄,美國人口普查微資料整合平台,需免費註冊帳號；登入後選擇資料集 "IPUMS USA"，再挑選年份與變數建立下載表,US
耶魯法律圖書館阿瓦隆計畫,Yale Law School,古代–1960年代,傳世文獻,文字,Yale Law School / Avalon Project,US-ST-13,https://avalon.law.yale.edu,英語,耶魯大學法律圖書館「阿瓦隆計畫」，收錄法律、歷史、外交領域的重要數位文件，從古代到 1960 年代，包括美國獨立宣言、憲法、重要條約與判例。,法律文獻；外交條約；憲政史；歷史文件,古代–1960年代,全球,–,–,Yale Law School,–,2026-08-20,公共領域,學術機構數位典藏，公共領域,已收錄,耶魯大學法律圖書館；重要法律歷史文件,左側年代分類點選（如 18th Century、19th Century）；或依主題（Colonial Charters、Treaties）瀏覽到 "American Constitution" 等州憲與條約區,US
美國國立史密森尼博物館,Smithsonian Institution,1846–迄今,照片與影像,圖檔;文字,Smithsonian Institution,US-ST-14,https://www.si.edu/collections,英語,史密森尼學會旗下 19 座博物館與研究機構的線上館藏，包括美國歷史國家博物館、國家航空航天博物館等，提供 Smithsonian Open Access 開放取用。,美國歷史；博物館館藏；科學文化；航空航天,1846–迄今,美國,–,–,Smithsonian Institution,–,2026-08-20,公共領域（多數館藏）,Smithsonian Open Access 開放計畫，多數館藏公共領域,已收錄,19 座博物館；全球最大博物館系統之一,頁面有搜尋框輸入藏品關鍵字；或點 "Collection Search" 依博物館與主題類別篩選；Open Access 區可下載高解析圖,US
美國國家安全檔案館,George Washington University,1940s–迄今,官方檔案文書,文字,George Washington University / National Security Archive,US-ST-15,https://nsarchive.gwu.edu,英語,喬治華盛頓大學「國家安全檔案館」，專門收集美國政府解密文件的獨立研究機構，收錄冷戰至今各時期重要國安文件。,解密文件；冷戰；國家安全；情報史,1940s–迄今,全球,–,–,George Washington University,–,2026-08-20,公共領域,學術機構解密文件典藏，公共領域,已收錄,全球最大解密文件收藏；學術研究導向,點選 "The Archive" 分頁 → "Electronic Briefing Books" 依主題瀏覽解密文件；搜尋框輸入關鍵字,US
美國國會記錄（Congressional Record）,U.S. Government Publishing Office,1873–迄今,官方檔案文書,文字,U.S. Government Publishing Office (GPO),US-ST-16,https://www.govinfo.gov/app/collection/crec,英語,美國國會會議的官方逐字記錄，涵蓋參眾兩院議事發言、投票紀錄、委員會報告等，1873 年至今。,國會記錄；議事發言；立法史,1873–迄今,美國,–,–,U.S. Government Publishing Office (GPO),–,2026-08-20,公共領域,美國聯邦政府出版品，公共領域,已收錄,國會官方逐字記錄；150+ 年歷史,頁面依年份卷期排列；點選年份 → 卷冊 → 頁次；或 GovInfo 搜尋框輸入議員名/關鍵字搜全文,US
美國獨立戰爭數位檔案,Library of Congress / Various,1763–1800,官方檔案文書;照片與影像,文字;圖檔,Library of Congress / Various Institutions,US-ST-17,https://www.loc.gov/collections/?q=revolutionary+war,英語,美國國會圖書館及其他機構的美國獨立戰爭相關數位館藏，包括手稿、軍事文件、地圖、版畫、照片等。,獨立戰爭；美國革命；軍事史；殖民地,1763–1800,北美殖民地,–,–,Library of Congress / Various Institutions,–,2026-08-20,公共領域,多機構合作館藏，多數公共領域,已收錄,獨立戰爭主要數位化文物,頁面已預先篩選 "revolutionary war" 結果；可直接瀏覽或再輸入更精確關鍵字縮小範圍,US
美國南北戰爭數位檔案,National Archives / Library of Congress,1861–1865,官方檔案文書;照片與影像,文字;圖檔,National Archives and Records Administration / Library of Congress,US-ST-18,https://www.archives.gov/research/military/civil-war,英語,美國國家檔案館與國會圖書館的南北戰爭相關數位館藏，包括軍事記錄、照片、地圖、士兵名冊等。,南北戰爭；內戰；軍事史；奴隸制度,1861–1865,美國,–,–,NARA / Library of Congress,–,2026-08-20,公共領域,美國聯邦政府與圖書館館藏，公共領域,已收錄,南北戰爭主要數位化文物,頁面為研究指南；依左側分類（Soldiers、Records、Photos）點入，或在 NARA Catalog 輸 "civil war" 查數位典藏,US
美國大蕭條與新政檔案,National Archives / Library of Congress,1929–1941,官方檔案文書;照片與影像,文字;圖檔,National Archives and Records Administration / Library of Congress,US-ST-19,https://www.archives.gov/research/great-depression,英語,美國國家檔案館與國會圖書館的大蕭條與新政時期相關數位館藏，包括羅斯福總統文件、WPA 計畫紀錄、社會調查等。,大蕭條；新政；經濟史；羅斯福,1929–1941,美國,–,–,NARA / Library of Congress,–,2026-08-20,公共領域,美國聯邦政府與圖書館館藏，公共領域,已收錄,大蕭條與新政數位化文物,頁面為研究指南；點 "Records" 或 "Photos" 分類，或在 NARA Catalog 輸 "Great Depression" 查文件,US
美國二戰數位檔案,National Archives,1939–1945,官方檔案文書;照片與影像,文字;圖檔,National Archives and Records Administration,US-ST-20,https://www.archives.gov/research/military/ww2,英語,美國國家檔案館的二戰相關數位館藏，包括軍事行動紀錄、戰爭罪行審判、戰俘記錄、軍事照片與影片等。,第二次世界大戰；二戰；軍事史；戰爭罪行,1939–1945,全球,–,–,National Archives and Records Administration,–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,二戰主要數位化文物；軍事檔案,頁面為 WWII 研究指南；左側可選 "Records"、"Photos & Films"、"Veterans' Records" 等分類,US
美國越戰數位檔案,National Archives,1955–1975,官方檔案文書;照片與影像,文字;圖檔,National Archives and Records Administration,US-ST-21,https://www.archives.gov/research/military/vietnam-war,英語,美國國家檔案館的越戰相關數位館藏，包括軍事行動紀錄、戰俘與失蹤人員記錄、政治文件、照片與影音等。,越南戰爭；越戰；軍事史；冷戰,1955–1975,越南；東南亞,–,–,National Archives and Records Administration,–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,越戰主要數位化文物；軍事檔案,頁面為 Vietnam War 研究指南；依分類點入，或 NARA Catalog 輸 "Vietnam" 查數位化文件,US
美國總統圖書館系統,National Archives / Presidential Libraries,1921–迄今,官方檔案文書,文字;圖檔,National Archives and Records Administration,US-ST-22,https://www.archives.gov/presidential-libraries,英語,NARA 維護的總統圖書館系統，收錄各任總統任內文件、文物、照片、影音等，從胡佛（1921）至今。,美國總統；行政文件；政治史,1921–迄今,美國,–,–,National Archives and Records Administration,–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,15 座總統圖書館；各任總統文件,頁面列出各總統圖書館；點選具體總統（Hoover/Roosevelt/Truman 等）進入該館自己的數位典藏搜尋,US
美國婦女選舉權檔案,Library of Congress / National Archives,1848–1920,官方檔案文書;照片與影像,文字;圖檔,Library of Congress / National Archives,US-ST-23,https://www.loc.gov/collections/?q=woman+suffrage,英語,美國婦女選舉權運動的相關歷史文件，包括國會圖書館與國家檔案館的數位化文物，涵蓋塞內卡瀑布會議到第十九修正案通過。,婦女選舉權；女權運動；第十九修正案,1848–1920,美國,–,–,Library of Congress / National Archives,–,2026-08-20,公共領域,美國聯邦政府與圖書館館藏，公共領域,已收錄,女權運動重要數位化文物,頁面已預先篩選 "woman suffrage" 結果；可直接瀏覽或輸入 "Susan B. Anthony" 等特定人物名,US
美國民權運動檔案,Library of Congress / National Archives,1954–1968,官方檔案文書;照片與影像;口述歷史,文字;圖檔;影音,Library of Congress / National Archives,US-ST-24,https://www.loc.gov/collections/?q=civil+rights,英語,美國民權運動的相關歷史文件與口述歷史，包括金恩博士演說、國會民權法案紀錄、法院判例等。,民權運動；種族平等；金恩博士；民權法案,1954–1968,美國,–,–,Library of Congress / National Archives,–,2026-08-20,公共領域,美國聯邦政府與圖書館館藏，公共領域,已收錄,民權運動重要數位化文物,頁面已預先篩選 "civil rights" 結果；可輸入特定事件（如 "March on Washington"）或人物（"Martin Luther King"）縮小,US
美國原住民歷史檔案,National Archives / Smithsonian,1600s–迄今,官方檔案文書;照片與影像,文字;圖檔,National Archives and Records Administration / Smithsonian Institution,US-ST-25,https://www.archives.gov/research/native-americans,英語,美國國家檔案館與史密森尼博物館的原住民歷史相關數位館藏，包括條約文件、人口調查、保留地紀錄等。,原住民歷史；印第安條約；美洲原住民,1600s–迄今,北美,–,–,NARA / Smithsonian Institution,–,2026-08-20,公共領域,美國聯邦政府與博物館館藏，公共領域,已收錄,原住民歷史重要數位化文物,頁面為研究指南；依分類（Treaties、Census、Photos）點入，或 NARA Catalog 輸 "American Indian" 查文獻,US
美國種植園紀錄與奴隸制度檔案,Library of Congress / National Archives,1600s–1865,官方檔案文書;照片與影像,文字;圖檔,Library of Congress / National Archives,US-ST-26,https://www.loc.gov/collections/?q=slavery,英語,美國奴隸制度與種植園的歷史文件數位化，包括奴隸買賣紀錄、種植園帳冊、 emancipation 相關文件等。,奴隸制度；種植園；解放宣言；黑人歷史,1600s–1865,美國南部,–,–,Library of Congress / National Archives,–,2026-08-20,公共領域,美國聯邦政府與圖書館館藏，公共領域,已收錄,奴隸制度歷史重要數位化文物,頁面已預先篩選 "slavery" 結果；可輸入特定州名或 "Emancipation Proclamation" 等關鍵字,US
美國移民與入境紀錄,National Archives / Ellis Island,1820–1957,官方檔案文書,文字,National Archives and Records Administration / Ellis Island Foundation,US-ST-27,https://www.archives.gov/research/immigration,英語,美國國家檔案館與愛麗絲島基金會的移民入境紀錄，包括乘客名單、入境審查、歸化紀錄等。,移民史；入境紀錄；愛麗絲島；歸化,1820–1957,美國,–,–,NARA / Ellis Island Foundation,–,2026-08-20,公共領域,美國聯邦政府檔案與非營利組織，公共領域,已收錄,移民歷史重要數位化文物,頁面為研究指南；NARA Catalog 輸 "passenger arrival" 或 Ellis Island 網站輸入姓氏查乘客名單,US
美國科學與科技歷史檔案,Smithsonian Institution / National Archives,1800s–迄今,官方檔案文書;照片與影像,文字;圖檔,Smithsonian Institution / National Archives,US-ST-28,https://www.si.edu/collections/search,英語,史密森尼博物館與國家檔案館的科學與科技歷史相關數位館藏，包括航空航天、核能、太空探索、醫學等領域。,科學史；科技史；航空航天；太空探索,1800s–迄今,美國；全球,–,–,Smithsonian Institution / NARA,–,2026-08-20,公共領域,美國博物館與政府機構館藏，公共領域,已收錄,科學與科技歷史重要數位化文物,搜尋框輸入主題（如 "Apollo"、"nuclear"）；或依博物館（Air and Space、American History）篩選館藏,US
DPLA 數位公共圖書館,Digital Public Library of America,1600s–迄今,官方檔案文書;照片與影像,文字;圖檔,Digital Public Library of America (DPLA),US-ST-29,https://dp.la,英語,美國數位公共圖書館聯盟（DPLA），聚合全美圖書館、博物館、檔案館的數位館藏元資料，提供跨機構統一搜尋，涵蓋從殖民時期至今。,數位典藏；跨機構整合；美國文化遺產,1600s–迄今,美國,–,–,Digital Public Library of America (DPLA),–,2026-08-20,各館授權不一,聚合多館元資料，連結至原始館藏,已收錄,全美數位館藏聚合平台；3000 萬+ 筆,首頁搜尋框輸入關鍵字；搜尋後可用時間、地點、主題（Topic/Subject）篩選，點 "View original item" 回到典藏館原頁,US
美國外交口述歷史檔案,Library of Congress / ADST,1950s–迄今,口述歷史,影音;文字,Library of Congress / Association for Diplomatic Studies and Training,US-ST-30,https://www.loc.gov/collections/foreign-affairs-oral-history/,英語,美國國會圖書館與外交研究與訓練協會（ADST）合作的外交口述歷史計畫，訪談美國外交官的職業生涯與重大外交事件。,外交史；口述歷史；冷戰外交；國際關係,1950s–迄今,全球,–,–,Library of Congress / ADST,–,2026-08-20,公共領域,美國國會圖書館與 ADST 合作，公共領域,已收錄,外交官口述歷史；20 世紀下半葉,頁面已為口述歷史集合入口；可依人物名稱或國別主題搜尋；或回 ADST 網站 adst.org 依地區瀏覽訪談,US
美國水門事件檔案,National Archives / Nixon Presidential Library,1972–1974,官方檔案文書;照片與影像,文字;圖檔,National Archives and Records Administration,US-ST-31,https://www.archives.gov/research/watergate,英語,美國國家檔案館的水門事件相關檔案，包括白宮錄音帶、尼克森總統文件、國會調查報告等。,水門事件；尼克森；政治醜聞；憲政危機,1972–1974,美國,–,–,National Archives and Records Administration,–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,水門事件重要數位化文物,頁面為 Watergate 研究指南；"Watergate Tapes" 錄音帶全文可按日期檢索，或 NARA Catalog 輸 "Watergate",US
美國國防部歷史檔案,Department of Defense / National Archives,1947–迄今,官方檔案文書;照片與影像,文字;圖檔,U.S. Department of Defense / National Archives,US-ST-32,https://www.history.defense.gov,英語,美國國防部歷史辦公室的數位館藏，包括軍事歷史報告、戰役紀錄、國防政策文件、軍事照片與影片等。,國防史；軍事歷史；軍事政策；戰役紀錄,1947–迄今,全球,–,–,U.S. Department of Defense / NARA,–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,國防部歷史文件；冷戰至今,頁面分主題（如 Vietnam War、Cold War）點入；或搜尋框輸入關鍵字查其歷史出版品,US
美國情報檔案（CIA 解密檔案）,Central Intelligence Agency,1940s–迄今,官方檔案文書,文字,Central Intelligence Agency (CIA),US-ST-33,https://www.cia.gov/readingroom/,英語,美國中央情報局解密文件檔案室，收錄冷戰至今各時期重要情報報告、分析文件、機密行動紀錄等，逐年解密公開。,情報史；冷戰；國家安全；解密文件,1940s–迄今,全球,–,–,Central Intelligence Agency (CIA),–,2026-08-20,公共領域,美國聯邦政府解密文件，公共領域,已收錄,情報檔案解密室；冷戰情報文件,上方搜尋框輸入關鍵字；或 "Documents" 區依年份、機構（CREST）檢索已解密文件,US
美國能源部歷史檔案,Department of Energy / National Archives,1940s–迄今,官方檔案文書,文字,U.S. Department of Energy / National Archives,US-ST-34,https://www.energy.gov/history,英語,美國能源部歷史檔案，包括曼哈頓計畫、核能發展、能源政策等相關歷史文件與紀錄。,核能史；曼哈頓計畫；能源政策；科學史,1940s–迄今,美國；全球,–,–,U.S. Department of Energy / NARA,–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,能源部歷史文件；核能發展,頁面為歷史專區，點選主題（如 "Manhattan Project"）進入；曼哈頓計畫文件另見 OSTI.gov 數位典藏,US
美國環保署歷史檔案,Environmental Protection Agency,1970–迄今,官方檔案文書,文字,Environmental Protection Agency (EPA),US-ST-35,https://www.epa.gov/history,英語,美國環保署歷史檔案，包括環保立法、環境污染事件、清潔空氣法等相關歷史文件。,環保史；環境政策；清潔空氣法；環境保護,1970–迄今,美國,–,–,Environmental Protection Agency (EPA),–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,環保署歷史文件,頁面為歷史專區；依年代或主題（Clean Air Act、里程碑）點入；右側可下載歷史文件 PDF,US
美國國家公園管理局歷史檔案,National Park Service,1872–迄今,官方檔案文書;照片與影像,文字;圖檔,National Park Service / National Archives,US-ST-36,https://www.nps.gov/subjects/history,英語,美國國家公園管理局的歷史檔案，包括國家公園設立文件、保護區歷史、自然資源調查紀錄等。,國家公園；自然保育；環境史；美國西部,1872–迄今,美國,–,–,National Park Service / NARA,–,2026-08-20,公共領域,美國聯邦政府檔案，公共領域,已收錄,國家公園歷史文件,頁面為歷史主題中心；依分類（如 "Park History"、"People"）點入，或搜尋框輸入公園名查歷史文本,US
美國婦女歷史檔案,Library of Congress / National Archives,1700s–迄今,官方檔案文書;照片與影像,文字;圖檔,Library of Congress / National Archives,US-ST-37,https://www.loc.gov/collections/?q=women+history,英語,美國婦女歷史相關的數位化檔案，包括選舉權、勞工權益、女權運動等相關歷史文件。,婦女史；女權運動；選舉權；勞工權益,1700s–迄今,美國,–,–,Library of Congress / NARA,–,2026-08-20,公共領域,美國聯邦政府與圖書館館藏，公共領域,已收錄,婦女歷史重要數位化文物,頁面已預先篩選 "women history" 結果；可輸入特定主題（"suffrage"、"Title IX"）或人物名縮小,US
美國勞工運動檔案,Library of Congress / National Archives,1800s–迄今,官方檔案文書;照片與影像,文字;圖檔,Library of Congress / National Archives,US-ST-38,https://www.loc.gov/collections/?q=labor+history,英語,美國勞工運動的歷史檔案，包括工會紀錄、罷工事件、勞工立法、工人生活紀錄等。,勞工運動；工會；罷工；勞工史,1800s–迄今,美國,–,–,Library of Congress / NARA,–,2026-08-20,公共領域,美國聯邦政府與圖書館館藏，公共領域,已收錄,勞工運動重要數位化文物,頁面已預先篩選 "labor history" 結果；可輸入工會名（"AFL"、"CIO"）或請願書等主題,US
美國猶太歷史檔案,Library of Congress / Various,1600s–迄今,官方檔案文書;照片與影像,文字;圖檔,Library of Congress / Various Institutions,US-ST-39,https://www.loc.gov/collections/?q=jewish+history,英語,美國猶太歷史相關的數位化檔案，包括移民紀錄、社區文件、大屠殺倖存者證言等。,猶太歷史；移民史；大屠殺；美國多元文化,1600s–迄今,美國；全球,–,–,Library of Congress / Various Institutions,–,2026-08-20,公共領域,多機構合作館藏，多數公共領域,已收錄,猶太歷史重要數位化文物,頁面已預先篩選 "jewish history" 結果；可輸入特定主題（"immigration"、"Holocaust"）縮小範圍,US
