"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"西湖遊覽志餘（田汝成，漢籍全文資料庫）","田汝成","明（1547）","傳世文獻","中央研究院","CN-ST-NANSONG-XIHU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明田汝成撰《西湖遊覽志餘》二十六卷，記西湖名勝沿革並廣錄南宋遺事、朝章典故、風俗人情、詩文題詠，於南宋臨安掌故保存尤多，為杭州地方文獻與南宋歷史之綜合史料，亦為明清西湖記憶之重要文本","西湖遊覽志餘;田汝成;西湖;杭州;南宋遺事;地方文獻","南宋","浙江杭州","–","武林舊事;夢粱錄;都城紀勝","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明清人記南宋西湖掌故","南宋")
"朱子語類（朱熹，漢籍全文資料庫）","朱熹（黎靖德編）","南宋（1270）","傳世文獻","中央研究院","CN-ST-NANSONG-ZHUZI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋黎靖德編《朱子語類》一百四十卷，彙錄朱熹與門人問答語錄，分理氣、鬼神、性理、學、大學、論語、孟子、中庸、易、詩、書、禮、春秋、理學等二十六門，集中體現朱熹理學、格物致知與道統思想，為宋代理學最重要之語錄文獻","朱子語類;朱熹;理學;語錄;格物致知","南宋","全中國","–","四書章句集注;近思錄;宋元學案;北宋理學文獻","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","理學語錄之集大成","南宋")
"四書章句集注（朱熹，漢籍全文資料庫）","朱熹","南宋（1190）","傳世文獻","中央研究院","CN-ST-NANSONG-SISHU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋朱熹撰《四書章句集注》，含《大學章句》《中庸章句》《論語集注》《孟子集注》，於紹熙元年（1190）刊行，首創「四書」體系並以義理詮釋經文，確立理學經典系統，元仁宗後定為科舉定本，影響東亞儒學思想七百年","四書章句集注;朱熹;四書;理學;科舉","南宋","全中國","–","朱子語類;近思錄;宋元學案","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元明清科舉取士之定本","南宋")
"近思錄（朱熹、呂祖謙合編，漢籍全文資料庫）","朱熹、呂祖謙","南宋（1175）","傳世文獻","中央研究院","CN-ST-NANSONG-JINSILU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋朱熹、呂祖謙合編《近思錄》十四卷，輯錄周敦頤、程顥、程頤、張載四子要語六百餘條，分道體、為學、致知、存養、克治、家道等十四門，為宋代理學入門與思想綱要之書，影響東亞儒學極深","近思錄;朱熹;呂祖謙;理學;周敦頤;二程","南宋","全中國","–","北宋理學文獻;朱子語類;宋元學案","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","理學思想之門徑之書","南宋")
"象山先生全集（陸九淵，漢籍全文資料庫）","陸九淵","南宋（12世紀）","傳世文獻","中央研究院","CN-ST-NANSONG-LUJIANGYUAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋陸九淵《象山先生全集》收錄其講學語錄、書信、雜著、詩文，核心思想「心即理」與「宇宙便是吾心，吾心即是宇宙」，與朱熹理學分庭抗禮，開南宋心學一派，鵝湖之會與朱陸之辯為中國思想史著名公案","象山先生全集;陸九淵;心學;心即理;朱陸之辯","南宋","全中國","–","朱子語類;宋元學案;四書章句集注","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南宋心學開山文獻","南宋")
"宋元學案（黃宗羲、全祖望，漢籍全文資料庫）","黃宗羲、全祖望","清（道光刊）","傳世文獻","中央研究院","CN-ST-NANSONG-XUEAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","清黃宗羲草創、全祖望續補之《宋元學案》一百卷，系統整理宋元兩代理學學派與學者，分立濮水、濂溪、明道、伊川、橫渠、晦翁（朱熹）、象山（陸九淵）、東萊（呂祖謙）、水心（葉適）、慈湖等學案近百，為研究南宋理學家派與思想源流之總綱","宋元學案;黃宗羲;全祖望;理學;學案;思想史","南宋","全中國","–","朱子語類;象山先生全集;近思錄;北宋理學文獻","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代理學學案之總匯","南宋")
"劍南詩稿（陸游，漢籍全文資料庫）","陸游","南宋（12–13世紀）","傳世文獻","中央研究院","CN-ST-NANSONG-JIANNAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋陸游《劍南詩稿》收詩九千餘首，為中國存詩最多之詩人，其詩以愛國主戰、不忘恢復為主調，兼寫蜀中、江南田園與日常生活，反映南宋中葉社會民情，與辛棄疾並為南宋愛國文學之代表","劍南詩稿;陸游;愛國詩;南宋;詩歌","南宋","全中國","–","稼軒長短句;漱玉詞;唐宋八大家文集","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","存詩九千餘首之愛國詩人","南宋")
"稼軒長短句（辛棄疾，漢籍全文資料庫）","辛棄疾","南宋（12–13世紀）","傳世文獻","中央研究院","CN-ST-NANSONG-JIAXUAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋辛棄疾《稼軒長短句》收詞六百餘闋，豪放詞派之宗，其詞熔經史於豪壯之中，抒北伐恢復之志與壯志難酬之慨，兼擅田園閒適之作，為南宋詞壇最高成就之一，與蘇軾並稱「蘇辛」","稼軒長短句;辛棄疾;宋詞;豪放派;南宋","南宋","全中國","–","東坡全集;劍南詩稿;漱玉詞","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","豪放詞派之集大成","南宋")
"漱玉詞（李清照，漢籍全文資料庫）","李清照","南宋（1084–1155）","傳世文獻","中央研究院","CN-ST-NANSONG-SHUYU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋李清照《漱玉詞》為婉約詞派之宗，清照詞以南渡為界分前後期，前期寫閨情相思、疏朗清麗，後期歷經靖康之變與夫喪流離，寄寓家國之痛，詞語淺近而意蘊深厚，世稱「易安體」，為中國女詞人第一","漱玉詞;李清照;宋詞;婉約派;易安體","南宋","全中國","–","稼軒長短句;劍南詩稿;靖康之變史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","婉約詞宗易安體","南宋")
"南宋四家繪畫（李唐、劉松年、馬遠、夏圭，國立故宮博物院）","李唐、劉松年、馬遠、夏圭","南宋（12–13世紀）","照片與影像","國立故宮博物院","CN-ST-NANSONG-SIJIA-01","https://www.npm.gov.tw/","zh","圖檔","南宋畫院四大家李唐、劉松年、馬遠、夏圭之院體山水，發展「一角」「半邊」構圖與斧劈皴法，以空靈取境，院藏如馬遠《雪灘雙鷺》、夏圭《溪山清遠》等皆為代表，與北宋全景山水對照，反映南宋繪畫美學之轉變，為宋畫史核心圖像史料","南宋四家;李唐;劉松年;馬遠;夏圭;院體畫;山水畫","南宋","全中國","–","清明上河圖;宣和畫譜;武林舊事","國立故宮博物院","–","2026-07-31","ARR","館藏數位影像依國立故宮博物院規定","已收錄 metadata","南宋院體山水之代表","南宋")
"南宋臨安城遺址考古（杭州）","浙江省文物考古研究所","1980s–","考古與物質文化","浙江省文物考古研究所","CN-ST-NANSONG-LINANKAOGU-01","–","zh","圖檔;文字","南宋臨安城（杭州）為都城考古重中之重，自1980年代以來浙江省文物考古研究所等陸續發掘皇城（鳳凰山）、御街（中山路）、太廟、德壽宮、二十四坊巷等遺存，出土大量南宋瓷器、磚瓦與建築構件，結合文獻重建南宋都城格局，係研究南宋制度與城市生活之實物核心","南宋臨安城;杭州;都城考古;德壽宮;御街","南宋","浙江杭州","–","武林舊事;夢粱錄;南宋官窯考古;南宋四家繪畫","浙江省文物考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","南宋都城制度之實物遺存","南宋")
"南宋官窯考古（老虎洞窯址）","浙江省文物考古研究所","1996–2001","考古與物質文化","浙江省文物考古研究所","CN-ST-NANSONG-GUANYAO-01","–","zh","圖檔;文字","杭州老虎洞南宋官窯遺址於1996–2001年間發掘，揭出窯爐、作坊與大量青瓷殘件，學界多認為即文獻所載「修內司官窯」，其青瓷釉色粉青、開片縝密、造型典雅，與郊壇下官窯並為南宋官窯兩大窯場，係南宋陶瓷史與宮廷制度研究之關鍵","南宋官窯;老虎洞;修內司;青瓷;杭州","南宋","浙江杭州","–","汝窯考古;南宋臨安城遺址考古;南宋四家繪畫","浙江省文物考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","南宋官窯兩大窯場之一","南宋")
"南海一號沉船考古（南宋海上絲路）","廣東省文物考古研究院","2007–2019","考古與物質文化","廣東省文物考古研究院","CN-ST-NANSONG-NANHAI-01","–","zh","圖檔;文字","南宋貿易沉船「南海一號」於廣東陽江海域發現，2007年整體打撈入「海上絲綢之路博物館」，出土金器、瓷器（德化窯、龍泉窯、景德鎮窯等）數以萬計，貨物以瓷器為主，為南宋海外貿易與海上絲綢之路最重要之沉船實證，揭示泉州、廣州港之繁榮","南海一號;沉船;海上絲路;南宋;貿易瓷器;水下考古","南宋","廣東陽江","–","南宋海外貿易與市舶司史料;南宋臨安城遺址考古","廣東省文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","南宋海上絲路之最直接實證","南宋")
"南宋海外貿易與市舶司史料（泉州港）","李燾／宋會要／真德秀","南宋（1127–1279）","官方檔案文書","中央研究院","CN-ST-NANSONG-SHIBO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋海上貿易鼎盛，設市舶司於廣州、泉州、明州（寧波）、杭州，泉州更於紹興年間成為第一大港，出口瓷器、絲綢、茶葉，進口香料、珠寶、藥材。史料見《宋會要輯稿·職官·市舶司》《建炎以來繫年要錄》及趙汝适《諸蕃志》、真德秀文集，為研究南宋海洋貿易與東亞海路交流之關鍵","市舶司;泉州;海外貿易;海上絲路;諸蕃志;南宋","南宋","福建泉州;廣東廣州;浙江寧波","–","南海一號沉船考古;建炎以來朝野雜記;宋會要輯稿","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南宋海洋貿易之制度史料","南宋")
