"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"中國國家博物館藏品總目","中國國家博物館","2021","考古與物質文化","中國國家博物館","CN-NMC-COL-01","https://www.chnmuseum.cn/","zh","文字;圖檔","中國國家博物館藏品檢索系統，143萬件藏品涵蓋古代文物、近現當代文物，含甲骨、青銅器、瓷器、玉器、錢幣、碑帖拓本等","博物館;藏品;文物","舊石器時代–現代","全中國","–","中國國家博物館數字展厅","中國國家博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","代表國家收藏中華文化代表性物證之最高殿堂"
"故宮博物院藏品總目","國立故宮博物院","2010","考古與物質文化","國立故宮博物院","CN-NPM-COL-01","https://www.npm.gov.tw/","zh","文字;圖檔","故宮博物院官方網站典藏精選，含器物、書畫、古籍、檔案文獻、輿圖等分類檢索，玉器、銅器、陶瓷器等涵蓋新石器時代至明清","故宮;文物;藝術品;博物館","新石器時代–明清","中國（含臺北故宮）","–","故宮博物院數位文物庫","國立故宮博物院","–","2026-07-30","CC0;CC-BY","參見故宮數位文物庫授權規範","已收錄 metadata","全球最重要之中國藝術博物館之一"
"中國社會科學院考古研究所數據庫","中國社會科學院考古研究所","2020","考古與物質文化","中國社會科學院考古研究所","CN-CASS-ARCH-01","http://kaogu.cssn.cn/","zh;en","文字;圖檔","社科院考古所數據庫整合平臺，提供考古研究成果、田野發掘數據、學術出版物、專題研究等資訊，為中國考古學研究核心機構","考古;社科院;學術研究","舊石器時代–明清","全中國","–","中國考古網","中國社會科學院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","中國考古學最高學術研究機構"
"國家哲學社會科學文獻中心","中國社會科學院","2021","官方檔案文書","中國社會科學院","CN-NCSSD-01","https://www.ncpssd.org/","zh","文字","國家哲學社會科學文獻中心，收錄2,000萬+篇哲學社會科學文獻，含期刊、古籍、外文學術資源，考古與歷史學研究重要全文資料庫","學術文獻;期刊;全文資料庫","舊石器時代–現代","全中國","–","–","中國社會科學院","–","2026-07-30","UNCLEAR","免費註冊使用，部分文獻有限制","已收錄 metadata","中國最大之開放獲取哲學社會科學文獻平臺"
"殷墟博物館數字展廳","殷墟博物館","2023","考古與物質文化","殷墟博物館","CN-YINXU-01","https://www.anyangyinxu.cn/","zh","圖檔;影音","殷墟博物館數位展廳，展示商代晚期都城遺址考古成果，含甲骨文、青銅器、玉器、車馬坑等出土文物數位展示","殷墟;甲骨文;商代;考古","商","河南安陽","–","–","殷墟博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","世界文化遺產，中國考古學重要里程碑"
"良渚博物院數字展廳","良渚博物院","2021","考古與物質文化","良渚博物院","CN-LIANGZHU-01","https://www.lzmuseum.cn/","zh","圖檔;影音","良渚博物院數位展廳，展示良渚文化（距今5300-4300年）考古成果，含玉器、陶器、水利系統、古城遺址等數位資源","良渚;新石器時代;玉器;考古","新石器時代","浙江杭州","–","–","良渚博物院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","世界文化遺產，中華五千年文明實證"
"紅山文化數字博物館","遼寧省文物考古研究院","2022","考古與物質文化","遼寧省文物考古研究院","CN-HONGSHAN-01","https://www.lnkgw.com/","zh","圖檔;影音","紅山文化數位博物館，展示遼西地區紅山文化（距今6500-5000年）考古成果，含牛河梁遺址、玉豬龍等重要文物數位資源","紅山文化;新石器時代;玉器;考古","新石器時代","遼寧內蒙古","–","玉出紅山—紅山文化考古成就展（中國國家博物館）","遼寧省文物考古研究院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","中華文明起源研究關鍵文化"
"三星堆博物館數字展廳","三星堆博物館","2022","考古與物質文化","三星堆博物館","CN-SANXINGDUI-01","https://www.sxd.cn/","zh","圖檔;影音","三星堆博物館數位展廳，展示三星堆文化（距今4800-2600年）考古發掘成果，含青銅神樹、黃金面具、象牙等出土文物數位資源","三星堆;古蜀;青銅器;考古","新石器時代–商周","四川廣漢","–","–","三星堆博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","古蜀文明最重要之考古發現"
"全球漢籍影像開放集成系統","北京大學","2023","考古與物質文化","北京大學","CN-GUJI-OPEN-01","https://guji.wenxianxue.cn/","zh","文字;圖檔","全球漢籍影像開放集成系統，含考古、簡帛、石刻、西南文物、佛教造像、碑帖、善本古籍等12類數位藏品，支援跨庫查詢","古籍;漢籍;數位化;開放獲取","先秦–明清","全球","–","–","北京大學","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","全球漢籍影像開放整合之重要平臺"
"中國國家圖書館古籍數位資源","中國國家圖書館","2010","官方檔案文書","中國國家圖書館","CN-NLC-GUJI-01","https://www.nlc.cn/","zh","文字;圖檔","中國國家圖書館古籍數位資源，含古籍特藏、甲骨文拓片、敦煌遺書、碑帖拓本、年畫、輿圖等數位館藏，是中國最大之古籍數位典藏","古籍;國家圖書館;數位典藏","先秦–明清","全中國","–","–","中國國家圖書館","–","2026-07-30","UNCLEAR","部分資源需註冊登入","已收錄 metadata","全球最大之中文古籍收藏機構"
"尚古匯典·典籍整理文獻數據庫","上海古籍出版社","2022","官方檔案文書","上海古籍出版社","CN-SHANGUDIAN-01","https://www.shanggu.com/","zh","文字","上海古籍出版社整理本古籍資料庫，匯聚歷代金石著錄、書目題跋、經注疏禮制考證，涵蓋金石考古、古文字訓詁等研究關聯主題","古籍;金石;考古;文獻","先秦–明清","全中國","–","–","上海古籍出版社","–","2026-07-30","ARR","需授權使用","已收錄 metadata","出土文獻與傳世文獻互證重要資源"
