"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"晉書（漢籍全文資料庫）","房玄齡等","唐（648）","考古與物質文化","中央研究院","CN-WJ-JINSHU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","唐房玄齡等奉敕撰《晉書》，記載西晉（265–316）、東晉（317–420）兩晉156年歷史，含帝紀10卷、志20卷、列傳70卷、載記30卷，共130卷。其中載記專記十六國歷史，為研究魏晉南北朝過渡期之核心文獻","晉書;房玄齡;正史;西晉;東晉;十六國","西晉–東晉","全中國","–","三國志;宋書;魏書;資治通鑑","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","唐代官修兩晉史，含十六國載記為獨特體例","魏晉南北朝")
"南朝正史合輯：宋書／南齊書／梁書／陳書（漢籍全文資料庫）","沈約；蕭子顯；姚察、姚思廉","南朝–唐","考古與物質文化","中央研究院","CN-WJ-NANCHAOSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南朝四部正史合輯：梁沈約《宋書》100卷記劉宋60年；梁蕭子顯《南齊書》59卷記蕭齊24年；唐姚思廉《梁書》56卷記蕭梁56年；唐姚思廉《陳書》36卷記陳33年。為南朝政治、制度、社會之最基本史料","宋書;南齊書;梁書;陳書;南朝;正史","南朝","全中國","–","南史;晉書;宋書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南朝四史合為研究南朝史之核心史料群","南朝")
"北朝正史合輯：魏書／北齊書／周書（漢籍全文資料庫）","魏收；李百藥；令狐德棻","北齊–唐","考古與物質文化","中央研究院","CN-WJ-BEICHAOSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北朝三部正史合輯：北齊魏收《魏書》130卷記北魏歷史（含東魏）；唐李百藥《北齊書》50卷記高齊27年；唐令狐德棻《周書》50卷記宇文周25年。為北朝政治制度、民族融合之最基本文獻","魏書;北齊書;周書;北朝;正史","北朝","全中國","–","北史;南史;晉書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北朝三史為魏晉南北朝史研究之核心史料","北朝")
"南史北史（漢籍全文資料庫）","李延壽","唐（659）","考古與物質文化","中央研究院","CN-WJ-NANBEISHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","唐李延壽撰《南史》80卷、《北史》100卷，依家傳體例統合南朝四史與北朝三史，刪繁補缺，記事自宋至隋約400年。為研究南北朝史之最便捷入門正史","南史;北史;李延壽;南北朝;正史","南北朝","全中國","–","宋書;南齊書;梁書;陳書;魏書;北齊書;周書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","統合南北七史之家傳體正史","南北朝")
"世說新語（漢籍全文資料庫）","劉義慶","南朝宋（420–444）","人物傳記與家族史料","中央研究院","CN-WJ-SHISHUO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南朝宋劉義慶編《世說新語》，為中國第一部志人筆記小說，收錄東漢末年至東晉名士言行軼事1,130餘則，分36門。梁劉孝標注徵引古籍四百餘種，為魏晉名士風度與門閥社會生活之最重要文獻","世說新語;劉義慶;魏晉名士;志人小說;門閥","東晉–南北朝","全中國","–","晉書;顏氏家訓","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","魏晉風度之百科全書，中國志人小說之冠冕","魏晉南北朝")
"水經注（酈道元）","酈道元","北魏（515–524）","方志與輿圖","中央研究院","CN-WJ-SHUIJING-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北魏酈道元撰《水經注》，為中國古代最系統之河道地理著作。以《水經》為綱注釋河流1,252條，引書437種，記水道源流、沿岸城邑、古蹟、風物、傳說，為研究北魏以前中國歷史地理之最權威文獻","水經注;酈道元;地理;水道;北魏","魏晉南北朝","全中國","–","洛陽伽藍記;魏書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國古代地理學之最高成就，注文為原著二十倍","魏晉南北朝")
"洛陽伽藍記（漢籍全文資料庫）","楊衒之","北魏（547）","人物傳記與家族史料","中央研究院","CN-WJ-LUOYANGQIELAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北魏楊衒之撰《洛陽伽藍記》，記述北魏洛陽城佛寺建築、歷史變遷與社會百態，含伽藍（寺廟）60餘所。為研究北魏洛陽城、佛教寺院制度及都市生活之最詳實文獻，與《水經注》《顏氏家訓》並稱北朝三大散體文","洛陽伽藍記;楊衒之;北魏;洛陽;佛教;寺院","北魏","河南洛陽","–","北魏洛陽城遺址;水經注;魏書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北魏洛陽城佛寺興衰之第一手記錄","北魏")
"文心雕龍（漢籍全文資料庫）","劉勰","南朝齊（501–502）","考古與物質文化","中央研究院","CN-WJ-WENXIN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南朝梁劉勰撰《文心雕龍》，為中國第一部系統文學理論著作，全書50篇（含序），分總論、文體論、創作論、批評論四部分。體大思精，為魏晉南北朝文學理論之最高成就，在中國文學批評史上有無可取代之地位","文心雕龍;劉勰;文學理論;南朝","南北朝","全中國","–","文選;詩品","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國文學理論之巔峰，世界最早之系統文學批評著作之一","南北朝")
"二爨碑（爨寶子碑、爨龍顏碑）數位拓片","雲南省博物館","1961","碑碣與實物刻文","雲南省博物館","CN-WJ-CUANSTELAE-01","https://www.ynmuseum.org/","zh","圖檔;文字","二爨碑為雲南曲靖之兩通魏晉名碑：\n1. 爨寶子碑（東晉大亨四年/義熙元年，405年）：碑額「晉故振威將軍建寧太守爨府君墓」，書體介於隸楷之間，為「小爨」。\n2. 爨龍顏碑（南朝宋大明二年，458年）：碑額「宋故龍驤將軍護鎮蠻校尉寧州刺史邛都縣侯爨使君碑」，為「大爨」。\n二碑合稱二爨，為雲南邊疆漢字書法之瑰寶，全國重點文物保護單位","爨寶子碑;爨龍顏碑;二爨;魏晉;南朝宋;書法;碑刻","東晉–南朝","雲南曲靖","–","北魏孝文帝禮佛圖;熹平石經","雲南省博物館","–","2026-07-30","UNCLEAR","官網部分公開展示","已收錄 metadata","雲南邊疆漢字書法之極品，隸楷過渡期之典型","魏晉南北朝")
"鄧縣學莊南朝畫像磚墓","河南博物院","1958","考古與物質文化","河南博物院","CN-WJ-DENGXIAN-01","https://www.chnmus.net/","zh","圖檔;文物","1958年河南鄧縣學莊發現南朝畫像磚墓，墓室由彩色畫像磚砌築，磚面模印並施彩繪，題材涵蓋四神、羽人、飛仙、孝子故事、出行儀仗、樂舞百戲等。為南朝墓葬藝術之最高水平代表作","鄧縣畫像磚;南朝;墓葬;畫像磚;彩繪","南朝","河南鄧州","–","洛陽東漢帝陵;南陽漢畫館","河南博物院","–","2026-07-30","ARR","畫像磚為河南博物院鎮院之寶之一","已收錄 metadata","南朝墓室藝術之巔峰，彩色畫像磚之孤品","南朝")
"曹植《洛神賦》與建安賦文學","曹植","三國魏（222）","考古與物質文化","中央研究院","CN-WJ-LUOSHENFU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","曹植（子建）為建安文學之冠冕，謝靈運稱「天下才有一石，曹子建獨佔八斗」。《洛神賦》為其賦體文學最高成就，以人神戀愛寄託政治失意，辭藻華美、想像瑰麗，為魏晉抒情小賦典範，與〈七步詩〉〈白馬篇〉等並為建安文學代表作","曹植;洛神賦;建安文學;賦;三國","三國","全中國","–","曹丕典論論文;建安七子;文選","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","天下才共一石，曹子建獨佔八斗——建安文學之巔峰","三國")
"建安七子作品集（漢籍全文資料庫）","孔融；陳琳；王粲；徐幹；阮瑀；應瑒；劉楨","東漢末–三國魏","考古與物質文化","中央研究院","CN-WJ-JIANANQIZI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","建安七子（孔融、陳琳、王粲、徐幹、阮瑀、應瑒、劉楨）為東漢建安年間（196–220）鄴下文士集團代表，曹丕《典論·論文》首列七子。王粲〈登樓賦〉、陳琳〈為袁紹檄豫州〉、劉楨〈贈從弟〉等為建安風骨之典範，與三曹共同開創建安文學黃金時代","建安七子;建安風骨;鄴下;文學集團","三國","全中國","–","曹丕典論論文;曹操詩文;曹植洛神賦;文選","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","建安風骨之核心作家群，中國文學集團之始","三國")
"曹操詩文全集（漢籍全文資料庫）","曹操","東漢末–三國魏","考古與物質文化","中央研究院","CN-WJ-CAOCAO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","曹操（孟德）為建安文學開創者，樂府詩〈短歌行〉〈蒿里行〉〈觀滄海〉〈龜雖壽〉以舊題寫時事，慷慨悲涼、氣韻沉雄。鍾嶸《詩品》列為下品，然其「對酒當歌，人生幾何」「老驥伏櫪，志在千里」為千古名句，開啟建安風骨之先聲","曹操;建安;樂府詩;短歌行;三國;建安風骨","三國","全中國","–","曹丕典論論文;曹植洛神賦;建安七子","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","建安風骨之開創者，樂府詩之革新者","三國")
"曹丕《典論·論文》與建安文學批評","曹丕","三國魏（218）","考古與物質文化","中央研究院","CN-WJ-DIANLUN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","曹丕（子桓）《典論·論文》為中國第一篇系統文學批評專論，提出「文人相輕，自古而然」「文以氣為主」「文章經國之大業，不朽之盛事」等經典命題。首評建安七子文章風格，開魏晉南北朝文學批評之先河，影響〈文賦〉〈文心雕龍〉〈詩品〉深遠","曹丕;典論論文;文學批評;建安;三國","三國","全中國","–","建安七子;文心雕龍;文賦","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國文學批評之祖，首提「文以氣為主」","三國")
"竹林七賢文獻集（漢籍全文資料庫）","嵇康；阮籍；山濤；向秀；劉伶；王戎；阮咸","三國魏（240–265）","人物傳記與家族史料","中央研究院","CN-WJ-ZHULINQIXIAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","竹林七賢為正始時期（240–249）嵇康、阮籍、山濤、向秀、劉伶、王戎、阮咸七人，常集於山陽（今河南修武）竹林之下，肆意酣暢、清談玄理。嵇康《聲無哀樂論》《養生論》與〈與山巨源絕交書〉、阮籍《詠懷詩》82首與〈大人先生傳〉為魏晉思想文學之最高成就，象徵魏晉風度與反抗禮教之精神","竹林七賢;嵇康;阮籍;正始;清談;玄學","三國","河南焦作","–","世說新語;晉書;王弼老子注","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","魏晉風度之最高象徵，正始文學之核心","三國–西晉")
"嵇康全集（漢籍全文資料庫）","嵇康","三國魏（253）","考古與物質文化","中央研究院","CN-WJ-JIKANG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","嵇康（叔夜）為竹林七賢之首，中散大夫，博學多才，精音律、擅四言詩。〈聲無哀樂論〉為魏晉音樂美學里程碑，〈養生論〉開魏晉養生思想先河，〈與山巨源絕交書〉以「七不堪、二不可」標舉獨立人格，「《廣陵散》於今絕矣」成千古絕唱。其詩文合編為《嵇中散集》","嵇康;聲無哀樂論;養生論;廣陵散;竹林七賢;正始","三國","全中國","–","竹林七賢文獻集;世說新語;晉書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","《廣陵散》於今絕矣——魏晉名士精神之最高代表","三國–西晉")
"王弼《老子注》《周易注》（漢籍全文資料庫）","王弼","三國魏（240–249）","考古與物質文化","中央研究院","CN-WJ-WANGBI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","王弼（輔嗣）為魏晉玄學開創者，年二十餘即注《老子》《周易》，以「貴無論」統攝儒道。首倡「以無為本」「得象忘言、得意忘象」，將《老子》《周易》《莊子》提升為「三玄」，奠定魏晉玄學之理論基礎，影響佛學中國化與宋明理學至深","王弼;老子注;周易注;玄學;貴無論;三玄","三國","全中國","–","郭象莊子注;周易;老子","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","魏晉玄學之開山——王弼注老周易","三國–西晉")
"郭象《莊子注》（漢籍全文資料庫）","郭象","西晉（312）","考古與物質文化","中央研究院","CN-WJ-GUOXIANG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","郭象（子玄）為西晉玄學集大成者，在向秀《莊子注》基礎上「述而廣之」成《莊子注》33篇。首倡「獨化論」與「物各自造」，否定造物主，以「逍遙」為適性自足，將莊子思想系統化。其注與《莊子》並行，為研究魏晉玄學與道家哲學之核心文獻","郭象;莊子注;獨化論;玄學;西晉;逍遙","西晉","全中國","–","王弼老子注;莊子;世說新語","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","獨化於玄冥之境——郭象莊子注與魏晉玄學之完成","西晉")
"陶淵明集（漢籍全文資料庫）","陶淵明","東晉–南朝宋（365–427）","人物傳記與家族史料","中央研究院","CN-WJ-TAOQIAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","陶淵明（元亮，號五柳先生）為東晉末南朝宋初田園詩人之宗。〈桃花源記〉描繪理想烏托邦，〈歸去來兮辭〉標舉歸隱精神，〈飲酒〉其五「採菊東籬下，悠然見南山」為千古名句。鍾嶸《詩品》列為中品，然蘇軾、朱熹推為曹植以上，影響唐詩至深","陶淵明;田園詩;桃花源記;歸去來兮辭;東晉","東晉–南北朝","全中國","–","世說新語;文選;晉書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","古今隱逸詩人之宗——桃花源記與田園詩傳統","魏晉南北朝")
"《文選》（蕭統編，漢籍全文資料庫）","蕭統（梁昭明太子）","南朝梁（526–531）","考古與物質文化","中央研究院","CN-WJ-WENXUAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","梁昭明太子蕭統編《文選》，為中國現存最早之詩文總集，選錄周代至南朝梁130餘位作者700餘篇作品，分賦、詩、騷、七、詔、冊、令、教、文等38類。唐代有「文選爛，秀才半」之諺，李善注尤為權威。為研究先秦至南朝文學之必備文獻","文選;昭明文選;蕭統;總集;南朝;李善注","南北朝","全中國","–","文心雕龍;詩品;曹植洛神賦","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國文學總集之祖——文選爛、秀才半","南北朝")
"左思《三都賦》與西晉賦文學","左思","西晉（280–290）","考古與物質文化","中央研究院","CN-WJ-ZUOSI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","左思（太沖）為西晉太康文學代表，積十年寫成《三都賦》（魏都賦、蜀都賦、吳都賦），洛陽豪貴競相抄寫，致「洛陽紙貴」成千古成語。賦文徵引宏博，詳列三國都城之地理、物產、宮室、風俗，兼具文學價值與史料價值，為魏晉京都賦之冠","左思;三都賦;洛陽紙貴;西晉;京都賦;太康文學","西晉","全中國","–","曹植洛神賦;文選;晉書","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","洛陽紙貴——左思十年磨一賦","西晉")
"魏晉清談與玄學思潮合集（漢籍全文資料庫）","何晏；王弼；向秀；郭象；張湛","三國魏–東晉","人物傳記與家族史料","中央研究院","CN-WJ-QINGTAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","魏晉清談（玄談）為魏晉知識分子以三玄（《老子》《莊子》《周易》）為核心之哲學辯論風尚，始於正始（240–249）何晏、王弼之玄學，經竹林七賢（嵇康、阮籍）之越名教而任自然，至東晉以佛理入玄、三教交融。核心議題含：有無之辯、言意之辯、才性四本、聲有哀樂論、養生論、聖人有情與否等，為中國哲學史上少見之純粹形上學討論時期。集大成著作含何晏《論語集解》、王弼《老子注》《周易注》、向秀〈難養生論〉、郭象《莊子注》、張湛《列子注》、僧肇《肇論》等，為魏晉思想史核心文獻群","清談;玄學;三玄;正始;名教與自然;言意之辯;才性四本","三國–東晉","全中國","–","世說新語;王弼老子注;郭象莊子注;竹林七賢文獻集;嵇康全集","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","魏晉清談為中國哲學史上少見之純粹形上學討論時代","魏晉南北朝")
