"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"懸泉漢簡","甘肅省文物考古研究所","1990","考古與物質文化","甘肅省文物考古研究所","CN-HAN-XUANQUAN-01","https://www.gskaogu.com/","zh","文字;圖檔","1990–1992年甘肅敦煌懸泉置遺址出土23,000餘枚漢簡，為漢代郵驛系統文書檔案，含詔書、律令、公文書、郵傳記錄、過所（通行證）等，對漢代交通制度、西域經營研究有重大意義","懸泉置;漢簡;絲綢之路;郵驛","西漢–新","甘肅敦煌","–","敦煌漢簡;居延漢簡","甘肅省文物考古研究所","–","2026-07-30","ARR","整理報告由中華書局出版","已收錄 metadata","出土漢簡數量僅次於里耶秦簡之驛站遺址","漢")
"尹灣漢簡","南京博物院","1993","考古與物質文化","南京博物院","CN-HAN-YINWAN-01","https://www.njmuseum.com/","zh","文字;圖檔","1993年江蘇連雲港東海縣尹灣漢墓出土6號墓西漢簡牘，含《集簿》《東海郡下轄長吏名籍》《武庫永始四年兵車器集簿》等行政文書，為漢代地方行政制度之第一手檔案","尹灣漢簡;西漢;行政文書;地方制度","西漢","江蘇連雲港","–","張家山漢簡;里耶秦簡","南京博物院","–","2026-07-30","ARR","整理報告由中華書局出版","已收錄 metadata","漢代地方行政檔案之最完整出土實例","漢")
"熹平石經殘石數位典藏","中國國家博物館","東漢（175–183）","考古與物質文化","中國國家博物館","CN-HAN-XIPINGSHIJING-01","https://www.chnmuseum.cn/","zh","圖檔;文字","東漢靈帝熹平四年（175年）蔡邕等奏請正定六經文字，刻石立於太學門外，為中國最早的官定儒家經本石刻。殘石現存於中國國家博物館、洛陽博物館等地，為東漢經學與書法研究之珍貴實物","熹平石經;東漢;經學;石刻;蔡邕","東漢","河南洛陽","–","尚書;周易;春秋","中國國家博物館","–","2026-07-30","ARR","殘石拓片經國家圖書館整理出版","已收錄 metadata","中國最早的官定石經，隸書典範","漢")
"南陽漢畫館（漢代畫像石專題）","南陽漢畫館","1935","考古與物質文化","南陽漢畫館","CN-HAN-NANYANG-PAINTING-01","https://www.nyhhg.com/","zh","圖檔;文物","南陽漢畫館為中國第一座漢代畫像石專題博物館，收藏1,500餘件東漢畫像石，題材涵蓋天文星象、神話傳說、歷史故事、車馬出行、舞樂百戲等，為東漢南陽郡社會生活之生動寫照","漢畫像石;南陽;東漢;石刻藝術","東漢","河南南陽","–","熹平石經;洛陽東漢帝陵","南陽漢畫館","–","2026-07-30","UNCLEAR","園區公開展示","已收錄 metadata","中國漢畫像石三大集中地之一（南陽、徐州、四川）","漢")
"長沙簡牘博物館","長沙簡牘博物館","2003","考古與物質文化","長沙簡牘博物館","CN-HAN-CHANGSHA-BAMBOO-01","https://www.chinajiandu.cn/","zh","文字;圖檔","長沙簡牘博物館收藏1996年長沙走馬樓出土三國吳簡（10萬餘枚）及歷年長沙出土東漢簡牘，為漢晉之際地方行政、戶籍賦役制度之關鍵史料","長沙簡牘;東漢;三國吳簡;出土文獻","東漢–三國","湖南長沙","–","里耶秦簡;尹灣漢簡","長沙簡牘博物館","–","2026-07-30","UNCLEAR","官網部分公開","已收錄 metadata","走馬樓吳簡為中國出土最多之三國簡牘","漢")
"洛陽東漢帝陵考古","洛陽市文物考古研究院","2005","考古與物質文化","洛陽市文物考古研究院","CN-HAN-LUOYANGDI-01","https://www.lykgy.com/","zh","圖檔;文字;地圖","洛陽東漢帝陵分布於洛陽東北及東南兩區，含光武帝原陵、明帝顯節陵、章帝敬陵、和帝慎陵等12座帝陵，近年考古調查確定了陵區範圍及陵園制度，為東漢等級最高之墓葬遺存","東漢帝陵;洛陽;考古;陵園制度","東漢","河南洛陽","–","漢陽陵;漢長安城","洛陽市文物考古研究院","–","2026-07-30","ARR","考古調查報告由中州古籍出版社出版","已收錄 metadata","東漢12帝陵園制度研究之基礎","漢")
"河南博物院漢代文物典藏","河南博物院","1927","考古與物質文化","河南博物院","CN-HAN-HENAN-01","https://www.chnmus.net/","zh","圖檔;文物;影音","河南博物院為中國三大博物館之一，漢代收藏含洛陽燒溝漢墓、南陽畫像石、鞏義鐵生溝冶鐵遺址、漢代陶樓、漢代銅鏡等大量漢代出土文物，為中原地區漢代物質文化之集大成","河南博物院;漢代;文物;中原地區","西漢–東漢","河南鄭州","–","洛陽東漢帝陵;南陽漢畫館","河南博物院","–","2026-07-30","UNCLEAR","官網公開展出","已收錄 metadata","中原地區漢代文物收藏最豐富之機構","漢")
"北京大學藏西漢竹簡","北京大學","2009","考古與物質文化","北京大學","CN-HAN-BEIDA-01","https://www.pku.edu.cn/","zh","文字;圖檔","2009年北京大學獲贈3,300餘枚西漢竹簡，經碳十四定年約為西漢中期，內容含《周馴》《趙正書》《老子》《蒼頡篇》《反淫》《醫方》等，其中多為失傳兩千餘年之佚籍","北大漢簡;西漢;出土文獻;佚籍","西漢","全中國","–","銀雀山漢簡;馬王堆帛書","北京大學","–","2026-07-30","ARR","整理報告由上海古籍出版社出版，已出《北京大學藏西漢竹簡》1–5卷","已收錄 metadata","近年最重要的漢代竹簡收藏之一，多數為佚文","漢")
"漢書（漢籍全文資料庫）","班固","東漢（82）","考古與物質文化","中央研究院","CN-HAN-HANSHU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","東漢班固撰《漢書》（又稱《前漢書》），為中國第一部紀傳體斷代史，記述西漢一代229年歷史（高祖至王莽），含十二紀、八表、十志、七十列傳，共100卷，為秦漢史核心文獻","漢書;班固;正史;西漢;史學","東漢","全中國","–","史記;後漢書","中央研究院","–","2026-07-30","ARR","漢籍全文資料庫由中研院史語所建置","已收錄 metadata","與《史記》《後漢書》《三國志》合稱前四史","漢")
"居延新簡","甘肅省文物考古研究所","1972","考古與物質文化","甘肅省文物考古研究所","CN-HAN-JUYANXIN-01","https://www.gskaogu.com/","zh","文字;圖檔","1972–1982年甘肅省文物考古研究所對居延遺址進行系統發掘，出土9,000餘枚漢簡（稱居延新簡），內容補充了原有居延簡之不足，為漢代邊塞行政、軍事制度之繼續深化史料","居延新簡;漢代;邊塞;簡牘","西漢–東漢","內蒙古額濟納旗","–","居延漢簡;敦煌漢簡","甘肅省文物考古研究所","–","2026-07-30","ARR","《居延新簡》由文物出版社、中華書局出版","已收錄 metadata","與舊居延簡合計近20,000枚，為漢簡最大宗","漢")
