"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","中華民國"
"新青年（1915–1926）","陳獨秀","中華民國（1915–1926）","報刊與雜誌","中國國家圖書館","CN-ST-ROC-14","https://www.nlc.cn/","zh","文字","《新青年》原名《青年雜誌》，1915年陳獨秀創刊，為新文化運動之核心陣地，倡導文學革命、民主與科學，刊載魯迅〈狂人日記〉、胡適〈文學改良芻議〉等名篇","新青年;新文化運動;陳獨秀;文學革命;五四運動","中華民國（1912–1949）","上海、北京","–","魯迅日記與全集;胡適日記與書信集","新青年社","中國國家圖書館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","新文化運動核心刊物","中華民國"
"東方雜誌（1904–1948）","商務印書館","中華民國（1912–1948）","報刊與雜誌","上海圖書館","CN-ST-ROC-15","https://www.library.sh.cn/","zh","文字;圖檔","《東方雜誌》由商務印書館發行，為近代中國最悠久之綜合性雜誌，民國時期刊載時事、學術與文藝評論，上海圖書館完成數位化，為研究民國知識界之重要期刊","東方雜誌;商務印書館;期刊;學術;知識界","中華民國（1912–1949）","上海、全中國","–","申報;新青年","商務印書館","上海圖書館","2026-07-31","UNCLEAR","數位庫限館內使用","已收錄 metadata","近代中國最悠久綜合期刊","中華民國"
"中央日報（1928–1949）","中國國民黨中央宣傳部","中華民國（1928–1949）","報刊與雜誌","中國國家圖書館","CN-ST-ROC-16","https://www.nlc.cn/","zh","文字;圖檔","《中央日報》為中國國民黨中央機關報，1928年於上海創刊、後遷南京，抗戰時期移重慶，為國民政府官方輿論喉舌，其社論與報導反映執政黨立場，中國國家圖書館有完整典藏","中央日報;國民黨;機關報;宣傳;抗戰","中華民國（1912–1949）","上海、南京、重慶","–","大公報;中華民國政府公報","中國國民黨中央宣傳部","中國國家圖書館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","國民政府官方報紙","中華民國"
"獨立評論（1932–1937）","獨立評論社","中華民國（1932–1937）","報刊與雜誌","中央研究院近代史研究所","CN-ST-ROC-17","https://www.mh.sinica.edu.tw/","zh","文字","《獨立評論》1932年由胡適等知識分子創辦，以「不倚傍任何黨派」之獨立論政著稱，刊載大量時局評論，涵蓋中日衝突、憲政與民主自由議題，為民國自由主義言論之代表刊物","獨立評論;胡適;自由主義;論政;知識分子","中華民國（1912–1949）","北平、全中國","–","胡適日記與書信集;新青年","獨立評論社","中央研究院近代史研究所","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","民國自由主義言論代表刊物","中華民國"
"蔣中正日記（1918–1972）","蔣中正","中華民國（1918–1972）","人物傳記與家族史料","史丹佛大學胡佛研究所","CN-ST-ROC-18","https://www.hoover.org/","zh","文字;圖檔","蔣中正自1918年至1972年之逐日日記，涵蓋北伐、抗戰、國共內戰與遷台後時期，原件藏於史丹佛大學胡佛研究所檔案館並數位開放閱覽，為民國政治史最重要之個人史料","蔣中正;日記;胡佛研究所;北伐;抗戰","中華民國（1912–1949）","全中國","–","國史館藏蔣中正總統文物;張學良口述歷史與檔案","蔣中正","史丹佛大學胡佛研究所","2026-07-31","UNCLEAR","數位檔須於館內閱覽","已收錄 metadata","民國政治史最重要個人史料","中華民國"
"胡適日記與書信集","胡適","中華民國（1912–1962）","人物傳記與家族史料","中央研究院近代史研究所","CN-ST-ROC-19","https://www.mh.sinica.edu.tw/","zh","文字;圖檔","胡適之留學日記、大陸時期日記與往來書信，記錄其在新文化運動、北大任教、駐美大使任內之交遊與思想，近代史研究所「胡適檔案」系統整理，為民國思想文化史之重要史料","胡適;日記;書信;新文化運動;近代史研究所","中華民國（1912–1949）","北平、上海、美國","–","獨立評論;新青年","胡適","中央研究院近代史研究所","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","胡適手稿與書信檔案","中華民國"
"魯迅日記與全集","魯迅","中華民國（1912–1936）","人物傳記與家族史料","北京魯迅博物館","CN-ST-ROC-20","–","zh","文字","魯迅（周樹人）之逐日日記（1912–1936）與全集著作，日記紀錄其在教育部、北大與上海之日常與交遊，北京魯迅博物館典藏手稿，為新文化運動與民國文學之核心史料","魯迅;日記;新文學;小說;博物館","中華民國（1912–1949）","北平、上海、廈門","–","新青年;中華民國政府公報","魯迅","北京魯迅博物館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","魯迅手稿與日記典藏","中華民國"
"梁啟超全集","梁啟超","中華民國（1912–1929）","人物傳記與家族史料","中華書局","CN-ST-ROC-21","https://www.zhbc.com.cn/","zh","文字","梁啟超在民國時期之論著、書信與函牘全集，涵蓋其由維新派轉向民國政治與學術研究之歷程，中華書局整理出版，為研究民初政治與學術之基本文獻","梁啟超;全集;民初政治;學術;中華書局","中華民國（1912–1949）","全中國","–","新青年;中華民國政府公報","中華書局","中華書局","2026-07-31","UNCLEAR","出版品公開發行","已收錄 metadata","梁啟超民國論著全集","中華民國"
"張學良口述歷史與檔案","張學良","中華民國（1928–1936）","人物傳記與家族史料","哥倫比亞大學圖書館","CN-ST-ROC-22","https://library.columbia.edu/","zh","文字;影音","張學良晚年口述歷史與其奉系、東北軍時期檔案，口述訪談錄音存於哥倫比亞大學圖書館，涵蓋西安事變始末與國民政府時期東北政局，為民國軍事史之關鍵見證","張學良;口述歷史;東北軍;西安事變;哥倫比亞大學","中華民國（1912–1949）","東北、西安","–","西安事變史料;蔣中正日記","張學良","哥倫比亞大學圖書館","2026-07-31","UNCLEAR","數位檔須於館內閱覽","已收錄 metadata","張學良晚年口述訪談","中華民國"
"宋慶齡文獻與年譜","宋慶齡","中華民國（1912–1981）","人物傳記與家族史料","上海宋慶齡故居紀念館","CN-ST-ROC-23","–","zh","文字;圖檔","宋慶齡之函電、著作與年譜文獻，涵蓋其投身國民革命、抗日戰爭與新中國建設之歷程，上海宋慶齡故居紀念館典藏相關文物，為研究民國至建國時期女性政治人物之史料","宋慶齡;年譜;函電;孫中山;革命","中華民國（1912–1949）","上海、全中國","–","中華民國臨時約法;中華民國政府公報","宋慶齡","上海宋慶齡故居紀念館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","宋慶齡函電與文物","中華民國"
"傅斯年檔案","傅斯年","中華民國（1919–1950）","人物傳記與家族史料","中央研究院歷史語言研究所","CN-ST-ROC-24","https://www1.ihp.sinica.edu.tw/","zh","文字;圖檔","傅斯年於五四時期、史語所與台灣大學時期之文稿、函牘與治學檔案，為新文化運動與民國學術制度史之重要一手史料，史語所典藏並數位公開","傅斯年;檔案;史語所;五四運動;學術史","中華民國（1912–1949）","北平、南京、台北","–","安陽殷墟發掘報告;胡適日記與書信集","傅斯年","中央研究院歷史語言研究所","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","傅斯年手稿與治學檔案","中華民國"
"民國時期中國影像（哈佛燕京圖書館）","哈佛燕京圖書館","中華民國（1912–1949）","照片與影像","哈佛燕京圖書館","CN-ST-ROC-25","https://library.harvard.edu/","zh","圖檔","哈佛燕京圖書館典藏之民國時期中國照片，涵蓋城市景觀、人物肖像、社會風俗與重大事件，數位化後開放瀏覽，為民國社會史與物質文化之影像史料","民國;照片;哈佛燕京;影像;城市","中華民國（1912–1949）","全中國","–","民國南京城市老照片;抗日戰爭攝影集","哈佛燕京圖書館","哈佛燕京圖書館","2026-07-31","CC-BY-NC","圖像供研究使用須註明出處","已收錄 metadata","哈佛燕京民國影像典藏","中華民國"
"抗日戰爭攝影集（1937–1945）","中國國家圖書館","中華民國（1937–1945）","照片與影像","中國國家圖書館","CN-ST-ROC-26","https://www.nlc.cn/","zh","圖檔","抗戰時期之中國戰地攝影與宣傳照片，涵蓋淞滬會戰、大後方生活、重慶大轟炸與勝利受降等畫面，中國國家圖書館整理抗戰影像專題典藏，為戰爭史之直接視覺史料","抗日戰爭;攝影;戰地;重慶;受降","中華民國（1912–1949）","全中國","–","重慶國民政府戰時檔案;民國時期中國影像","中國國家圖書館","中國國家圖書館","2026-07-31","UNCLEAR","館藏影像，需申請調閱","已收錄 metadata","抗戰影像專題典藏","中華民國"
"民國南京城市老照片","南京市檔案館","中華民國（1912–1949）","照片與影像","南京市檔案館","CN-ST-ROC-27","–","zh","圖檔","南京市檔案館典藏之民國時期南京城市照片，涵蓋首都建設、中山陵工程、市街景觀與市民生活，為國民政府定都南京時期城市發展之影像紀錄","南京;首都;城市;老照片;建設","中華民國（1912–1949）","南京","–","國民政府檔案;民國時期中國影像","南京市檔案館","南京市檔案館","2026-07-31","UNCLEAR","館藏影像，需申請調閱","已收錄 metadata","民國首都城市影像","中華民國"
"中華民國統計提要","國民政府主計處統計局","中華民國（1935–1948）","統計與調查資料","國史館","CN-ST-ROC-28","https://www.drnh.gov.tw/","zh","文字","國民政府主計處統計局編纂之《中華民國統計提要》，系統彙編人口、農工、交通、財政等部門統計，為民國時期最具權威之綜合統計年刊，國史館典藏各期","統計;統計提要;主計處;人口;財政","中華民國（1912–1949）","全中國","–","民國時期人口統計與戶口調查;中國工業調查資料","國民政府主計處統計局","國史館","2026-07-31","UNCLEAR","數位檔須於館內閱覽","已收錄 metadata","民國權威綜合統計年刊","中華民國"
"中國工業調查資料（1930年代）","劉大鈞","中華民國（1933–1935）","統計與調查資料","中央研究院近代史研究所","CN-ST-ROC-29","https://www.mh.sinica.edu.tw/","zh","文字","經濟學家劉大鈞主持之中國工業調查，實地查訪各地工廠之資本、勞工與生產統計，為國民政府時期首次系統性工業普查，其成果經整理為民國工業史之基礎統計資料","工業調查;劉大鈞;統計;工廠;勞工","中華民國（1912–1949）","全中國","–","中華民國統計提要;中國銀行行史","劉大鈞","中央研究院近代史研究所","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","民國首次系統工業普查","中華民國"
"民國時期人口統計與戶口調查","中國國家圖書館","中華民國（1912–1949）","統計與調查資料","中國國家圖書館","CN-ST-ROC-30","https://www.nlc.cn/","zh","文字","民國時期內政部與各省之戶口調查統計資料，含1912年、1928年及1942年等歷次戶口普查成果，為研究民國人口結構、遷徙與戰時人口變動之基本統計史料","人口統計;戶口普查;內政部;人口;遷徙","中華民國（1912–1949）","全中國","–","中華民國統計提要;國共內戰與戡亂檔案","中國國家圖書館","中國國家圖書館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","民國歷次戶口普查資料","中華民國"
"安陽殷墟發掘報告（1928–1937）","中央研究院歷史語言研究所","中華民國（1928–1937）","考古與物質文化","中央研究院歷史語言研究所","CN-ST-ROC-31","https://www1.ihp.sinica.edu.tw/","zh","文字;圖檔","1928年起中央研究院史語所在安陽殷墟之十五次發掘紀錄與報告，出土甲骨、青銅器與宮殿基址，確立商代信史，為民國時期最重要之考古學成就，史語所整理出版田野工作報告","殷墟;甲骨;考古;史語所;商代","中華民國（1912–1949）","河南安陽","–","傅斯年檔案;中國營造學社古建築調查","中央研究院歷史語言研究所","中央研究院歷史語言研究所","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","中國現代考古奠基發掘","中華民國"
"中國營造學社古建築調查","中國營造學社","中華民國（1930–1946）","考古與物質文化","清華大學建築學院","CN-ST-ROC-32","–","zh","文字;圖檔","中國營造學社（1930年成立）對全國古建築之系統調查測繪紀錄，梁思成、林徽因主持之田野工作與《中國營造學社彙刊》，奠定中國建築史研究之基礎，資料現藏於清華大學建築學院","中國營造學社;梁思成;古建築;測繪;建築史","中華民國（1912–1949）","全中國","–","安陽殷墟發掘報告;清華大學與北京大學民國時期校史檔案","中國營造學社","清華大學建築學院","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","中國建築史研究奠基調查","中華民國"
"中央研究院近代史研究所口述歷史叢書","中央研究院近代史研究所","中華民國（1959–）","口述歷史","中央研究院近代史研究所","CN-ST-ROC-33","https://www.mh.sinica.edu.tw/","zh","文字","近代史研究所自1959年起訪問民國時期政治、軍事、外交與財經人物之口述歷史，累積數百種訪談紀錄並整理出版，為民國史研究最具規模之口述史料計畫","口述歷史;訪談;民國人物;近代史研究所;訪談錄","中華民國（1912–1949）","全中國","–","張學良口述歷史與檔案;抗戰老兵口述史","中央研究院近代史研究所","中央研究院近代史研究所","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","最具規模之民國口述史","中華民國"
"抗戰老兵口述史","中國社會科學院近代史研究所","中華民國（1937–1945）","口述歷史","中國社會科學院近代史研究所","CN-ST-ROC-34","–","zh","文字;影音","中國社會科學院近代史研究所與各地學術機構合作訪問抗戰親歷老兵之口述紀錄，涵蓋正面戰場、敵後游擊與後方民生，為戰史研究之珍貴田野資料","抗日戰爭;口述歷史;老兵;戰史;訪談","中華民國（1912–1949）","全中國","–","抗日戰爭攝影集;重慶國民政府戰時檔案","中國社會科學院近代史研究所","–","2026-07-31","UNCLEAR","訪談資料需申請使用","已收錄 metadata","抗戰親歷者田野訪談","中華民國"
"中國銀行行史與民國銀行檔案","中國銀行","中華民國（1912–1949）","產業與經濟實錄","中國銀行","CN-ST-ROC-35","https://www.boc.cn/","zh","文字","中國銀行自1912年改組成立起之行史與業務檔案，涵蓋其作為政府銀行、外匯銀行之角色與民國金融體系之演變，中國銀行總行檔案館整理行史資料","中國銀行;金融;行史;外匯;銀行業","中華民國（1912–1949）","上海、全中國","–","法幣改革與中央銀行檔案;中國工業調查資料","中國銀行","中國銀行","2026-07-31","UNCLEAR","館藏行史，需申請調閱","已收錄 metadata","民國金融體系重要銀行","中華民國"
"民國鐵道部與國有鐵路統計","中華民國鐵道部","中華民國（1912–1949）","產業與經濟實錄","中國國家圖書館","CN-ST-ROC-36","https://www.nlc.cn/","zh","文字;圖檔","民國時期鐵道部之國有鐵路營業統計與建設檔案，涵蓋平漢、津浦、隴海等幹線之里程、營收與運輸資料，為研究民國交通建設與經濟發展之基礎史料","鐵路;鐵道部;交通;運輸;統計","中華民國（1912–1949）","全中國","–","中華民國統計提要;中國工業調查資料","中華民國鐵道部","中國國家圖書館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","民國鐵路建設統計","中華民國"
"法幣改革與中央銀行檔案（1935）","中央銀行","中華民國（1935–1949）","產業與經濟實錄","中央銀行","CN-ST-ROC-37","https://www.cbc.gov.tw/","zh","文字","1935年11月國民政府推行法幣改革之決策檔案與中央銀行業務紀錄，統一貨幣發行並建立法幣制度，為民國貨幣金融史之關鍵事件，相關檔案分藏台北中央銀行與中國第二歷史檔案館","法幣;中央銀行;貨幣;金融;通貨膨脹","中華民國（1912–1949）","上海、重慶","–","中國銀行行史;中華民國統計提要","中央銀行","中央銀行","2026-07-31","UNCLEAR","館藏檔案，需申請調閱","已收錄 metadata","法幣改革決策檔案","中華民國"
"近代中國海關貿易統計（1912–1949）","總稅務司署","中華民國（1912–1949）","產業與經濟實錄","中央研究院近代史研究所","CN-ST-ROC-38","https://www.mh.sinica.edu.tw/","zh","文字","近代中國海關歷年貿易統計年刊，紀錄民國時期各口岸進出口貨值、商品結構與貿易對手國，為中外貿易史與經濟史研究之連續性統計史料","海關;貿易統計;對外貿易;口岸;經濟史","中華民國（1912–1949）","全中國","–","中華民國海關總稅務司署檔案;中國銀行行史","總稅務司署","中央研究院近代史研究所","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","民國對外貿易連續統計","中華民國"
"清華大學與北京大學民國時期校史檔案","清華學校","中華民國（1911–1949）","教育與醫療史","清華大學檔案館","CN-ST-ROC-39","https://dag.tsinghua.edu.cn/","zh","文字;圖檔","清華學校（1928年改大學）與北京大學在民國時期之校史檔案，涵蓋庚款留學、西南聯大遷校與院系調整前之辦學紀錄，清華大學檔案館系統典藏並數位公開","清華大學;北京大學;校史;西南聯大;高等教育","中華民國（1912–1949）","北平、長沙、昆明","–","中國營造學社古建築調查;傅斯年檔案","清華學校","清華大學檔案館","2026-07-31","UNCLEAR","數位檔需申請帳號","已收錄 metadata","民國高等校史檔案","中華民國"
"北京協和醫學院民國時期史料","北京協和醫學院","中華民國（1915–1949）","教育與醫療史","北京協和醫學院","CN-ST-ROC-40","https://www.pumc.edu.cn/","zh","文字;圖檔","美國洛克菲勒基金會創辦之北京協和醫學院史料，含辦學檔案、醫案與公衛調查，其現代醫學教育制度影響中國醫學界深遠，為民國醫療史與公衛史之重要史料","協和醫學院;醫學教育;公衛;洛克菲勒;醫療史","中華民國（1912–1949）","北平","–","民國時期人口統計與戶口調查;教育與醫療","北京協和醫學院","北京協和醫學院","2026-07-31","UNCLEAR","館藏檔案，需申請調閱","已收錄 metadata","現代醫學教育重要史料","中華民國"
"1931年江淮大水檔案","中華民國政府","中華民國（1931）","自然與環境背景","中國第二歷史檔案館","CN-ST-ROC-41","http://www.shac.net.cn/","zh","文字","1931年江淮特大水災之救災與災情檔案，涵蓋各省災區呈報、賑災委員會之放賑紀錄與災害損失統計，為民國環境史與災害史研究之重要官方檔案","1931年水災;江淮;災害;賑災;環境史","中華民國（1912–1949）","江蘇、安徽、湖北","–","中華民國統計提要;國共內戰與戡亂檔案","中華民國政府","中國第二歷史檔案館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","民國大災害官方檔案","中華民國"
