"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"慶曆新政史料（范仲淹）","范仲淹","北宋（1043–1044）","官方檔案文書","中央研究院","CN-ST-BEISONG-QINGLI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","宋仁宗慶曆三年（1043）范仲淹上《答手詔條陳十事》，提出明黜陟、抑僥倖、精貢舉、擇官長、均公田、厚農桑、修武備、減徭役、覃恩信、重命令十項改革綱領，主持新政逾年而敗，然開北宋改革風氣之先，其《岳陽樓記》亦傳誦千古","慶曆新政;范仲淹;條陳十事;改革","北宋","全中國","–","宋史;續資治通鑑長編;岳陽樓記","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","開北宋改革風氣之先","北宋")
"澶淵之盟與宋遼關係史料","李燾／司馬光","北宋（1004–1005）","官方檔案文書","中央研究院","CN-ST-BEISONG-CHANYUAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","宋真宗景德元年（1004）遼聖宗南侵，真宗親征，寇準力主與戰，宋遼訂澶淵之盟，宋歲輸遼銀絹，雙方維持和平百餘年，並開設榷場互市。史料見《續資治通鑑長編》景德紀事、《宋史·寇準傳》，為北宋與北方民族政權關係之樞紐","澶淵之盟;宋遼關係;寇準;歲幣;榷場","北宋","澶州（河南濮陽）;開封","–","遼史;續資治通鑑長編;宋史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋遼和平百餘年之基石","北宋")
"靖康之變史料（靖康要錄、靖康傳信錄）","徐夢莘／李綱","南宋（1126–1127）","官方檔案文書","中央研究院","CN-ST-BEISONG-JINGKANG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","靖康元年至二年（1126–1127）金兵兩度圍汴京，欽宗出降，徽欽二帝北擄，北宋滅亡，史稱靖康之變。《靖康要錄》逐日記載圍城始末，《靖康傳信錄》為李綱親歷自述，兼有《三朝北盟會編》（徐夢莘）彙輯宋金和戰原始文書","靖康之變;徽欽二帝;三朝北盟會編;靖康要錄;李綱","北宋","河南開封","–","宋史;續資治通鑑長編;建炎以來繫年要錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北宋滅亡之關鍵史料","北宋")
"北宋東京城遺址考古（開封）","河南省文物考古研究院","1981–","考古與物質文化","河南省文物考古研究院","CN-ST-BEISONG-DONJINGKAOGU-01","–","zh","圖檔;文字","北宋東京（開封）城三重城垣（宮城、內城、外城）遺址考古，自1981年龍亭湖畔發掘以來，陸續揭示御街、州橋、汴河河道、碼頭等遺存，出土瓷器、錢幣、建築構件甚夥，為研究北宋都城制度、城市規劃與考古發現之核心資料","北宋東京城;開封;考古;都城;汴河","北宋","河南開封","–","東京夢華錄;清明上河圖;汝窯考古","河南省文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","北宋都城三重城垣之實物遺存","北宋")
"汝窯考古（清涼寺汝官窯遺址）","河南省文物考古研究院","1987–2000","考古與物質文化","河南省文物考古研究院","CN-ST-BEISONG-RUYAO-01","–","zh","圖檔;文字","汝窯為北宋徽宗朝官窯，窯址位於河南寶豐清涼寺，1987年後多次發掘出土燒製區、作坊與天青釉汝瓷碎片二十餘萬片，器型見盤、洗、瓶、盞托等，釉色「雨過天青」，開片如蟹爪，為宋代五大名窯之首，汝窯考古係中國陶瓷史最重要之窯址發掘之一","汝窯;清涼寺;北宋官窯;天青釉;五大名窯","北宋","河南寶豐（清涼寺）","–","定窯;東京夢華錄;宋代瓷器","河南省文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","宋代五大名窯之首","北宋")
"定窯遺址考古（河北曲陽）","河北省文物考古研究院","1960s–","考古與物質文化","河北省文物考古研究院","CN-ST-BEISONG-DINGYAO-01","http://www.hbswwkg.com/","zh","圖檔;文字","定窯為宋代五大名窯之一，窯址位於河北曲陽澗磁村（古屬定州），北宋時以白瓷刻花、印花著稱並燒造宮廷用瓷，曲陽窯址群歷經多次考古發掘與調查，揭示宋金時期窯爐、作坊與瓷器標本，為北方白瓷體系研究之中心","定窯;曲陽;白瓷;刻花;宋代瓷器","北宋","河北曲陽","–","汝窯;磁州窯;宋代瓷器","河北省文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","宋代五大名窯之一","北宋")
"營造法式（李誡）","李誡","北宋（1103）","傳世文獻","中央研究院","CN-ST-BEISONG-YINGZAO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字;圖檔","北宋崇寧二年（1103）李誡奉敕編《營造法式》三十四卷，系統規定宮室、祠廟、官署、城門等木構建築之材分制度、大木作、小木作、石作、彩畫等工藝規範，附圖樣，為現存中國最早之建築營造法式典籍，東亞木構建築技術之權威文獻","營造法式;李誡;建築;大木作;宋代科技","北宋","全中國","–","夢溪筆談;清明上河圖","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國最早建築營造法式典籍","北宋")
"清明上河圖（張擇端，國立故宮博物院）","張擇端","北宋（1111–1125）","照片與影像","國立故宮博物院","CN-ST-BEISONG-QINGMING-01","https://www.npm.gov.tw/","zh","圖檔","北宋張擇端繪《清明上河圖》，絹本設色，縱24.8厘米、橫528.7厘米，描繪汴京（開封）郊野至市區沿汴河之清明時節景象，人物八百餘、舟車橋樑城郭俱備，為中國風俗畫之最，現藏國立故宮博物院，係研究北宋城市社會經濟之珍貴圖像史料","清明上河圖;張擇端;汴京;風俗畫;故宮博物院","北宋","河南開封","–","東京夢華錄;宣和畫譜;北宋東京城遺址考古","國立故宮博物院","–","2026-07-31","ARR","館藏數位影像依國立故宮博物院規定","已收錄 metadata","中國風俗畫之最","北宋")
"宣和畫譜（宋徽宗敕編）","宋徽宗敕編","北宋（1120）","傳世文獻","中央研究院","CN-ST-BEISONG-XUANHE-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋宣和二年（1120）徽宗敕編《宣和畫譜》二十卷，著錄宣和內府所藏歷代名家畫作六千餘件，分道釋、人物、宮室、番族、龍魚、山水、畜獸、花鳥、墨竹、蔬果十門，為宋代宮廷書畫收藏之總目，兼載畫家小傳，係中國繪畫史核心文獻","宣和畫譜;宋徽宗;書畫收藏;畫史;院畫","北宋","全中國","–","宣和書譜;清明上河圖","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代宮廷繪畫收藏總目","北宋")
"太平御覽（宋四大書之一）","李昉等（宋編）","北宋（983）","傳世文獻","中央研究院","CN-ST-BEISONG-TAIPING-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋太平興國年間李昉等奉敕編《太平御覽》一千卷，分五十五部五千五百餘目，徵引群經百家之書逾二千種（今多亡佚），與《太平廣記》《文苑英華》《冊府元龜》並稱「宋四大書」，保存北宋以前大量佚書佚文，為類書之冠","太平御覽;李昉;類書;宋四大書;文獻學","北宋","全中國","–","文苑英華;冊府元龜;太平廣記","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋四大書之一，類書之冠","北宋")
"活字印刷術史料（畢昇，夢溪筆談所載）","沈括（載）／畢昇（發明）","北宋（約1041）","傳世文獻","中央研究院","CN-ST-BEISONG-HUOZI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋慶曆年間（1041–1048）畢昇發明泥活字印刷術，其法載於沈括《夢溪筆談》卷十八「板印書籍」條，為世界上最早的活字印刷記載，較古騰堡鉛活字早約四百年，與雕版印刷（唐五代）、造紙（漢）並列中國對世界文明之重要貢獻","畢昇;活字印刷;夢溪筆談;沈括;四大發明","北宋","全中國","–","夢溪筆談;後唐長興刊刻九經","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","世界上最早的活字印刷記載","北宋")
"北宋科舉改革史料（糊名、謄錄、殿試）","李燾／宋會要","北宋（960–1127）","官方檔案文書","中央研究院","CN-ST-BEISONG-KEJU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋科舉制度重大改革：太祖開寶年間設殿試（天子親策）、太宗淳化年間行糊名（彌封）、真宗景德年間創謄錄制度，杜絕請託舞弊，並擴大取士規模，確立宋代「重文輕武」之政治格局。史料見《宋會要輯稿·選舉》《續資治通鑑長編》","科舉;殿試;糊名;謄錄;宋代選舉","北宋","全中國","–","宋會要輯稿;登科記考;宋史選舉志","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代科舉制度承唐啟明之關鍵","北宋")
"唐宋八大家文集（歐陽修、王安石、三蘇等）","歐陽修、蘇洵、蘇軾、蘇轍、王安石、曾鞏","北宋（11世紀）","傳世文獻","中央研究院","CN-ST-BEISONG-BADAJIA-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","「唐宋八大家」中北宋佔六家：歐陽修、王安石、蘇洵、蘇軾、蘇轍、曾鞏，與唐韓愈柳宗元並列。其古文創作上承韓柳、下啟明清，歐陽修開宋代古文運動，蘇軾詩詞文書畫兼絕，為中國文學史之高峰，相關詩文集見於漢籍全文資料庫","唐宋八大家;歐陽修;蘇軾;王安石;古文運動","北宋","全中國","–","全唐詩;花間集;東坡全集","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代文學高峰","北宋")
"東坡全集（蘇軾，漢籍全文資料庫）","蘇軾","北宋（1037–1101）","傳世文獻","中央研究院","CN-ST-BEISONG-DONGPO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","蘇軾《東坡全集》（又名《東坡七集》）收錄其詩、詞、賦、書、記、序、論、策、表、啟、尺牘及《易傳》《書傳》《論語說》等，蘇軾為北宋文壇領袖，詞開豪放一派，書法列宋四家之首，其文集為宋代文學與士大夫生活之重要史料","東坡全集;蘇軾;宋詞;豪放派;宋四家","北宋","全中國","–","唐宋八大家文集;宣和畫譜","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北宋文壇領袖之全集","北宋")
