"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","中華人民共和國"
"香港澳門回歸檔案","中華人民共和國政府","中華人民共和國（1984–1999）","官方檔案文書","中國第二歷史檔案館","CN-ST-PRC-11","http://www.shac.net.cn/","zh","文字;圖檔;影音","中英聯合聲明、中葡聯合聲明及香港（1997）、澳門（1999）回歸之官方檔案與典禮影像，涵蓋移交談判與特別行政區籌備過程，為共和國外交與國家統一史之重要史料","香港回歸;澳門回歸;一國兩制;中英聯合聲明;主權移交","中華人民共和國（1949–迄今）","香港、澳門、北京","–","中華人民共和國憲法與法律文本;新華社電訊與檔案","中華人民共和國政府","中國第二歷史檔案館","2026-07-31","UNCLEAR","館藏檔案，需申請調閱","已收錄 metadata","回歸過程官方檔案","中華人民共和國"
"中華人民共和國憲法與法律文本","全國人民代表大會","中華人民共和國（1954–迄今）","官方檔案文書","全國人民代表大會常務委員會","CN-ST-PRC-12","https://www.npc.gov.cn/","zh","文字","1954年、1975年、1978年、1982年歷部憲法及其修正案與現行法律文本，官方網站公布全文並持續更新，為查考共和國憲政演變與法制建設之基本文獻","憲法;法律;修正案;全國人大;法制","中華人民共和國（1949–迄今）","北京、全中國","–","全國人民代表大會常務委員會公報;中華民國臨時約法","全國人民代表大會","全國人民代表大會常務委員會","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","憲政演變基本文獻","中華人民共和國"
"中華人民共和國行政區劃地圖集","中華人民共和國民政部","中華人民共和國（1949–迄今）","方志與輿圖","中華人民共和國民政部","CN-ST-PRC-13","https://www.mca.gov.cn/","zh","文字;地圖","民政部編纂之行政區劃地圖與沿革資料，涵蓋省級行政區調整、地級市改制與縣級區劃變遷，民政部網站提供行政區劃查詢，為共和國行政區域變動之權威資料","行政區劃;地圖;民政部;省級行政區;沿革","中華人民共和國（1949–迄今）","全中國","–","中國新方志;國家統計局","中華人民共和國民政部","中華人民共和國民政部","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","行政區劃變動權威資料","中華人民共和國"
"中國新方志（1949年以來）","各省縣地方志編纂委員會","中華人民共和國（1949–迄今）","方志與輿圖","中國國家圖書館","CN-ST-PRC-14","https://www.nlc.cn/","zh","文字;地圖","1949年以來各地編修之省志、市志與縣志，內容涵蓋地理、沿革、經濟、社會與人物，中國國家圖書館「新方志」典藏為全國最完整，為研究共和國地方史之基礎文獻","新方志;地方志;縣志;省志;地方史","中華人民共和國（1949–迄今）","全中國","–","中華人民共和國行政區劃地圖集;中華人民共和國統計","各省縣地方志編纂委員會","中國國家圖書館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","共和國地方史基礎文獻","中華人民共和國"
"人民日報圖文資料庫","人民日報社","中華人民共和國（1948–迄今）","報刊與雜誌","人民日報社","CN-ST-PRC-15","https://www.people.com.cn/","zh","文字;圖檔","《人民日報》為中共機關報，1948年創刊迄今連續出版，人民網提供1946年以來圖文全文檢索，為研究共和國政治、社會與輿論史之最重要報刊史料","人民日報;機關報;報刊;新聞史;全文庫","中華人民共和國（1949–迄今）","北京、全中國","–","光明日報;新華社電訊與檔案","人民日報社","人民日報社","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國最重要報刊史料","中華人民共和國"
"光明日報","光明日報社","中華人民共和國（1949–迄今）","報刊與雜誌","光明日報社","CN-ST-PRC-16","https://www.gmw.cn/","zh","文字;圖檔","《光明日報》1949年創刊，以知識分子與學術界為主要讀者，報導科技、教育、文化與學術動態，光明網提供歷年內容檢索，為研究共和國知識界與意識形態史之重要報刊","光明日報;知識分子;學術;教育;報刊","中華人民共和國（1949–迄今）","北京、全中國","–","人民日報圖文資料庫;恢復高考檔案","光明日報社","光明日報社","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","知識界重要報刊","中華人民共和國"
"參考消息","新華通訊社","中華人民共和國（1931–迄今）","報刊與雜誌","新華社","CN-ST-PRC-17","https://www.news.cn/","zh","文字","《參考消息》由新華社主辦，創刊於革命時期、建國後成為公開發行之國際資訊報刊，轉載境外媒體報導並反映官方視野，為研究共和國對外認知與輿論之特殊史料","參考消息;新華社;國際資訊;報刊;輿論","中華人民共和國（1949–迄今）","北京、全中國","–","人民日報圖文資料庫;新華社電訊與檔案","新華通訊社","新華社","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","國際資訊官方報刊","中華人民共和國"
"中國青年報","中國青年報社","中華人民共和國（1951–迄今）","報刊與雜誌","中國青年報社","CN-ST-PRC-18","https://www.cyol.com/","zh","文字;圖檔","《中國青年報》1951年創刊，為共青團中央機關報，記錄歷代青年運動、知識青年與當代青年文化，中青在線提供全文檢索，為研究共和國青年史之重要報刊","中國青年報;青年;共青團;知青;報刊","中華人民共和國（1949–迄今）","北京、全中國","–","知識青年上山下鄉口述;人民日報圖文資料庫","中國青年報社","中國青年報社","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","青年運動重要報刊","中華人民共和國"
"文匯報","文匯報社","中華人民共和國（1949–迄今）","報刊與雜誌","文匯報社","CN-ST-PRC-19","https://www.whb.cn/","zh","文字","《文匯報》前身1938年創刊於上海，建國後為上海主要報紙之一，以知識分子讀者與文化報導見長，文匯網提供新聞與歷史內容，為研究共和國上海城市史與知識界之報刊","文匯報;上海;文化;知識分子;報刊","中華人民共和國（1949–迄今）","上海","–","申報;光明日報","文匯報社","文匯報社","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","上海知識界報刊","中華人民共和國"
"南方週末","南方日報報業集團","中華人民共和國（1984–迄今）","報刊與雜誌","南方日報報業集團","CN-ST-PRC-20","https://www.infzm.com/","zh","文字","《南方週末》1984年創刊，以深度報導與監督報導著稱，見證改革開放以來中國新聞界之發展，南方新聞網提供歷年文章，為研究當代中國社會與媒體史之代表性刊物","南方週末;深度報導;新聞;改革開放;媒體","中華人民共和國（1949–迄今）","廣州、全中國","–","人民日報圖文資料庫;改革開放親歷者口述","南方日報報業集團","南方日報報業集團","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","改革時代深度報導刊物","中華人民共和國"
"毛澤東選集與建國以來文稿","毛澤東","中華人民共和國（1949–1976）","人物傳記與家族史料","人民出版社","CN-ST-PRC-21","https://www.pph166.com/","zh","文字","《毛澤東選集》四卷與《建國以來毛澤東文稿》系列，收錄毛澤東著作、講話與文稿，人民出版社出版，為研究共和國建政與政治運動之核心一手文獻","毛澤東;選集;文稿;講話;中國共產黨","中華人民共和國（1949–迄今）","北京、全中國","–","中國共產黨中央文件選編;文化大革命檔案","毛澤東","人民出版社","2026-07-31","UNCLEAR","出版品公開發行","已收錄 metadata","毛澤東著作與文稿","中華人民共和國"
"周恩來年譜","中共中央文獻研究室","中華人民共和國（1949–1976）","人物傳記與家族史料","中共中央黨史和文獻研究院","CN-ST-PRC-22","https://www.dswxyjy.org.cn/","zh","文字","《周恩來年譜》與《周恩來文選》，系統編排周恩來自建國前至逝世之活動與文電，中共中央文獻研究室（現併入黨史和文獻研究院）編纂，為共和國外交與內政決策史之基礎史料","周恩來;年譜;文選;外交;總理","中華人民共和國（1949–迄今）","北京、全中國","–","中國共產黨中央文件選編;香港澳門回歸檔案","中共中央文獻研究室","中共中央黨史和文獻研究院","2026-07-31","UNCLEAR","出版品公開發行","已收錄 metadata","周恩來決策與活動紀錄","中華人民共和國"
"鄧小平文選與年譜","鄧小平","中華人民共和國（1978–1997）","人物傳記與家族史料","中共中央黨史和文獻研究院","CN-ST-PRC-23","https://www.dswxyjy.org.cn/","zh","文字","《鄧小平文選》三卷與《鄧小平年譜》，收錄鄧小平主持改革開放時期之講話、談話與文稿，中共中央文獻研究室編纂，為共和國改革開放史之核心一手文獻","鄧小平;文選;年譜;改革開放;南方談話","中華人民共和國（1949–迄今）","北京、深圳、全中國","–","十一屆三中全會與改革開放文件;深圳經濟特區檔案","鄧小平","中共中央黨史和文獻研究院","2026-07-31","UNCLEAR","出版品公開發行","已收錄 metadata","改革開放核心文獻","中華人民共和國"
"中國共產黨歷任領導人文獻庫","中共中央黨史和文獻研究院","中華人民共和國（1949–迄今）","人物傳記與家族史料","中國共產黨新聞網","CN-ST-PRC-24","https://cpc.people.com.cn/","zh","文字","中國共產黨新聞網整理之歷任領導人著作與講話文獻庫，涵蓋毛澤東以降各代領導人全集選集，為研究共和國高層政治與官方思想史之便捷檢索平台","領導人;文獻庫;中國共產黨;講話;全集","中華人民共和國（1949–迄今）","北京、全中國","–","毛澤東選集與建國以來文稿;鄧小平文選與年譜","中共中央黨史和文獻研究院","中國共產黨新聞網","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","歷任領導人文獻集成","中華人民共和國"
"中共黨史人物傳","中共中央黨史研究室","中華人民共和國（1949–）","人物傳記與家族史料","中共中央黨史和文獻研究院","CN-ST-PRC-25","https://www.dswxyjy.org.cn/","zh","文字","《中共黨史人物傳》大型人物傳記叢書，為歷代中國共產黨重要人物立傳，中共中央黨史研究室編纂、中共黨史出版社出版，為研究共和國政治人物史之基礎工具書","中共黨史;人物傳;傳記;中國共產黨;黨史","中華人民共和國（1949–迄今）","全中國","–","周恩來年譜;鄧小平文選與年譜","中共中央黨史研究室","中共中央黨史和文獻研究院","2026-07-31","UNCLEAR","出版品公開發行","已收錄 metadata","中共重要人物傳記叢書","中華人民共和國"
"錢學森文獻與檔案","錢學森","中華人民共和國（1955–2009）","人物傳記與家族史料","中國科學院","CN-ST-PRC-26","https://www.cas.cn/","zh","文字;圖檔","「兩彈一星」元勳錢學森之文集、書信與科學工作檔案，涵蓋其歸國、航天與系統工程思想，上海交通大學錢學森圖書館與中國科學院整理典藏，為共和國科技史之重要人物史料","錢學森;航天;兩彈一星;系統工程;科技史","中華人民共和國（1949–迄今）","北京、上海、全中國","–","兩彈一星元勳口述史;中國科學院科技發展史料","錢學森","中國科學院","2026-07-31","UNCLEAR","館藏檔案，需申請調閱","已收錄 metadata","航天奠基人檔案","中華人民共和國"
"開國大典影像與照片（1949）","中央檔案館","中華人民共和國（1949）","照片與影像","中央檔案館","CN-ST-PRC-27","https://www.saac.gov.cn/","zh","圖檔;影音","1949年10月1日中華人民共和國開國大典之紀錄影片與照片，含毛澤東宣告「中華人民共和國中央人民政府今天成立了」之歷史畫面，中央檔案館典藏並適度公開","開國大典;1949;影像;照片;天安門","中華人民共和國（1949–迄今）","北京","–","新華社歷史圖片庫;中華人民共和國憲法與法律文本","中央檔案館","中央檔案館","2026-07-31","UNCLEAR","館藏影像，需申請調閱","已收錄 metadata","建國歷史時刻影像","中華人民共和國"
"新華社歷史圖片庫","新華通訊社","中華人民共和國（1949–迄今）","照片與影像","新華社","CN-ST-PRC-28","https://www.news.cn/","zh","圖檔","新華社通訊員拍攝之歷史新聞照片庫，涵蓋建國以來重大事件、領袖活動與社會變遷，新華網影像頻道提供專題瀏覽，為共和國視覺史之最大型官方圖庫","新華社;新聞照片;圖庫;影像;歷史瞬間","中華人民共和國（1949–迄今）","全中國","–","開國大典影像與照片;改革開放四十年影像","新華通訊社","新華社","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國最大型官方圖庫","中華人民共和國"
"文化大革命影像資料","中國國家圖書館","中華人民共和國（1966–1976）","照片與影像","中國國家圖書館","CN-ST-PRC-29","https://www.nlc.cn/","zh","圖檔;影音","文化大革命時期之照片、宣傳畫與紀錄影像資料，涵蓋紅衛兵運動、大串聯與批鬥大會等畫面，中國國家圖書館整理文革專題文獻，為該時期之直接視覺史料","文化大革命;影像;紅衛兵;宣傳畫;照片","中華人民共和國（1949–迄今）","全中國","–","文化大革命檔案;人民日報圖文資料庫","中國國家圖書館","中國國家圖書館","2026-07-31","UNCLEAR","館藏影像，需申請調閱","已收錄 metadata","文革時期視覺史料","中華人民共和國"
"改革開放四十年影像","人民網","中華人民共和國（1978–2018）","照片與影像","人民網","CN-ST-PRC-30","https://www.people.com.cn/","zh","圖檔;影音","人民網製作之改革開放四十周年影像專題，含深圳特區、沿海開放、鄉鎮企業與城市變遷之新聞照片，為共和國轉型時期社會經濟變革之視覺紀錄","改革開放;影像;四十年;深圳;變遷","中華人民共和國（1949–迄今）","全中國","–","深圳經濟特區檔案;新華社歷史圖片庫","人民網","人民網","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","改革開放視覺紀錄","中華人民共和國"
"中國統計年鑑","國家統計局","中華人民共和國（1981–迄今）","統計與調查資料","國家統計局","CN-ST-PRC-31","https://www.stats.gov.cn/","zh","文字","《中國統計年鑑》自1981年起逐年出版，系統彙編國民經濟、人口、工業、農業、貿易與財政等指標，國家統計局網站提供歷年資料庫查詢，為研究共和國經濟社會之權威統計","統計年鑑;國家統計局;國民經濟;指標;數據庫","中華人民共和國（1949–迄今）","全中國","–","中國人口普查資料;中國工業與國民經濟統計","國家統計局","國家統計局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國權威綜合統計","中華人民共和國"
"中國人口普查資料（1953–2020）","國家統計局","中華人民共和國（1953–2020）","統計與調查資料","國家統計局","CN-ST-PRC-32","https://www.stats.gov.cn/","zh","文字","1953、1964、1982、1990、2000、2010、2020年歷次全國人口普查資料，涵蓋人口總量、結構、城鄉分布與家庭規模，國家統計局公布歷次普查公報與主要數據，為共和國人口史之基礎統計","人口普查;人口;普查;國家統計局;人口結構","中華人民共和國（1949–迄今）","全中國","–","中國統計年鑑;民國時期人口統計與戶口調查","國家統計局","國家統計局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","歷次人口普查數據","中華人民共和國"
"中國工業與國民經濟統計","國家統計局","中華人民共和國（1949–迄今）","統計與調查資料","國家統計局","CN-ST-PRC-33","https://www.stats.gov.cn/","zh","文字","國家統計局發布之工業生產、國內生產總值、固定資產投資與國民經濟核算等統計資料，含改革開放前後對比數據，為研究共和國經濟發展與結構變遷之權威數據來源","工業統計;國民經濟;GDP;統計數據;經濟發展","中華人民共和國（1949–迄今）","全中國","–","中國統計年鑑;一五計畫與社會主義改造檔案","國家統計局","國家統計局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國經濟統計權威","中華人民共和國"
"中國能源統計年鑑","國家統計局","中華人民共和國（1986–迄今）","統計與調查資料","國家統計局","CN-ST-PRC-34","https://www.stats.gov.cn/","zh","文字","《中國能源統計年鑑》彙編能源生產、消費、進出口與結構數據，國家統計局能源統計資料庫提供歷年查詢，為研究共和國能源政策與環境變遷之基礎統計史料","能源統計;能源;年鑑;統計數據;環境","中華人民共和國（1949–迄今）","全中國","–","中國統計年鑑;三北防護林工程史料","國家統計局","國家統計局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","能源數據基礎史料","中華人民共和國"
"秦始皇兵馬俑發掘報告（1974）","秦始皇帝陵博物院","中華人民共和國（1974–）","考古與物質文化","秦始皇帝陵博物院","CN-ST-PRC-35","https://www.bmy.com.cn/","zh","文字;圖檔","1974年陝西臨潼農民打井發現、秦始皇兵馬俑坑之發掘與保護工作，出土陶俑、陶馬與青銅兵器，秦始皇帝陵博物院整理發掘報告與研究資料，為共和國最著名考古發現之一","兵馬俑;秦始皇陵;考古;發掘報告;世界文化遺產","中華人民共和國（1949–迄今）","陝西西安","–","馬王堆漢墓發掘報告;中華文明探源工程","秦始皇帝陵博物院","秦始皇帝陵博物院","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","二十世紀重大考古發現","中華人民共和國"
"馬王堆漢墓發掘報告（1972–1974）","湖南省博物館","中華人民共和國（1972–1974）","考古與物質文化","湖南省博物館","CN-ST-PRC-36","https://www.hnmuseum.com/","zh","文字;圖檔","1972–1974年湖南長沙馬王堆漢墓之系統發掘，出土西漢女屍、帛畫、帛書與漆器，湖南省博物館典藏並發表發掘報告，為共和國考古學之里程碑發掘","馬王堆;漢墓;帛書;發掘報告;西漢","中華人民共和國（1949–迄今）","湖南長沙","–","秦始皇兵馬俑發掘報告;中華文明探源工程","湖南省博物館","湖南省博物館","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","馬王堆重大考古發掘","中華人民共和國"
"南海一號沉船考古（2007）","廣東省博物館","中華人民共和國（1987–2007）","考古與物質文化","廣東省博物館","CN-ST-PRC-37","https://www.gdmuseum.com/","zh","文字;圖檔","南宋古船「南海一號」之發現與2007年整體打撈，出水大量瓷器、金器與錢幣，廣東省博物館（海上絲綢之路博物館）整理考古資料，為共和國水下考古之代表性成果","南海一號;沉船;水下考古;海上絲綢之路;南宋","中華人民共和國（1949–迄今）","廣東陽江","–","中華文明探源工程;三星堆祭祀坑新發掘","廣東省博物館","廣東省博物館","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","水下考古代表性成果","中華人民共和國"
"三星堆祭祀坑新發掘（1986、2020–）","四川省文物考古研究院","中華人民共和國（1986–）","考古與物質文化","三星堆博物館","CN-ST-PRC-38","https://www.sxd.cn/","zh","文字;圖檔","1986年與2020年以來四川廣漢三星堆祭祀坑之發掘，出土青銅面具、神樹、金杖與象牙等，四川省文物考古研究院主持發掘、三星堆博物館展示，為古蜀文明之核心考古成果","三星堆;古蜀文明;青銅器;祭祀坑;考古","中華人民共和國（1949–迄今）","四川廣漢","–","中華文明探源工程;秦始皇兵馬俑發掘報告","四川省文物考古研究院","三星堆博物館","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","古蜀文明核心考古成果","中華人民共和國"
"中華文明探源工程","國家文物局","中華人民共和國（2002–）","考古與物質文化","國家文物局","CN-ST-PRC-39","https://www.ncha.gov.cn/","zh","文字;圖檔","國家「中華文明探源工程」之考古研究與發掘成果，涵蓋良渚、石峁、陶寺、二里頭等遺址之多學科研究，國家文物局公布階段性成果，為共和國考古學國家工程之代表","中華文明探源;考古;良渚;石峁;二里頭","中華人民共和國（1949–迄今）","全中國","–","良渚古城與水利系統遺址;秦始皇兵馬俑發掘報告","國家文物局","國家文物局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","文明起源國家考古工程","中華人民共和國"
"人民英雄紀念碑碑文與設計史料","北京市人民政府","中華人民共和國（1949–1958）","碑碣與實物刻文","國家文物局","CN-ST-PRC-40","https://www.ncha.gov.cn/","zh","文字;圖檔","北京天安門廣場人民英雄紀念碑之興建史料，含毛澤東題詞「人民英雄永垂不朽」與碑座浮雕設計，1958年落成，相關圖檔與設計資料為共和國紀念碑刻之代表","人民英雄紀念碑;天安門;浮雕;紀念碑;碑文","中華人民共和國（1949–迄今）","北京","–","革命紀念碑與烈士陵園史料;開國大典影像與照片","北京市人民政府","國家文物局","2026-07-31","UNCLEAR","館藏影像，需申請調閱","已收錄 metadata","共和國紀念碑刻代表","中華人民共和國"
"革命紀念碑與烈士陵園史料","國家文物局","中華人民共和國（1949–迄今）","碑碣與實物刻文","國家文物局","CN-ST-PRC-41","https://www.ncha.gov.cn/","zh","文字;圖檔","全國革命紀念碑、烈士陵園與革命文物之登錄與保護資料，國家文物局公布文物保護單位名錄與革命文物專題，為共和國「革命文物」體系之系統紀錄","革命紀念碑;烈士陵園;革命文物;文物保護;紀念","中華人民共和國（1949–迄今）","全中國","–","人民英雄紀念碑碑文與設計史料;國家文物局","國家文物局","國家文物局","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","革命文物體系紀錄","中華人民共和國"
"兩彈一星元勳口述史","中國科學院","中華人民共和國（1955–）","口述歷史","中國科學院","CN-ST-PRC-42","https://www.cas.cn/","zh","文字;影音","參與原子彈、氫彈與人造衛星工程之科學家口述訪談，涵蓋錢學森、鄧稼先、于敏等元勳之親歷紀錄，中國科學院組織口述史計畫整理，為共和國科技史之珍貴見證","兩彈一星;口述史;科學家;錢學森;國防科技","中華人民共和國（1949–迄今）","北京、青海、新疆","–","錢學森文獻與檔案;中國科學院科技發展史料","中國科學院","中國科學院","2026-07-31","UNCLEAR","訪談資料需申請使用","已收錄 metadata","兩彈一星親歷者訪談","中華人民共和國"
"知識青年上山下鄉口述","中國國家圖書館","中華人民共和國（1968–1981）","口述歷史","中國國家圖書館","CN-ST-PRC-43","https://www.nlc.cn/","zh","文字;影音","1968年知識青年上山下鄉運動之親歷者口述訪談與回憶錄，涵蓋下鄉知青在農村的勞動與生活經歷，中國國家圖書館整理專題文獻，為共和國社會史之重要口述史料","知識青年;知青;上山下鄉;口述史;一代人","中華人民共和國（1949–迄今）","全中國","–","中國青年報;改革開放親歷者口述","中國國家圖書館","中國國家圖書館","2026-07-31","UNCLEAR","訪談資料需申請使用","已收錄 metadata","知青一代口述紀錄","中華人民共和國"
