"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"臺灣考古學（通論性專書）","劉益昌、劉瑩三、陳有貝、顏廷伃等","2019","考古與物質文化","南天書局","ISBN 9789869927200","–","zh","文字","臺灣考古學通論專書，系統性介紹臺灣從舊石器時代到歷史時期之考古學研究成果、理論與方法","臺灣考古學;通論;史前文化;研究方法","舊石器時代–歷史時期","全臺灣","–","–","南天書局","–","2026-07-30","ARR","紙本書；需購閱","僅收錄 metadata","臺灣考古學最新通論專書"
"臺灣的史前文化（科普專書）","劉益昌","2011","考古與物質文化","新北市立十三行博物館","–","–","zh","文字","以通俗易懂方式介紹臺灣各時期史前文化之科普專書，含豐富插圖與遺址分布","史前文化;科普;臺灣;遺址導覽","舊石器時代–金屬器時代","全臺灣","–","–","新北市立十三行博物館","–","2026-07-30","ARR","紙本書；需購閱","僅收錄 metadata","最佳入門級臺灣史前文化讀物"
"臺灣原住民史—史前篇","劉益昌","2002","考古與物質文化","國史館臺灣文獻館","ISBN 9789570119848","–","zh","文字","國史館臺灣文獻館出版之臺灣原住民史系列史前篇，系統性論述史前文化與原住民族群之關聯","原住民;史前文化;族群起源;考古學","舊石器時代–金屬器時代","全臺灣","–","–","國史館臺灣文獻館","–","2026-07-30","ARR","紙本書；需購閱或圖書館查閱","僅收錄 metadata","連結考古學與原住民族史之重要橋樑著作"
"十三行遺址搶救考古報告","臧振華（主持）","1998-2003","考古與物質文化","新北市立十三行博物館","SSH-EXCAV-REPORT","–","zh","文字","十三行遺址因八里污水處理廠工程而進行大規模搶救發掘之完整報告，出土大量鐵器、陶器、玻璃珠、錢幣等","十三行文化;搶救考古;發掘報告;鐵器","十三行文化（約1800–400 BP）","新北市八里區","–","十三行考古遺址","–","臧振華（主持）、中央研究院歷史語言研究所","2026-07-30","UNCLEAR","發掘報告出版品；查閱有限","僅收錄 metadata","臺灣最大規模之搶救考古發掘"
"南科考古發掘報告系列（1995-2020）","臧振華、李匡悌","2001-2020","考古與物質文化","國立臺灣史前文化博物館南科考古館","STSP-EXCAV-SERIES","–","zh","文字","南科園區歷年搶救考古發掘報告系列，涵蓋道爺、三抱竹、五間厝、右先方等數十處遺址之系統性發掘成果","南科;發掘報告;大坌坑;牛稠子;大湖;蔦松","大坌坑文化–蔦松文化（約5000–300 BP）","臺南科學園區","–","南科考古遺址群","–","臧振華、李匡悌（主持）、中央研究院","2026-07-30","UNCLEAR","發掘報告多冊；部分公開出版","僅收錄 metadata","臺灣規模最大的連續性搶救考古成果"
"卑南遺址發掘報告（1986-1989）","連照美、宋文薰","1989","考古與物質文化","國立臺灣大學出版中心","BEINAN-EXCAV-REPORT","–","zh","文字","卑南遺址1986至1989年大規模搶救發掘報告，詳述2000餘座石板棺墓葬出土資料與分析","卑南文化;石板棺;墓葬;發掘報告;玉器","卑南文化（約3500–2000 BP）","臺東市","–","卑南考古遺址","國立臺灣大學出版中心","連照美、宋文薰（發掘）","2026-07-30","ARR","學術出版品需購閱","僅收錄 metadata","臺灣最大規模墓葬發掘資料"
"臺灣玉文化圈研究—史前玉器與東南亞交換體系","臧振華、洪曉純等","2000-2020","考古與物質文化","中央研究院歷史語言研究所","TW-JADE-CIRCLE-01","–","zh;en","文字","臺灣史前時期玉器（臺灣玉/豐田玉）之產地、工藝技術與交換網絡研究，臺灣玉器分布範圍涵蓋臺灣、菲律賓、越南、泰國等地","玉器;臺灣玉;交換體系;南島語族;工藝","新石器時代–金屬器時代（約3500–1000 BP）","全臺灣;東南亞;太平洋","–","卑南玉器研究","中央研究院","–","2026-07-30","UNCLEAR","學術論文散見國際期刊","僅收錄 metadata","臺灣在史前東南亞貿易圈之核心地位"
"臺灣史前貝塚研究","學術研究團隊","1980-2020","考古與物質文化","各大學／博物館","TW-SHELLMIDDEN-01","–","zh;en","文字","臺灣數百處史前貝塚之綜合研究，含貝類物種分析、環境重建、生業型態與季節性推斷","貝塚;生態;生業;古環境;新石器時代","新石器時代–金屬器時代","全臺灣","–","圓山考古遺址;大湖遺址","–","–","2026-07-30","UNCLEAR","學術研究論文散見","僅收錄 metadata","貝塚為史前生業與環境之重要窗口"
"臺灣史前人類學研究（古代DNA與人骨）","陳叔倬等","2000-2020","考古與物質文化","中央研究院／國立臺灣大學","TW-ANCIENT-DNA-01","–","zh;en","文字","臺灣史前人骨與古代DNA研究，探討史前人群起源、遷徙與現代原住民族群之遺傳關係","古代DNA;人骨;體質人類學;族群起源;基因","舊石器時代–金屬器時代","全臺灣","–","臺灣原住民史—史前篇","中央研究院","–","2026-07-30","UNCLEAR","學術論文散見國際期刊","僅收錄 metadata","從遺傳學角度印證考古文化推論"
"卑南遺址空拍與出土文物影像集","國立臺灣史前文化博物館","2000-2020","考古與物質文化","國立臺灣史前文化博物館","NMP-BEINAN-IMG","https://collections.culture.tw/nmp_collectionsweb/","zh","圖檔","卑南遺址空拍照、石板棺墓葬影像、玉器與陶器精選影像之數位圖檔集合","卑南文化;空拍;玉器;石板棺;考古影像","卑南文化（約3500–2000 BP）","臺東市","–","卑南考古遺址;卑南玉器研究","國立臺灣史前文化博物館","–","2026-07-30","UNCLEAR","藏品查詢系統公開瀏覽","已收錄 metadata","卑南遺址視覺資料之重要數位來源"
"十三行遺址出土文物影像集","新北市立十三行博物館","2003-2020","考古與物質文化","新北市立十三行博物館","SSH-IMG-COLLECTION","https://sshm.vm.ntpc.gov.tw/","zh","圖檔","十三行遺址出土文物之精選數位影像，含鐵器、陶器、玻璃珠、錢幣、墓葬出土狀況等","十三行文化;鐵器;墓葬;玻璃珠;考古影像","十三行文化（約1800–400 BP）","新北市八里區","–","十三行考古遺址","新北市立十三行博物館","–","2026-07-30","UNCLEAR","數位博物館公開瀏覽","已收錄 metadata","北臺灣金屬器時代最重要之視覺資料庫"
"史前館3D文物影像精選","國立臺灣史前文化博物館","2018-2020","考古與物質文化","國立臺灣史前文化博物館","NMP-3D-SELECTION","https://3d.nmp.gov.tw/","zh","圖檔","史前館精選30件以上3D文物模型，含卑南玉器、陶罐、石刀、紡輪、人獸形玦等","3D;文物;史前;數位模型","舊石器時代–金屬器時代","全臺灣","–","考古文物3D資料庫","國立臺灣史前文化博物館","–","2026-07-30","UNCLEAR","3D資料庫公開瀏覽","已收錄 metadata","線上互動式探索史前文物之最佳資源"
"南科考古館展示影像與出土文物精選","國立臺灣史前文化博物館南科考古館","2019-2020","考古與物質文化","國立臺灣史前文化博物館南科考古館","STSP-IMG-01","https://stspcoll.nmp.gov.tw/","zh","圖檔","南科考古館展場影像與出土文物精選，含大坌坑繩紋陶、牛稠子紅陶、蔦松玻璃珠等各文化層代表文物","南科;考古;展示;文物精選","大坌坑文化–蔦松文化（約5000–300 BP）","臺南科學園區","–","南科考古館出土文物藏品查詢系統","國立臺灣史前文化博物館","–","2026-07-30","UNCLEAR","展示館與藏品系統公開瀏覽","已收錄 metadata","南科各文化層連續序列之視覺呈現"
"臺灣史前史紀錄片—發現史前館","國立臺灣史前文化博物館","2010","考古與物質文化","國立臺灣史前文化博物館","NMP-DOC-PREHISTORY","https://www.nmp.gov.tw/","zh","影音","史前館製作之臺灣史前史紀錄片，介紹舊石器至金屬器時代之重要遺址、文化內涵與考古工作方法","紀錄片;史前文化;考古;博物館","舊石器時代–金屬器時代","全臺灣","–","–","國立臺灣史前文化博物館","–","2026-07-30","UNCLEAR","史前館授權播映","僅收錄 metadata","少數以臺灣全史前史為主題之紀錄片"
"臺灣史前石器與陶器工藝技術研究","學術研究團隊","1980-2020","考古與物質文化","各大學／博物館","TW-LITHIC-POTTERY-TECH","–","zh;en","文字","臺灣史前時期石器打製與磨製技術、陶器製作與燒製技術之系統性工藝學研究","石器;陶器;工藝技術;實驗考古","舊石器時代–金屬器時代","全臺灣","–","–","–","–","2026-07-30","UNCLEAR","學術論文散見期刊與專書","僅收錄 metadata","工藝技術面之史前研究統整"
"臺灣史前生態與古環境重建研究","學術研究團隊","1990-2020","自然與環境背景","中央研究院／臺灣大學等","TW-PALEOENV-01","–","zh;en","文字","結合考古遺留動植物遺存、花粉分析、樹輪、珊瑚等資料重建臺灣史前時期古氣候與生態環境之綜合研究","古環境;古氣候;花粉;生態;植群變遷","舊石器時代–金屬器時代","全臺灣","–","臺灣史前貝塚研究","–","–","2026-07-30","UNCLEAR","學術論文散見國際期刊","僅收錄 metadata","史前人類活動之自然環境背景"
"臺灣考古學國際期刊論文選輯","國際學者群","1960-2020","考古與物質文化","國際學術期刊群","TW-ARCH-JOURNAL-01","–","en","文字","臺灣史前考古學之代表性國際期刊論文選輯（涵蓋Nature、Science、Asian Perspectives等國際期刊）","臺灣考古;國際期刊;學術論文;史前文化","舊石器時代–金屬器時代","全臺灣","–","–","國際學術期刊","–","2026-07-30","UNCLEAR","學術論文需購閱或圖書館查詢","僅收錄 metadata","臺灣史前考古學國際學術地位之展現"
"臺灣史前玉玦與人獸形玦研究","學術研究團隊","1990-2020","考古與物質文化","中央研究院／國立臺灣史前文化博物館","TW-JADE-EARRING-01","–","zh;en","文字","臺灣史前玉玦（耳飾）及人獸形玉玦之類型學、工藝技術與社會意義研究，玉玦為東南亞史前重要交換物品","玉玦;人獸形玦;玉器;裝飾品;社會階層","新石器時代–金屬器時代（約3500–1000 BP）","全臺灣;東南亞","–","臺灣玉文化圈研究","–","–","2026-07-30","UNCLEAR","學術論文散見期刊","僅收錄 metadata","臺灣史前玉玦為東南亞與太平洋地區共通之文化要素"
