"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"清代臺灣古契書選集（THDL）","民間（地主、墾戶、佃戶）","1683-1895","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-QISHU","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄清代臺灣古契書逾4萬件，選取具代表性之墾契、賣契、典契、胎借契等，反映土地產權與民間金融","古契書;清代;土地;THDL;民間","清領前期（1683–1895）","全臺灣","﹣","﹣","﹣","國立臺灣大學數位人文研究中心（數位化）","2026-07-30","UNCLEAR","THDL 全文公開查詢","已收錄 metadata","清代臺灣土地關係最直接的原始憑證"
"重修臺灣縣志","王必昌（編）","1752","方志與輿圖","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","WBC-TW-CON-02","﹣","zh","文字","王必昌重修之臺灣縣志，凡15卷，較康熙臺灣縣志更為詳備，含清領前期府城之社會經濟詳情","方志;臺灣縣;府城;清代;王必昌","清領前期（1752）","臺灣縣（今臺南市區）","﹣","臺灣縣志（陳文達本）","﹣","﹣","2026-07-30","ARR","TSDL 數位典藏","已收錄 metadata","乾隆朝臺灣縣志為臺南府城最完整方志"
"重修鳳山縣志","王瑛曾（編）","1764","方志與輿圖","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","WYC-FS-GAZETTEER-02","﹣","zh","文字","王瑛曾重修之鳳山縣志，凡12卷，詳載清領前期鳳山縣（今高雄、屏東）之水利、屯墾、防務與原住民分布","方志;鳳山;清代;王瑛曾;高雄","清領前期（1764）","鳳山縣（今高雄、屏東）","﹣","鳳山縣志（陳文達本）","﹣","﹣","2026-07-30","ARR","TSDL 數位典藏","已收錄 metadata","南臺灣清領前期社會經濟之區域記載"
"續修臺灣府志（余文儀本）","余文儀（編）","1774","方志與輿圖","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","YWT-TW-GAZETTEER-03","﹣","zh","文字","余文儀主修之《續修臺灣府志》，凡26卷，為清代臺灣府志之集大成者，含賦役、學校、兵防、風俗等九門","方志;臺灣府志;余文儀;清代","清領前期（1774）","全臺灣","﹣","重修福建臺灣府志（劉良璧本）","﹣","﹣","2026-07-30","ARR","TSDL 數位典藏","已收錄 metadata","清代臺灣府志之集大成"
"彰化縣志","周璽（編）","1836","方志與輿圖","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","ZOU-County-CH-01","﹣","zh","文字","周璽主修之《彰化縣志》，凡12卷，為清代臺灣最後一部縣志，詳載中部開發、水利設施、分類械鬥與社會救濟","方志;彰化;清代;周璽;中部開發","清領前期（1723建縣–1836）","彰化縣","﹣","﹣","臺灣銀行經濟研究室（臺灣文獻叢刊第156種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","彰化為清代臺灣最大糧倉，方志記載豐富"
"噶瑪蘭廳志","陳淑均（編）","1852","方志與輿圖","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","CSJ-KML-TING-01","﹣","zh","文字","陳淑均纂修之《噶瑪蘭廳志》，凡8卷，為清代臺灣最晚完成之地方志，詳載宜蘭開發、原住民（噶瑪蘭族）與漢人拓墾","方志;噶瑪蘭;宜蘭;清代;陳淑均","清領前期（1796噶瑪蘭開墾–1852）","噶瑪蘭廳（今宜蘭）","﹣","﹣","臺灣銀行經濟研究室（臺灣文獻叢刊第160種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","清代臺灣最後設置之行政區"
"清代臺灣輿圖集（康熙至同治）","清廷繪圖官","1683-1860","方志與輿圖","國立故宮博物院／美國國會圖書館／中研院","QING-MAP-TW-COLLECTION","﹣","zh","地圖","清代歷朝繪製之臺灣地圖，含康熙臺灣輿圖、雍正臺灣道圖、乾隆臺灣地圖、福建臺灣全圖等，反映行政區劃與聚落變遷","古地圖;清代;臺灣;行政區劃;清領前期","清領前期（1683–1860）","全臺灣","﹣","﹣","國立故宮博物院（清宮舊藏）","﹣","2026-07-30","UNCLEAR","地圖分藏國內外，數位版有限","僅收錄 metadata","清代臺灣輿圖為空間變遷最重要視覺證據"
"臺北盆地開墾古地圖","清代繪圖官／民間墾戶","1750-1860","方志與輿圖","國立臺灣圖書館／中研院臺史所","TAIPEI-BASIN-MAP-QING","﹣","zh","地圖","臺北盆地開墾過程相關古地圖，含瑠公圳、大安、艋舺、新莊等聚落分布圖與水利圖","古地圖;臺北;開墾;水利;清領前期","清領前期（1750–1860）","臺北盆地","﹣","清代臺灣輿圖集","﹣","﹣","2026-07-30","UNCLEAR","圖資分散，部分為民間收藏","僅收錄 metadata","臺北盆地由壟塘變為良田之空間記錄"
"藍鼎元與平臺功臣傳記","清代官修／臺灣銀行經濟研究室刊本","1723-1800","人物傳記與家族史料","國立臺灣圖書館（原件）","LDD-BIO-PINGTAI","﹣","zh","文字","藍鼎元、藍廷珍、施世驃、福康安等清代平臺功臣之傳記與生平史料合集","藍鼎元;傳記;清代;平臺;功臣","清領前期（1721–1800）","全臺灣","﹣","平臺紀略;東征集","﹣","﹣","2026-07-30","ARR","文獻散見各書","已收錄 metadata","清代治臺文武官員之個人史料"
"霧峰林家文書與家族史","霧峰林家（林文察、林朝棟、林獻堂等）","1780-1945","人物傳記與家族史料","中研院臺史所檔案館／國立臺灣圖書館","WF-LIN-FAMILY-ARCH","https://tais.ith.sinica.edu.tw/","zh","文字;圖檔","霧峰林家（清代臺灣最著名家族）之家族文書、契字、書信與人物生平史料，橫跨清領至戰後，為臺灣家族史最具代表性案例","霧峰林家;家族史;清代;中臺灣;林文察","清領前期（1780–1895）","霧峰（今臺中）;全臺灣","﹣","﹣","﹣","中研院臺史所（數位典藏）","2026-07-30","UNCLEAR","臺史所檔案館查詢，部分數位化","僅收錄 metadata","清代臺灣最具影響力之家族"
"板橋林家文書與家族史","板橋林家（林平侯、林國芳、林維源等）","1800-1945","人物傳記與家族史料","中研院臺史所檔案館／國立臺灣圖書館","BC-LIN-FAMILY-ARCH","https://tais.ith.sinica.edu.tw/","zh","文字;圖檔","板橋林家（林本源家族）之家族史料，為清代臺灣最富裕之家族，參與清法戰爭捐輸、鐵路建設等重大事件","板橋林家;家族史;清代;林本源;林維源","清領前期（1800–1895）","板橋（今新北）;全臺灣","﹣","﹣","﹣","中研院臺史所（數位典藏）","2026-07-30","UNCLEAR","臺史所檔案館查詢","僅收錄 metadata","清代臺灣最有財勢之家族"
"臺灣官僚奏議文集（清領前期）","多件官員","1683-1860","人物傳記與家族史料","國立臺灣圖書館／臺灣銀行經濟研究室","QING-OFFICIAL-COL-QIAN","﹣","zh","文字","清領前期臺灣相關官員（施琅、藍鼎元、覺羅滿保、福康安、姚瑩、徐宗幹等）之文集與奏議選輯","清代;官員;奏議;文集;清領前期","清領前期（1683–1860）","全臺灣","﹣","﹣","臺灣銀行經濟研究室（臺灣文獻叢刊散見）","﹣","2026-07-30","ARR","臺灣文獻叢刊各冊","已收錄 metadata","清代官員對臺治理主張之第一手論述"
"清代臺灣儒學與書院史料","清代臺灣儒學教授／地方官","1683-1895","人物傳記與家族史料","國立臺灣圖書館／學術研究","QING-CONFUCIAN-TW","﹣","zh","文字","清代臺灣儒學（府縣儒學、海東書院、崇文書院、白沙書院、明志書院等）之沿革、學規、師資、科舉成就等史料","清代;儒學;書院;科舉;教育","清領前期（1683–1860）","全臺灣","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","史料散見各志書與文集中","僅收錄 metadata","清代臺灣文教制度之核心"
"姚瑩《東槎紀略》","姚瑩","1829-1832","人物傳記與家族史料","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","YAOYING-DCJL-01","﹣","zh","文字","姚瑩（曾任臺灣道）記錄臺灣經歷之筆記，凡5卷，含噶瑪蘭設廳、原住民分類、海防等，為道咸時期臺灣最重要官員筆記","姚瑩;東槎紀略;清代;臺灣;噶瑪蘭","清領前期（1821–1850）","全臺灣","﹣","﹣","臺灣銀行經濟研究室（臺灣文獻叢刊第7種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","姚瑩為道咸時期臺灣最著名官員"
"清代臺灣分類械鬥與民變史料合集","現代學者編纂","1900-2020","人物傳記與家族史料","學術專書與論文","QING-RIOTS-COMPILATION","﹣","zh","文字","現代學者對清代臺灣分類械鬥、朱一貴/林爽文/戴潮春事件之研究文獻合集，含曹永和、許雪姬、陳秋坤、翁佳音等學者專論","分類械鬥;民變;清代;學術研究;臺灣","清領前期（1721–1865）","全臺灣","﹣","﹣","學術期刊與出版社散見","﹣","2026-07-30","UNCLEAR","學術文獻需購閱","僅收錄 metadata","清代民變研究為臺灣史顯學"
"福建通志臺灣府（陳壽祺本）","陳壽祺（編）、魏敬中（續纂）","1829-1868","統計與調查資料","國立臺灣圖書館（原件）","FJ-TONGZHI-TW-VOL","﹣","zh","文字","《福建通志》中臺灣府卷，含臺灣戶口、田賦、鹽課、兵餉、郵傳等統計數據，為清領前期最完整的臺灣統計史料","福建通志;統計;清代;田賦;戶口","清領前期（1683–1829記載）","全臺灣","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","數位版有限","僅收錄 metadata","清代臺灣統計數據之最大宗來源"
"清代臺灣結社與寺廟調查（寺廟臺帳前身）","清代地方官／寺廟管理人","1700-1860","統計與調查資料","中研院臺史所／國立臺灣圖書館","QING-TEMPLE-SURVEY","﹣","zh","文字","清領前期臺灣寺廟創建年代、主祀神祇、信徒組織、廟產等調查記錄，為了解清代臺灣民間信仰與結社的第一手資料","清代;寺廟;民間信仰;調查;統計","清領前期（1700–1860）","全臺灣","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","資料分散，無系統彙整","僅收錄 metadata","清代臺灣民間信仰之量化基礎"
"清代臺灣考古遺址調查（熱蘭遮城清領層）","成功大學考古學研究所／臺南市考古中心","2000-2020","考古與物質文化","成功大學考古學研究所","NCKU-ZL-QING-ARCH","﹣","zh","文字","熱蘭遮城考古發掘中清代地層（1683–1860年）出土遺留，含清代中國陶瓷、錢幣、建築構件等，反映清領前期物質文化","熱蘭遮城;清代;考古;地層;清領前期","清領前期（1683–1860）","大員（臺南安平）","﹣","熱蘭遮城明鄭時期考古層（明鄭第45筆）","﹣","成功大學考古學研究所","2026-07-30","ARR","發掘報告出版品","僅收錄 metadata","清領前期物質文化之考古證據"
"清代臺灣墓葬考古與墓葬文化","學術研究團隊","2000-2020","考古與物質文化","學術報告與論文","QING-BURIAL-ARCH-TW","﹣","zh","文字","清代臺灣漢人墓葬考古調查研究，含墓碑形制、陪葬品、風水選址等，反映清領前期移民社會之喪葬文化","清代;墓葬;考古;漢人;移民社會","清領前期（1683–1860）","全臺灣","﹣","﹣","學術期刊","﹣","2026-07-30","UNCLEAR","學術論文需購閱","僅收錄 metadata","考古學視角的清代移民社會研究"
"清代臺灣碑碣集成（前期）","中研院臺灣史研究所碑碣資料庫","1683-1860","碑碣與實物刻文","中研院臺灣史研究所碑碣資料庫","ITH-RUB-QING-QIAN","https://tais.ith.sinica.edu.tw/","zh","文字;圖檔","中研院臺史所臺灣碑碣拓本資料庫收錄之清領前期碑碣，含官署示禁碑、寺廟修建碑、橋樑道路修造碑等","碑碣;清代;拓本;中研院;清領前期","清領前期（1683–1860）","全臺灣","﹣","﹣","中研院臺灣史研究所","中研院臺史所（數位典藏）","2026-07-30","UNCLEAR","資料庫公開查詢；拓本授權需申請","已收錄 metadata","清領前期碑碣為官方與民間活動之直接石刻證據"
"清代臺南府城碑林與示禁碑","清代臺灣府署／地方官","1700-1860","碑碣與實物刻文","臺南市文化局／中研院臺史所","TAINAN-STELE-QING","https://tais.ith.sinica.edu.tw/","zh","文字;圖檔","臺南府城（清代臺灣首府）留存之清代官署示禁碑、修建碑與紀功碑，為清領前期府城社會秩序與公共工程之直接物證","府城;碑碣;示禁;清代;臺南","清領前期（1700–1860）","臺南府城","﹣","清代臺灣碑碣集成（前期）","﹣","中研院臺史所（數位典藏）","2026-07-30","UNCLEAR","資料庫公開查詢","已收錄 metadata","清代臺灣政治中心之碑刻史料"
"清代臺灣北部碑碣選輯","清代地方官／民間","1750-1860","碑碣與實物刻文","中研院臺灣史研究所碑碣資料庫","NORTH-QING-STELE","https://tais.ith.sinica.edu.tw/","zh","文字;圖檔","清代臺灣北部（新竹、桃園、臺北、基隆等地）之碑碣拓本選輯，含新竹城修建碑、士林芝山岩碑、基隆海門天險碑等","碑碣;北部;清代;臺灣;拓本","清領前期（1750–1860）","新竹;桃園;臺北;基隆","﹣","清代臺灣碑碣集成（前期）","﹣","中研院臺史所（數位典藏）","2026-07-30","UNCLEAR","資料庫公開查詢","已收錄 metadata","北部開發較晚，碑碣反映嘉道年間之建設"
"清代臺灣米糖經濟文獻","清代官員／海關報告","1683-1860","產業與經濟實錄","THDL／國立臺灣圖書館／學術研究","QING-RICE-SUGAR-ECON","﹣","zh","文字","清領前期臺灣米穀運銷大陸與砂糖出口之相關文獻與研究，臺灣「糖米之利甲天下」之經濟實錄","清代;米;糖;經濟;出口;清領前期","清領前期（1683–1860）","全臺灣;福建;華南","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","文獻分散，無系統性合集","僅收錄 metadata","清領前期臺灣經濟以米糖為支柱"
"郊商與三郊史料","臺南三郊（蘇萬利、金永順、李勝發）","1720-1860","產業與經濟實錄","國立臺灣圖書館／中研院臺史所","TW-THREE-GUILD-ARCH","﹣","zh","文字","清代臺灣商業組織「三郊」（北郊、南郊、糖郊）之相關史料，含商貿路線、貨品清單、會館公約與郊商人物","郊商;三郊;清代;商業;府城","清領前期（1720–1860）","臺南府城;全臺港口","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","郊商史料分散，部分藏於家族","僅收錄 metadata","三郊為清代臺灣最大商業組織"
"清代臺灣墾號與土地開發文書","清代墾戶（墾首）","1700-1860","產業與經濟實錄","中研院臺史所／國立臺灣圖書館","QING-LAND-RECLAMATION","﹣","zh","文字","清代臺灣墾號（如吳沙、施世榜、陳賴章等）之墾照、墾契、土地清冊等，反映由南而北之土地拓墾過程","清代;墾號;土地;開發;墾戶","清領前期（1700–1860）","全臺灣","﹣","清代臺灣古契書選集（THDL）","﹣","﹣","2026-07-30","UNCLEAR","文獻分散各機構","僅收錄 metadata","清代臺灣土地拓墾之第一手文書"
"清代臺灣鹽業史料（清領前期）","清代官方／鹽商","1683-1860","產業與經濟實錄","國史館臺灣文獻館／國立臺灣圖書館","QING-SALT-TW-QIAN","﹣","zh","文字","清領前期臺灣鹽業（洲南場、洲北場、瀨南場、瀨北場四大鹽場）之產銷制度、鹽課與鹽商組織史料","清代;鹽業;鹽場;經濟;清代","清領前期（1683–1860）","臺南;嘉義;高雄","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","鹽業檔案分散","僅收錄 metadata","清代臺灣鹽業為府庫重要收入來源"
"清代臺灣水利開發與埤圳系統","清代地方官／墾戶","1700-1860","產業與經濟實錄","方志／學術研究／田野調查","QING-IRRIGATION-TW","﹣","zh","文字","清代臺灣埤圳（瑠公圳、八堡圳、通埒圳、猫霧捒圳等）之修築與管理史料，水利開發為臺灣農業發展之關鍵","清代;水利;埤圳;灌溉;農業","清領前期（1700–1860）","全臺灣","﹣","清代臺灣墾號與土地開發文書","﹣","﹣","2026-07-30","UNCLEAR","史料分散各志書與研究論著","僅收錄 metadata","八堡圳（施世榜建）為臺灣清代最大水利工程"
"清代臺灣災害史料（地震、颱風、饑荒）","清代方志／奏疏／地方官記錄","1683-1860","自然與環境背景","THDL／方志／學術研究","QING-DISASTER-QIAN","﹣","zh","文字","清領前期臺灣地震（嘉義1815年地震、臺南1792年地震等）、颱風、水旱災與饑荒之官方記錄","清代;地震;颱風;水災;饑荒","清領前期（1683–1860）","全臺灣","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","記錄散見各類文獻","僅收錄 metadata","清代災害記錄為古氣候研究重要資料"
"THDL—清代臺灣涉外關係奏疏（1858–1895）","多件官員（總理衙門、閩浙總督、臺灣道、臺灣巡撫等）","1858-1895","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-1858-1895","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄咸豐至光緒年間臺灣涉外關係奏疏，含天津條約、北京條約、開港通商、教案、樟脑糾紛、外國人遊歷等","清代;涉外;奏疏;THDL;開港","清領後期（1858–1895）","全臺灣;歐美;日本","﹣","明清臺灣行政檔案（THDL 文獻集）","﹣","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 免登入全文檢索","已收錄 metadata","開港為清領前後期分界之關鍵事件"
"沈葆楨《福建臺灣奏摺》","沈葆楨","1874-1875","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","SBZ-FUJIAN-TW-ZOUZHE","﹣","zh","文字","沈葆楨（欽差辦理臺灣等處海防大臣）於牡丹社事件後之臺灣相關奏摺合集，含開山撫番、增設府縣、海防建設等關鍵議題","沈葆楨;奏摺;清代;開山撫番;海防","清領後期（1874–1875）","全臺灣","﹣","﹣","臺灣銀行經濟研究室（臺灣文獻叢刊第29種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","牡丹社事件後臺灣政策急轉彎之關鍵文獻"
"劉銘傳《劉壯肅公奏議》（臺灣相關卷）","劉銘傳","1885-1891","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","LMC-LZSS-ZOUYI-TW","﹣","zh","文字","劉銘傳（首任福建臺灣巡撫）任內奏議中臺灣相關卷，含建省、鐵路、電報、撫墾、清賦、軍工等新政完整記錄","劉銘傳;奏議;清代;建省;新政","清領後期（1885–1891）","全臺灣","﹣","﹣","臺灣銀行經濟研究室（臺灣文獻叢刊第27種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","劉銘傳為臺灣現代化建設之父"
"牡丹社事件相關檔案","清代總理衙門／日本外務省","1874-1875","官方檔案文書","中研院近史所檔案館／國立臺灣圖書館","MUDAN-SOCIAL-FILE","https://archives.sinica.edu.tw/","zh;ja","文字","牡丹社事件（1874年日本侵臺）之清代官方檔案，含總理衙門與日本交涉紀錄、沈葆楨來臺善後文書、日方出兵文件","牡丹社事件;清代;日本;外交;原住民","清領後期（1874–1875）","恆春;琅𤩝;全臺灣","﹣","沈葆楨《福建臺灣奏摺》","﹣","中研院近史所（數位化）","2026-07-30","UNCLEAR","近史所檔案館線上目錄查詢","僅收錄 metadata","1874年為清代臺灣政策轉折點"
"中法戰爭臺灣相關檔案（1884–1885）","清代軍機處／總理衙門／劉銘傳","1884-1885","官方檔案文書","國立故宮博物院（清宮檔案）／中研院近史所","SINO-FRENCH-WAR-TW","﹣","zh","文字","中法戰爭（1884–1885）期間清廷與臺灣方面往來電報、奏摺與軍情文書，含基隆、滬尾（淡水）戰役紀錄","中法戰爭;清代;臺灣;劉銘傳;基隆","清領後期（1884–1885）","基隆;淡水;臺南;澎湖","﹣","劉銘傳《劉壯肅公奏議》","﹣","國立故宮博物院（清宮典藏）","2026-07-30","UNCLEAR","清宮檔案數位版有限","僅收錄 metadata","中法戰爭為臺灣建省之直接原因"
"臺灣建省檔案（1885–1890）","清代軍機處／吏部／戶部","1885-1890","官方檔案文書","國立故宮博物院（清宮檔案）／國史館臺灣文獻館","TAIWAN-PROVINCE-FILE","﹣","zh","文字","清廷決定臺灣建省、設巡撫、調整行政區之官方檔案，含左宗棠、劉銘傳等建省倡議、吏部議奏、行政區劃定案等","建省;清代;臺灣;行政區劃;劉銘傳","清領後期（1885–1890）","全臺灣","﹣","劉銘傳《劉壯肅公奏議》","﹣","﹣","2026-07-30","UNCLEAR","檔案分散故宮與國史館","僅收錄 metadata","臺灣建省為清代治臺政策最高峰"
"丁日昌《巡臺奏摺》","丁日昌","1876-1877","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","DRC-XUNTAI-ZOUZHE","﹣","zh","文字","丁日昌（福建巡撫兼理臺灣事務）巡臺期間之奏摺，含煤礦開發、電報建設、撫番政策、開山道路等新政規劃","丁日昌;奏摺;清代;新政;近代化","清領後期（1876–1877）","全臺灣","﹣","沈葆楨《福建臺灣奏摺》","臺灣銀行經濟研究室（臺灣文獻叢刊第77種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","丁日昌為承先啟後之臺灣經營者"
"唐景崧《請纓日記》","唐景崧","1884-1895","官方檔案文書","國立臺灣圖書館（原件）","TANGJINGSONG-QY-01","﹣","zh","文字","唐景崧（最後一任臺灣巡撫）自中法戰爭起之軍事外交日記，含臺灣民主國成立前後之決策過程","唐景崧;請纓日記;清代;臺灣民主國;乙未","清領後期（1884–1895）","全臺灣;福建","﹣","﹣","﹣","﹣","2026-07-30","UNCLEAR","原件國臺圖藏","僅收錄 metadata","清代臺灣終結與臺灣民主國創建之關鍵人物日記"
