題名,creator,日期,類型,來源,識別碼,來源網址,語言,資料類型,描述,主題,年代範圍,地理範圍,翻譯者,關聯,出版者,貢獻者,取得日期,授權狀態,授權備註,收錄狀態,備註
明清臺灣行政檔案—福建巡撫朱一馮請剿海寇疏,朱一馮,1627,官方檔案文書,臺灣歷史數位圖書館（THDL）,THDL-MQ-1627001,http://thdl.ntu.edu.tw/,zh,文字,天啟7年福建巡撫朱一馮奏請剿辦海寇李魁奇，涉及荷蘭人與海商勢力之交錯,海寇;明代海事;荷蘭,荷西時期,福建;臺灣海峽,–,明清臺灣行政檔案（THDL 文獻集）,–,國立臺灣大學數位人文研究中心（全文數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
新港文書（西拉雅語羅馬字契約文書）,西拉雅族人／荷蘭宣教師,1630-1800,官方檔案文書,中研院民族所數位典藏,IANTHRO-SIRAYA-001,https://www.ianthro.org/p/89,fos,文字,17至18世紀西拉雅族人以羅馬拼音書寫之契約文書，含土地買賣、借貸等，約存180件,新港文書;西拉雅;平埔;契約,荷西時期,新港（臺南新市）; 南部臺灣,荷蘭宣教師（羅馬字系統）,–,–,中研院民族學研究所（數位典藏）,2026-07-30,UNCLEAR,中研院民族所網站公開瀏覽,已收錄 metadata,目前已知約180件；含單語與雙語兩種
荷蘭改革宗教會臺灣教區洗禮登錄簿（1640年代）,荷蘭改革宗教會,1640-1649,官方檔案文書,荷蘭海牙皇家圖書館（中譯本）,Plakaatboek 70A,–,nl,文字,荷蘭時期臺灣教會之洗禮登錄簿，記錄宣教師在原住民社群之傳教成果,基督教;荷治;教會;洗禮,荷西時期,大員;新港;南部臺灣,韓家寶、鄭維中（中編譯）,荷蘭時代臺灣告令集、婚姻與洗禮登錄簿,–,曹永和文教基金會（出版）,2026-07-30,UNCLEAR,中譯本已出版，數位版未完備,僅收錄 metadata,2005年出版中英譯本
荷蘭東印度公司福爾摩沙告令集（Plakaatboek van Formosa）,荷蘭東印度公司臺灣長官會議,1630-1662,官方檔案文書,荷蘭海牙皇家圖書館（中譯本）,Plakaatboek 70A,–,nl,文字,荷蘭時期臺灣長官會議頒布之法令規章彙編，含土地政策、貿易管制等,荷治;法令;VOC;殖民,荷西時期,大員;全臺灣,韓家寶（Pol Heyns）、鄭維中（中編譯）,荷蘭時代臺灣告令集、婚姻與洗禮登錄簿,–,曹永和文教基金會（出版）,2026-07-30,UNCLEAR,中譯本已出版，數位版未完備,僅收錄 metadata,殖民統治法規之第一手史料
被遺誤的台灣（'t Verwaerloosde Formosa）,C.E.S. (揆一),1675,官方檔案文書,荷蘭（原件中譯本）,–,–,nl,文字,荷蘭末代長官揆一回國後撰寫之福爾摩沙回憶錄，為鄭成功攻臺之另一方觀點,揆一;鄭成功;荷治;熱蘭遮城,荷西時期,大員;全臺灣,–,–,–,–,2026-07-30,UNCLEAR,中譯本散見，數位版未完備,僅收錄 metadata,書名取自荷文't Verwaerloosde Formosa
西班牙統治臺灣時期文獻（1626-1642）,多明我會傳教士,1626-1642,官方檔案文書,西班牙 / 菲律賓檔案館,–,–,es,文字,西班牙統治雞籠、淡水時期之傳教報告與行政文書（1626-1642年），中譯極少,西班牙;雞籠;淡水;天主教,荷西時期,雞籠（基隆）; 淡水,–,–,–,–,2026-07-30,UNCLEAR,原件藏西班牙與菲律賓檔案館，數位化程度極低,僅收錄 metadata,中文文字史料幾乎不存在
荷據時代台灣史,楊彥杰,2000-11,人物傳記與家族史料,聯經出版公司,ISBN 9789570821482,–,zh,文字,系統性研究荷蘭據臺38年之專著，含政治、經濟、社會、人口等分析,荷治;臺灣史;專書研究,荷西時期,全臺灣,–,–,聯經出版公司,–,2026-07-30,ARR,紙本書，需購閱,僅收錄 metadata,二手研究專書
福爾摩沙如何變成臺灣府（How Taiwan Became Chinese）,歐陽泰（Tonio Andrade）,2007,人物傳記與家族史料,遠流出版公司,ISBN 9573259400,–,zh,文字,荷治臺灣史經典著作，探討荷蘭殖民如何改變臺灣社會,荷治;殖民;臺灣開發,荷西時期,全臺灣,鄭維中（中譯）,–,遠流出版公司,–,2026-07-30,ARR,紙本書，需購閱,僅收錄 metadata,二手研究專書
決戰熱蘭遮（Lost Colony）,歐陽泰（Tonio Andrade）,2012,人物傳記與家族史料,時報文化,ISBN 9789571356822,–,zh,文字,鄭成功圍攻熱蘭遮城之戰役史，以荷蘭與中文史料交叉比對,鄭成功;熱蘭遮城;荷治;戰爭,荷西時期,大員（臺南安平）,陳信宏（中譯）,–,時報文化,–,2026-07-30,ARR,紙本書，需購閱,僅收錄 metadata,二手研究專書；中譯本2012年出版
臺灣早期歷史研究,曹永和,1979,人物傳記與家族史料,聯經出版公司,ISBN 9570806982,–,zh,文字,曹永和院士論文集，含荷治時期臺灣研究開創性論文,荷治;臺灣早期;曹永和,荷西時期,全臺灣,–,–,聯經出版公司,–,2026-07-30,ARR,紙本書，需購閱,僅收錄 metadata,二手研究專書；奠定臺灣荷治史研究基礎
新港語聖經（馬太福音）,荷蘭宣教師,1661,人物傳記與家族史料,荷蘭（原件）,–,–,nl,文字,17世紀荷蘭宣教師以新港語（西拉雅語）翻譯之聖經章節，為原住民語言重要文獻,新港語;西拉雅;基督教;荷治,荷西時期,新港（今臺南新市）,–,–,荷蘭東印度公司,–,2026-07-30,UNCLEAR,原件藏荷蘭，數位版未完備,僅收錄 metadata,語言學與文化史重要史料
費佛朗語詞典,荷蘭宣教師,1650,人物傳記與家族史料,荷蘭（原件）,–,–,nl,文字,荷蘭宣教師編撰之費佛朗語（Favorlang，巴布薩族語）詞典，為平埔語言珍貴紀錄,費佛朗語;巴布薩;語言;荷治,荷西時期,中臺灣（虎尾壠地區）,–,–,荷蘭東印度公司,–,2026-07-30,UNCLEAR,原件藏荷蘭，數位版未完備,僅收錄 metadata,目前僅存之費佛朗語系統性語言紀錄
荷蘭人在臺灣的經營（數位學習教材）,國立臺灣大學數位人文研究中心,2020,人物傳記與家族史料,臺大數位人文中心,NTU-DH-2020-Dutch,http://education.digital.ntu.edu.tw/taiwanhistory/jcg02.html,zh,文字,臺大數位人文中心製作之荷治時期數位教材，含東印度公司、貿易網絡、大員市鎮,荷治;數位教材;東印度公司;大員,荷西時期,大員;全臺灣,–,探索臺灣歷史數位學習知識網,國立臺灣大學,–,2026-07-30,UNCLEAR,網站公開瀏覽,已收錄 metadata,教學使用之二次文獻
手繪福爾摩沙地圖,約翰·芬伯翁（Jan F. van der Eynde）,1636,方志與輿圖,荷蘭海牙皇家圖書館,NL-KB-FOR-1636,–,nl,地圖,1636年荷蘭製圖師約翰·芬伯翁手繪福爾摩沙與周邊海域地圖，為現存最早的臺灣荷治時期專屬地圖之一,古地圖;荷治;大員;製圖,荷西時期,臺灣周邊海域,–,–,–,荷蘭海牙皇家圖書館（典藏）,2026-07-30,UNCLEAR,原件藏荷蘭，有數位影像但解析度受限,僅收錄 metadata,荷治時期最重要之單幅臺灣地圖
大員港灣圖（Tayouan Harbour Map）,VOC 製圖師,1630-1650,方志與輿圖,荷蘭海牙國家檔案館,NL-HaNA-VOC-AA-1630,–,nl,地圖,17世紀中葉荷蘭東印度公司繪製之大員港灣深度測繪圖，標示航道、熱蘭遮城與普羅民遮城位置,古地圖;大員;熱蘭遮城;VOC,荷西時期,大員（臺南安平）,–,–,–,荷蘭海牙國家檔案館（典藏）,2026-07-30,UNCLEAR,原件藏荷蘭，數位版有限,僅收錄 metadata,航海與軍事地理重要史料
熱蘭遮城平面圖,VOC 工程處,1630-1662,方志與輿圖,荷蘭（原件）,,–,nl,地圖,荷蘭時期繪製之熱蘭遮城平面構造圖，含稜堡、城牆、城內建築配置,熱蘭遮城;城防;VOC;建築,荷西時期,大員（臺南安平）,–,–,–,–,2026-07-30,UNCLEAR,原件藏荷蘭，數位版未完備,僅收錄 metadata,熱蘭遮城復原研究之基礎參考
臺灣及澎湖群島圖,VOC 製圖師,1640-1660,方志與輿圖,荷蘭（原件）,,–,nl,地圖,17世紀荷蘭東印度公司繪製之臺灣本島及澎湖群島地圖，含沿海水文資訊,古地圖;澎湖;VOC;航行,荷西時期,臺灣;澎湖,–,–,–,–,2026-07-30,UNCLEAR,原件藏荷蘭，數位版未完備,僅收錄 metadata,荷治時期最完整之臺灣全島地圖之一
西班牙雞籠港圖,西班牙製圖師,1626-1642,方志與輿圖,西班牙（原件）,,–,es,地圖,西班牙統治北臺灣時期繪製之雞籠港（今基隆）地形與防禦配置圖,古地圖;西班牙;雞籠;城防,荷西時期,雞籠（基隆）,–,–,–,–,2026-07-30,UNCLEAR,原件藏西班牙或菲律賓檔案館，數位化程度極低,僅收錄 metadata,西班牙時期北臺灣唯一之港灣地圖
熱蘭遮城版畫,未知（刊於《被遺誤的台灣》）,1675,照片與影像,荷蘭（原刊）,–,–,nl,圖檔,《被遺誤的台灣》1675年原刊本所附熱蘭遮城銅版畫，為該城最著名的歷史圖像,熱蘭遮城;版畫;荷治;建築,荷西時期,大員（臺南安平）,–,被遺誤的台灣（'t Verwaerloosde Formosa）,–,–,2026-07-30,UNCLEAR,原刊本藏荷蘭圖書館，數位影像散見,僅收錄 metadata,最常被引用的荷治臺灣圖像
荷蘭人繪臺灣原住民圖像,荷蘭繪師／VOC 人員,1640-1660,照片與影像,荷蘭（原件）,,–,nl,圖檔,17世紀荷蘭繪師描繪臺灣原住民（西拉雅族等）之生活、服飾與體貌圖像,原住民;西拉雅;荷治;風俗,荷西時期,南部臺灣,–,–,–,–,2026-07-30,UNCLEAR,原件藏荷蘭，數位版未完備,僅收錄 metadata,視覺人類學之原始資料
大員市鎮復原圖（現代繪製）,翁嘉聲／成大建築系,2000,照片與影像,成功大學建築系,NCKU-ANPING-2000,–,zh,圖檔,成功大學建築系根據荷蘭史料繪製之大員市鎮（今臺南安平）17世紀可能樣貌復原圖,大員;市鎮;復原;建築,荷西時期,大員（臺南安平）,–,荷治時期熱蘭遮城與大員市鎮研究,–,成功大學建築系,2026-07-30,ARR,學術研究成果，重製或引用需取得授權,僅收錄 metadata,現代學術復原研究成果
福爾摩沙—尋找十七世紀的臺灣（紀錄片）,國立臺灣歷史博物館,2008,照片與影像,國立臺灣歷史博物館,NMTH-FORMOSA-2008,https://www.nmth.gov.tw/,zh,影音,國立臺灣歷史博物館製作之17世紀臺灣歷史紀錄片，以荷西時期為主要背景，含學者訪談、古地圖動畫與遺址拍攝,紀錄片;荷治;西班牙;大員,荷西時期,全臺灣,–,–,國立臺灣歷史博物館,–,2026-07-30,UNCLEAR,國立臺灣歷史博物館發行，展場播放或館方授權,僅收錄 metadata,少數公開播映之荷西時期歷史紀錄片
熱蘭遮城數位 3D 復原模型,成功大學考古學研究所,2015,照片與影像,成功大學,NCKU-3DZL-2015,–,zh,圖檔,成功大學團隊以考古發掘成果與荷蘭史料數位重建之熱蘭遮城3D模型，含城牆、稜堡與主要建築,熱蘭遮城;3D;數位復原;考古,荷西時期,大員（臺南安平）,–,–,成功大學,–,2026-07-30,ARR,學術研究成果，公開展示版本有限,僅收錄 metadata,數位時代之研究展示成果
熱蘭遮城考古發掘報告（第一期至第四期）,成功大學考古學研究所,2000-2015,考古與物質文化,成功大學考古學研究所,NCKU-ZL-EX-2000,–,zh,文字,成功大學團隊對熱蘭遮城（安平古堡）進行之四期考古發掘報告，出土大量荷蘭時期陶瓷、錢幣、建築構件等,熱蘭遮城;考古;發掘;陶瓷;VOC,荷西時期,大員（臺南安平）,–,熱蘭遮城平面圖; 熱蘭遮城數位3D復原模型,–,成功大學考古學研究所,2026-07-30,ARR,學術發掘報告，公開出版但數位版有限,僅收錄 metadata,直接印證與補充荷蘭文獻之關鍵考古資料
大員市鎮考古調查與試掘報告,成功大學考古學研究所 / 臺南市考古中心,2010-2020,考古與物質文化,成功大學考古學研究所,NCKU-TAYOU-ARCH-2010,–,zh,文字,荷治時期大員市鎮（今安平舊聚落）考古試掘報告，發現荷蘭時期市街遺構與生活遺物,大員;市鎮;考古;安平,荷西時期,大員（臺南安平）,–,大員市鎮復原圖,–,成功大學考古學研究所,2026-07-30,ARR,學術報告，尚未完整公開,僅收錄 metadata,為文字記載之大員市鎮提供物質證據
普羅民遮城遺構調查報告,臺南市文化局,2005-2015,考古與物質文化,臺南市文化局,TNC-PROV-ARCH-2005,–,zh,文字,赤嵌樓（原普羅民遮城）歷次修復與考古調查紀錄，含荷蘭時期地基與城垣遺構,普羅民遮城;赤嵌樓;考古;建築,荷西時期,赤嵌（臺南市區）,–,–,臺南市文化局,–,2026-07-30,UNCLEAR,分散於歷次修復報告中，未集中數位化,僅收錄 metadata,普羅民遮城文字史料有限，考古為主要重建依據
荷蘭東印度公司福爾摩沙貿易帳冊（1630-1662）,VOC 巴達維亞會計部,1630-1662,產業與經濟實錄,荷蘭國家檔案館,VOC-TRADE-FOR-1630,–,nl,文字,荷蘭東印度公司臺員商館之貿易帳冊，詳載鹿皮、砂糖、米、絲綢、硫磺等進出口數量與價格,貿易;VOC;鹿皮;砂糖;帳冊,荷西時期,大員;全臺灣,–,熱蘭遮城日誌,–,荷蘭國家檔案館（典藏）,2026-07-30,UNCLEAR,原件藏荷蘭，未數位化或僅有微捲,僅收錄 metadata,荷治時期經濟史最直接的量化史料
荷治時期臺灣鹿皮出口記錄,VOC 貿易記錄,1630-1660,產業與經濟實錄,荷蘭國家檔案館,VOC-DEERSKIN-FOR,–,nl,文字,荷治時期鹿皮出口至日本之統計資料，年出口量曾達10萬張以上，為17世紀臺灣最重要的出口商品,鹿皮;貿易;VOC;日本;生態,荷西時期,大員;日本,–,荷蘭東印度公司福爾摩沙貿易帳冊,–,荷蘭國家檔案館（典藏）,2026-07-30,UNCLEAR,僅有原始檔案，無中譯數位版,僅收錄 metadata,鹿皮貿易是荷治經濟核心，兼涉生態史與原住民獵場
熱蘭遮城日誌氣象記錄與古氣候重建研究,學術研究團隊,1629-1662,自然與環境背景,臺灣日記知識庫／國際期刊論文,CLIMATE-ZLD-1629,https://taco.ith.sinica.edu.tw/tdk/,zh;en,文字,《熱蘭遮城日誌》逐日記載氣象（風向、降雨、颱風），當代氣候學者利用此資料重建17世紀東亞古氣候,古氣候;氣象;颱風;ENSO,荷西時期,大員;東亞,–,熱蘭遮城日誌卷一至卷四,–,國際古氣候學期刊（研究發表）,2026-07-30,UNCLEAR,學術論文需購閱，原始日誌資料免費,僅收錄 metadata,17世紀全球最密集的逐日氣象記錄之一
臺江內海變遷研究（16-19世紀）,學術研究團隊,1990-2020,自然與環境背景,各大學地理系／臺南市文化局,TAIJIANG-GEO,–,zh;en,文字,結合荷蘭地圖與清代方志重建臺江內海海岸線與港口淤積變遷，解釋大員港道消失原因,臺江內海;海岸變遷;地形;大員,荷西時期,臺江內海;大員,–,大員港灣圖; 手繪福爾摩沙地圖,–,學術研究論文，數位版散見,2026-07-30,UNCLEAR,學術論文需購閱，部分開放取用,僅收錄 metadata,自然環境變遷直接影響政治史：大員港道淤積是鄭軍登岸之因
荷西時期臺灣火山與地震史料,荷蘭東印度公司官員,1624-1662,自然與環境背景,熱蘭遮城日誌／VOC檔案,EQ-FORMOSA-1600,–,nl;en,文字,《熱蘭遮城日誌》及其他VOC檔案中記載之地震事件，為臺灣最早的地震歷史記錄,地震;火山;自然災害;VOC,荷西時期,全臺灣,–,熱蘭遮城日誌,–,–,2026-07-30,UNCLEAR,原始檔案荷蘭文，部分已中譯,僅收錄 metadata,臺灣地震史之起點
